date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000728	0.000855	0.000426	0.000849	6,940.33	5,149,297
Dec 15, 2020	0.000770	0.000781	0.000574	0.000728	2,672.35	4,416,875
Dec 14, 2020	0.000766	0.000772	0.000572	0.000770	1,653.19	4,667,474
Dec 13, 2020	0.000564	0.000774	0.000562	0.000766	3,448.27	4,640,947
Dec 12, 2020	0.000722	0.000753	0.000549	0.000564	2,990.51	3,417,865
Dec 11, 2020	0.000731	0.000731	0.000532	0.000723	1,566.20	4,380,372
Dec 10, 2020	0.000735	0.000742	0.000539	0.000731	673.43	4,426,281
Dec 09, 2020	0.000550	0.000738	0.000364	0.000735	3,788.80	4,454,789
Dec 08, 2020	0.000576	0.000579	0.000376	0.000550	1,709.36	3,328,926
Dec 07, 2020	0.000580	0.000767	0.000379	0.000576	12,116.83	3,487,094
Dec 06, 2020	0.000766	0.000773	0.000383	0.000580	2,611.20	3,512,970
Dec 05, 2020	0.000561	0.000766	0.000380	0.000766	11,012.71	4,638,435
Dec 04, 2020	0.000585	0.000763	0.000381	0.000561	7,912.24	3,396,253
Dec 03, 2020	0.000577	0.000778	0.000570	0.000585	5,852.36	3,542,781
Dec 02, 2020	0.000752	0.000961	0.000381	0.000578	30,958.65	3,495,010
Dec 01, 2020	0.000941	0.000957	0.000733	0.000752	13,331.72	4,552,105
Nov 30, 2020	0.000727	0.001111	0.000727	0.000941	21,126.31	5,695,448
Nov 29, 2020	0.000886	0.001089	0.000722	0.000727	7,986.42	4,398,253
Nov 28, 2020	0.000855	0.001069	0.000846	0.000886	4,606.81	5,357,715
Nov 27, 2020	0.000858	0.001023	0.000695	0.000855	9,579.07	5,172,684
Nov 26, 2020	0.000937	0.001037	0.000818	0.000857	13,705.98	5,182,918
Nov 25, 2020	0.000955	0.001207	0.000929	0.000937	8,777.38	5,662,288
Nov 24, 2020	0.000918	0.001123	0.000765	0.000955	14,858.03	5,774,954
Nov 23, 2020	0.000919	0.001103	0.000900	0.000918	12,284.20	5,550,000
Nov 22, 2020	0.000881	0.001115	0.000843	0.000919	10,157.04	5,550,234
Nov 21, 2020	0.000931	0.000937	0.000738	0.000881	1,320.37	5,325,274
Nov 20, 2020	0.000900	0.001095	0.000735	0.000931	15,274.19	5,624,264
