date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.041256	0.044719	0.041003	0.044107	269.06	21,703.86
Dec 15, 2020	0.041891	0.043096	0.040857	0.041264	779.59	20,282.53
Dec 14, 2020	0.043100	0.043436	0.041634	0.041892	483.72	20,568.93
Dec 13, 2020	0.042458	0.044552	0.042302	0.043096	1,307.23	21,137.50
Dec 12, 2020	0.043022	0.043902	0.041990	0.042463	399.12	20,803.43
Dec 11, 2020	0.046255	0.046264	0.040851	0.043018	757.48	21,052.74
Dec 10, 2020	0.050824	0.062883	0.046166	0.046251	421.59	22,610.17
Dec 09, 2020	0.117922	0.118066	0.037263	0.050823	832.27	24,817.64
Dec 08, 2020	0.043546	0.118704	0.042101	0.117914	503.91	57,515.48
Dec 07, 2020	0.038951	0.045012	0.033642	0.043550	577.87	21,219.24
Dec 06, 2020	0.041055	0.041896	0.038444	0.038938	584.42	18,951.54
Dec 05, 2020	0.038475	0.041863	0.038249	0.041054	569.18	19,960.57
Dec 04, 2020	0.039778	0.040646	0.038471	0.038480	580.84	18,688.91
Dec 03, 2020	0.039729	0.041036	0.038774	0.039783	613.77	19,301.51
Dec 02, 2020	0.037590	0.039806	0.036911	0.039732	796.00	19,255.72
Dec 01, 2020	0.038186	0.040610	0.036389	0.037593	805.23	18,198.72
Nov 30, 2020	0.036786	0.041367	0.036786	0.038189	1,514.72	18,467.00
Nov 29, 2020	0.035973	0.039991	0.035651	0.036787	689.45	17,770.35
Nov 28, 2020	0.035601	0.038665	0.035319	0.035974	862.14	17,358.49
Nov 27, 2020	0.035421	0.037749	0.034427	0.035601	666.78	17,158.69
Nov 26, 2020	0.039440	0.040522	0.033849	0.035410	851.61	17,046.69
Nov 25, 2020	0.039268	0.043118	0.038785	0.039492	501.94	18,991.16
Nov 24, 2020	0.036969	0.044396	0.036663	0.039228	747.60	18,843.28
Nov 23, 2020	0.038271	0.043755	0.036801	0.036944	655.63	17,726.71
Nov 22, 2020	0.040134	0.041045	0.036233	0.038274	783.65	18,345.14
Nov 21, 2020	0.040865	0.043016	0.038963	0.040133	756.93	19,214.50
Nov 20, 2020	0.041611	0.042615	0.038902	0.040867	676.68	19,545.37
Nov 19, 2020	0.036816	0.042052	0.036261	0.041612	1,001.95	19,879.28
Nov 18, 2020	0.036327	0.042997	0.035741	0.036812	658.16	17,566.77
Nov 17, 2020	0.033268	0.038079	0.033021	0.036325	766.67	17,315.24
Nov 16, 2020	0.038278	0.038406	0.032945	0.033057	549.37	15,739.63
Nov 15, 2020	0.046611	0.046799	0.035338	0.038293	884.57	18,212.89
Nov 14, 2020	0.044181	0.048489	0.043002	0.046634	927.06	22,154.53
Nov 13, 2020	0.051451	0.053254	0.042924	0.044164	959.35	20,958.68
Nov 12, 2020	0.036402	0.055607	0.035271	0.051467	588.82	24,397.13
Nov 11, 2020	0.048800	0.073566	0.036157	0.036406	2,403.69	17,238.71
Nov 10, 2020	0.038270	0.049128	0.036460	0.048803	1,017.39	23,082.76
Nov 09, 2020	0.036848	0.039006	0.036343	0.038279	2,927.02	18,085.09
Nov 08, 2020	0.038035	0.039442	0.036364	0.036866	785.74	17,398.13
Nov 07, 2020	0.045226	0.046854	0.036987	0.038075	802.38	17,949.31
Nov 06, 2020	0.043494	0.045991	0.042786	0.045189	880.30	21,279.82
Nov 05, 2020	0.043129	0.044978	0.040398	0.043495	623.18	20,459.49
Nov 04, 2020	0.045171	0.046561	0.042238	0.043128	763.64	20,265.76
Nov 03, 2020	0.043440	0.046411	0.042773	0.045058	627.61	21,149.94
Nov 02, 2020	0.048254	0.048506	0.042482	0.043469	832.97	20,381.48
Nov 01, 2020	0.047954	0.051553	0.047556	0.048166	1,133.55	22,559.61
Oct 31, 2020	0.050094	0.056118	0.047431	0.047947	1,101.61	22,431.15
Oct 30, 2020	0.052648	0.054299	0.049907	0.050173	414.45	23,447.13
Oct 29, 2020	0.050420	0.054714	0.048545	0.052693	1,068.09	24,597.28
Oct 28, 2020	0.056353	0.057151	0.044986	0.050422	684.21	23,510.60
Oct 27, 2020	0.046360	0.060855	0.042456	0.056287	1,004.57	26,217.74
Oct 26, 2020	0.049334	0.054483	0.042526	0.046351	1,004.56	21,565.93
Oct 25, 2020	0.052432	0.056322	0.037913	0.049310	975.79	22,918.52
Oct 24, 2020	0.061617	0.061859	0.051855	0.052449	1,044.35	24,350.41
