date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000265	0.000286	0.000262	0.000286	0	13,682.40
Dec 15, 2020	0.000264	0.000268	0.000261	0.000265	0	12,672.93
Dec 14, 2020	0.000265	0.000266	0.000260	0.000264	0	12,600.22
Dec 13, 2020	0.000256	0.000267	0.000254	0.000265	0	12,678.02
Dec 12, 2020	0.000246	0.000258	0.000245	0.000256	0	12,227.79
Dec 11, 2020	0.000252	0.000252	0.000242	0.000246	0	11,734.83
Dec 10, 2020	0.000258	0.000259	0.000247	0.000252	0	12,034.76
Dec 09, 2020	0.000250	0.000260	0.000240	0.000258	0	12,330.45
Dec 08, 2020	0.000266	0.000268	0.000249	0.000250	0	11,927.10
Dec 07, 2020	0.000271	0.000271	0.000263	0.000266	0	12,727.58
Dec 06, 2020	0.000268	0.000273	0.000263	0.000271	0	12,937.60
Dec 05, 2020	0.000256	0.000268	0.000253	0.000268	0	12,825.85
Dec 04, 2020	0.000278	0.000279	0.000256	0.000256	0	12,244.90
Dec 03, 2020	0.000269	0.000280	0.000265	0.000278	0	13,261.79
Dec 02, 2020	0.000264	0.000272	0.000260	0.000269	0	12,866.58
Dec 01, 2020	0.000277	0.000286	0.000257	0.000264	0	12,633.40
Nov 30, 2020	0.000259	0.000277	0.000257	0.000277	0	13,217.73
Nov 29, 2020	0.000242	0.000259	0.000239	0.000259	0	12,380.83
Nov 28, 2020	0.000233	0.000247	0.000229	0.000242	0	11,575.13
Nov 27, 2020	0.000233	0.000239	0.000224	0.000233	0	11,125.55
Nov 26, 2020	0.000257	0.000259	0.000219	0.000233	0	11,144.55
Nov 25, 2020	0.000272	0.000272	0.000252	0.000257	0	12,273.82
Nov 24, 2020	0.000274	0.000280	0.000267	0.000272	0	12,983.42
Nov 23, 2020	0.000251	0.000274	0.000248	0.000273	0	13,065.19
Nov 22, 2020	0.000247	0.000261	0.000232	0.000251	0	12,000.56
Nov 21, 2020	0.000229	0.000248	0.000227	0.000247	0	11,814.90
Nov 20, 2020	0.000212	0.000231	0.000212	0.000229	0	10,961.09
Nov 19, 2020	0.000216	0.000216	0.000210	0.000212	0	10,141.37
Nov 18, 2020	0.000216	0.000221	0.000210	0.000216	0	10,308.86
Nov 17, 2020	0.000209	0.000217	0.000207	0.000216	0	10,328.37
Nov 16, 2020	0.000201	0.000209	0.000200	0.000207	0	9,889.00
Nov 15, 2020	0.000207	0.000207	0.000198	0.000201	0	9,623.53
Nov 14, 2020	0.000214	0.000214	0.000204	0.000207	0	9,893.76
Nov 13, 2020	0.000207	0.000214	0.000206	0.000214	0	10,205.51
Nov 12, 2020	0.000208	0.000210	0.000203	0.000207	0	9,912.52
Nov 11, 2020	0.000202	0.000213	0.000202	0.000208	0	9,954.73
Nov 10, 2020	0.002225	0.002273	0.000199	0.000202	3.30	9,669.69
Nov 09, 2020	0.014378	0.014463	0.002180	0.002225	54.74	106,334
Nov 08, 2020	0.013812	0.014512	0.013731	0.014378	0	687,003
Nov 07, 2020	0.014415	0.014762	0.013582	0.013812	0	659,978
Nov 06, 2020	0.013126	0.014462	0.013092	0.014415	0	688,766
Nov 05, 2020	0.012064	0.013236	0.011917	0.013126	101.94	627,200
Nov 04, 2020	0.011628	0.012230	0.011335	0.012064	0	576,445
Nov 03, 2020	0.011495	0.011685	0.011139	0.011628	0	555,602
Nov 02, 2020	0.011891	0.012097	0.011431	0.011494	0	549,217
Nov 01, 2020	0.011598	0.011913	0.011555	0.011890	0	568,153
Oct 31, 2020	0.011481	0.011790	0.011435	0.011598	0.009276	554,179
Oct 30, 2020	0.011598	0.011740	0.011249	0.011481	0	548,572
Oct 29, 2020	0.011656	0.011793	0.011435	0.011598	0	554,192
Oct 28, 2020	0.012116	0.012265	0.011431	0.011656	0	556,957
Oct 27, 2020	0.011813	0.012289	0.011714	0.012116	0	578,941
