date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.010229	0.010307	0.010160	0.010229	231,025	10,877,788
Dec 15, 2020	0.010340	0.010389	0.010211	0.010228	194,400	10,876,399
Dec 14, 2020	0.010317	0.010379	0.010251	0.010340	286,756	10,995,439
Dec 13, 2020	0.010292	0.010426	0.010236	0.010317	280,341	10,970,233
Dec 12, 2020	0.010388	0.010476	0.010292	0.010292	287,591	10,943,409
Dec 11, 2020	0.010349	0.010457	0.010283	0.010388	269,992	11,044,970
Dec 10, 2020	0.010789	0.010824	0.010330	0.010349	284,150	11,003,596
Dec 09, 2020	0.010771	0.010898	0.010706	0.010788	356,047	11,470,602
Dec 08, 2020	0.010732	0.010870	0.010684	0.010771	348,820	11,451,844
Dec 07, 2020	0.010872	0.010956	0.010692	0.010731	351,839	11,409,040
Dec 06, 2020	0.010948	0.011085	0.010712	0.010871	337,468	11,557,883
Dec 05, 2020	0.010962	0.011186	0.010714	0.010948	340,235	11,638,536
Dec 04, 2020	0.010841	0.011171	0.010683	0.010963	297,135	11,653,908
Dec 03, 2020	0.010433	0.010918	0.010333	0.010841	334,880	11,524,304
Dec 02, 2020	0.008937	0.010480	0.008895	0.010432	333,233	11,076,401
Dec 01, 2020	0.008975	0.009020	0.008867	0.008936	386,347	9,487,724
Nov 30, 2020	0.008960	0.009046	0.008859	0.008975	289,579	9,529,124
Nov 29, 2020	0.009012	0.009075	0.008939	0.008960	297,232	9,512,682
Nov 28, 2020	0.009107	0.009168	0.008864	0.009012	352,983	9,566,394
Nov 27, 2020	0.009055	0.009156	0.008888	0.009107	360,364	9,666,739
Nov 26, 2020	0.007956	0.009370	0.007887	0.009055	351,281	9,611,083
Nov 25, 2020	0.008010	0.008164	0.007872	0.007956	238,138	8,444,331
Nov 24, 2020	0.007932	0.008129	0.007794	0.008010	347,571	8,501,925
Nov 23, 2020	0.008008	0.008035	0.007738	0.007932	338,805	8,419,044
Nov 22, 2020	0.007913	0.008038	0.007758	0.008008	302,021	8,499,420
Nov 21, 2020	0.007940	0.007964	0.007780	0.007913	385,336	8,397,456
Nov 20, 2020	0.007800	0.007967	0.007748	0.007940	419,279	8,426,083
Nov 19, 2020	0.007676	0.007812	0.007527	0.007800	363,521	8,277,354
Nov 18, 2020	0.007310	0.007792	0.007198	0.007676	368,026	8,145,165
Nov 17, 2020	0.007220	0.007319	0.007019	0.007310	382,486	7,756,623
Nov 16, 2020	0.007218	0.007255	0.007148	0.007232	398,894	7,666,716
Nov 15, 2020	0.007181	0.007264	0.007150	0.007218	454,049	7,651,301
Nov 14, 2020	0.007191	0.007262	0.007138	0.007181	462,974	7,612,101
Nov 13, 2020	0.007179	0.007268	0.007142	0.007191	498,468	7,622,314
Nov 12, 2020	0.006947	0.007385	0.006923	0.007179	393,379	7,610,097
Nov 11, 2020	0.007685	0.007806	0.006926	0.006947	254,053	7,364,095
Nov 10, 2020	0.007702	0.007758	0.007626	0.007685	396,436	8,145,730
Nov 09, 2020	0.007696	0.007769	0.007594	0.007702	358,513	8,163,617
Nov 08, 2020	0.007667	0.007768	0.007583	0.007696	241,067	8,157,354
Nov 07, 2020	0.007680	0.007768	0.007561	0.007667	224,998	8,126,410
Nov 06, 2020	0.007657	0.007766	0.007569	0.007680	254,128	8,139,761
Nov 05, 2020	0.007725	0.007842	0.007601	0.007657	249,939	8,115,169
Nov 04, 2020	0.007720	0.007765	0.007659	0.007725	463,536	8,186,939
Nov 03, 2020	0.007661	0.007746	0.007606	0.007720	489,113	8,181,683
Nov 02, 2020	0.007696	0.007727	0.007621	0.007661	482,938	8,118,078
Nov 01, 2020	0.007695	0.007839	0.007648	0.007696	442,367	8,154,952
Oct 31, 2020	0.007702	0.007737	0.007591	0.007695	491,477	8,154,456
Oct 30, 2020	0.007657	0.007735	0.007589	0.007650	145,224	8,106,171
Oct 29, 2020	0.007716	0.007764	0.007614	0.007657	480,085	8,113,923
Oct 28, 2020	0.007680	0.007762	0.007633	0.007716	480,192	8,175,670
Oct 27, 2020	0.007713	0.007765	0.007603	0.007680	408,588	8,136,939
Oct 26, 2020	0.007772	0.007823	0.007660	0.007713	543,683	8,172,024
Oct 25, 2020	0.007742	0.007813	0.007645	0.007772	480,459	8,234,759
Oct 24, 2020	0.007744	0.007836	0.007698	0.007742	519,948	8,218,112
Oct 23, 2020	0.007816	0.007841	0.007693	0.007744	435,523	8,219,668
Oct 22, 2020	0.007816	0.007999	0.007715	0.007815	454,474	8,295,485
Oct 21, 2020	0.007821	0.007851	0.007766	0.007822	560,638	8,302,785
Oct 20, 2020	0.007834	0.007880	0.007767	0.007801	423,895	8,280,491
Oct 19, 2020	0.007701	0.007841	0.007695	0.007824	472,096	8,310,482
Oct 18, 2020	0.007724	0.007780	0.007611	0.007714	549,527	8,227,636
Oct 17, 2020	0.007694	0.007805	0.007636	0.007745	550,462	8,261,197
Oct 16, 2020	0.007810	0.007820	0.007639	0.007676	543,382	8,190,973
Oct 15, 2020	0.007777	0.007841	0.007722	0.007786	544,395	8,308,393
Oct 14, 2020	0.007823	0.007883	0.007729	0.007737	522,686	8,257,230
Oct 13, 2020	0.007815	0.007850	0.007754	0.007803	564,073	8,328,207
Oct 12, 2020	0.007750	0.007863	0.007707	0.007798	557,808	8,322,657
Oct 11, 2020	0.007682	0.007803	0.007631	0.007750	568,609	8,271,000
Oct 10, 2020	0.007697	0.007772	0.007638	0.007683	406,473	8,199,069
Oct 09, 2020	0.007670	0.007778	0.007598	0.007716	564,925	8,234,196
Oct 08, 2020	0.007750	0.007812	0.007599	0.007702	391,110	8,218,801
Oct 07, 2020	0.007807	0.007869	0.007653	0.007759	372,590	8,279,661
Oct 06, 2020	0.007796	0.007845	0.007707	0.007818	391,756	8,342,505
Oct 05, 2020	0.007810	0.007873	0.007696	0.007761	359,990	8,281,626
Oct 04, 2020	0.007893	0.007955	0.007743	0.007810	433,492	8,332,872
Oct 03, 2020	0.007885	0.007964	0.007782	0.007874	546,664	8,401,478
Oct 02, 2020	0.007924	0.007982	0.007829	0.007902	439,629	8,431,053
Oct 01, 2020	0.007835	0.007981	0.007791	0.007901	417,022	8,429,973
Sep 30, 2020	0.007899	0.007990	0.007798	0.007845	510,111	8,369,692
Sep 29, 2020	0.008079	0.008113	0.007879	0.007973	406,304	8,505,897
Sep 28, 2020	0.008175	0.008214	0.008046	0.008079	360,845	8,618,905
Sep 27, 2020	0.008142	0.008228	0.008101	0.008175	537,973	8,721,065
Sep 26, 2020	0.008238	0.008252	0.008129	0.008129	506,044	8,671,974
Sep 25, 2020	0.008235	0.008343	0.008170	0.008239	511,144	8,788,608
Sep 24, 2020	0.008367	0.008470	0.008169	0.008259	587,528	8,810,379
Sep 23, 2020	0.008558	0.009360	0.008361	0.008387	455,631	8,946,243
Sep 22, 2020	0.008644	0.008732	0.008484	0.008543	446,956	9,112,397
Sep 21, 2020	0.009006	0.009109	0.008542	0.008664	474,247	9,241,448
Sep 20, 2020	0.008310	0.009180	0.008272	0.009023	488,471	9,624,213
Sep 19, 2020	0.008296	0.008354	0.008259	0.008293	491,285	8,844,853
Sep 18, 2020	0.008226	0.008350	0.008165	0.008296	448,269	8,848,065
Sep 17, 2020	0.008264	0.008328	0.008162	0.008226	485,635	8,773,746
Sep 16, 2020	0.008215	0.008337	0.008187	0.008264	465,482	8,813,856
Sep 15, 2020	0.008365	0.008513	0.007941	0.008216	468,090	8,761,817
Sep 14, 2020	0.008536	0.008724	0.008319	0.008365	513,570	8,920,339
Sep 13, 2020	0.008600	0.008706	0.008458	0.008533	492,629	9,100,188
Sep 12, 2020	0.008628	0.008755	0.008474	0.008617	475,127	9,188,843
Sep 11, 2020	0.008756	0.008974	0.008404	0.008609	451,560	9,179,789
Sep 10, 2020	0.009524	0.009549	0.008660	0.008732	611,608	9,310,727
Sep 09, 2020	0.009465	0.009564	0.009380	0.009524	663,876	10,155,492
Sep 08, 2020	0.009449	0.009532	0.009292	0.009477	637,538	10,104,589
Sep 07, 2020	0.009428	0.009542	0.009269	0.009395	623,121	10,017,108
Sep 06, 2020	0.009506	0.009573	0.009337	0.009409	640,291	10,032,129
Sep 05, 2020	0.009489	0.009663	0.009429	0.009495	501,814	10,123,486
Sep 04, 2020	0.009504	0.009780	0.009400	0.009499	500,754	10,127,406
Sep 03, 2020	0.009997	0.010014	0.009362	0.009529	664,062	10,158,775
Sep 02, 2020	0.009521	0.010008	0.009343	0.010008	552,986	10,669,134
Sep 01, 2020	0.009486	0.009590	0.009382	0.009502	672,961	10,130,221
Aug 31, 2020	0.009515	0.009648	0.009449	0.009488	591,620	10,114,779
Aug 30, 2020	0.009600	0.009693	0.009447	0.009516	581,207	10,144,243
Aug 29, 2020	0.009598	0.009713	0.009483	0.009639	639,218	10,275,498
Aug 28, 2020	0.009664	0.009733	0.009486	0.009596	672,758	10,228,892
Aug 27, 2020	0.009826	0.009881	0.009476	0.009649	679,867	10,284,696
Aug 26, 2020	0.009850	0.010123	0.009581	0.009804	681,266	10,448,757
Aug 25, 2020	0.009383	0.010085	0.009302	0.009799	687,188	10,443,665
Aug 24, 2020	0.009580	0.009740	0.008980	0.009393	584,399	10,003,662
Aug 23, 2020	0.009921	0.009987	0.009513	0.009619	687,832	10,243,280
Aug 22, 2020	0.009964	0.010041	0.009782	0.009889	694,807	10,529,431
Aug 21, 2020	0.009148	0.010031	0.009096	0.009959	626,378	10,603,114
Aug 20, 2020	0.009151	0.009283	0.009064	0.009122	823,019	9,720,642
Aug 19, 2020	0.009171	0.009319	0.009076	0.009151	654,689	9,753,057
Aug 18, 2020	0.009129	0.009343	0.009028	0.009249	618,871	9,857,700
Aug 17, 2020	0.009105	0.009231	0.009033	0.009113	619,672	9,712,580
Aug 16, 2020	0.009108	0.009180	0.008972	0.009105	611,793	9,704,092
Aug 15, 2020	0.009149	0.009268	0.008993	0.009089	521,551	9,686,559
Aug 14, 2020	0.009300	0.009394	0.008975	0.009150	502,329	9,750,849
Aug 13, 2020	0.009248	0.009363	0.009031	0.009211	525,260	9,815,996
Aug 12, 2020	0.009112	0.009375	0.008989	0.009216	617,803	9,820,757
Aug 11, 2020	0.009282	0.009342	0.008991	0.009100	584,036	9,697,162
Aug 10, 2020	0.009365	0.009423	0.009208	0.009263	836,903	9,870,773
Aug 09, 2020	0.009293	0.009419	0.009202	0.009365	632,723	9,978,758
Aug 08, 2020	0.009393	0.009431	0.009283	0.009295	586,991	9,904,403
Aug 07, 2020	0.009334	0.009454	0.009266	0.009355	632,666	9,968,221
Aug 06, 2020	0.009298	0.009437	0.009247	0.009260	563,334	9,866,394
Aug 05, 2020	0.009397	0.009432	0.009258	0.009298	458,325	9,906,458
Aug 04, 2020	0.009376	0.009443	0.009310	0.009377	613,779	9,990,888
Aug 03, 2020	0.009325	0.009452	0.009249	0.009376	623,889	9,989,282
Aug 02, 2020	0.009253	0.009836	0.008893	0.009325	587,287	9,934,389
Aug 01, 2020	0.009161	0.009306	0.009084	0.009235	674,396	9,838,226
Jul 31, 2020	0.009213	0.009273	0.009047	0.009161	716,891	9,759,168
Jul 30, 2020	0.009246	0.009307	0.009122	0.009191	593,144	9,790,464
Jul 29, 2020	0.009274	0.009416	0.009020	0.009252	553,551	9,855,388
Jul 28, 2020	0.009419	0.009494	0.009007	0.009302	371,188	9,908,206
Jul 27, 2020	0.009456	0.009526	0.009072	0.009329	324,919	9,936,983
Jul 26, 2020	0.009361	0.009516	0.009110	0.009456	309,216	10,072,364
Jul 25, 2020	0.009398	0.009514	0.009034	0.009376	312,683	9,986,910
Jul 24, 2020	0.009381	0.009548	0.009170	0.009367	421,073	9,976,584
