date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.007364	0.007504	0.007134	0.007138	12,735.19	0
Dec 15, 2020	0.007227	0.007497	0.007135	0.007364	12,917.23	0
Dec 14, 2020	0.007451	0.007499	0.007130	0.007226	13,067.40	0
Dec 13, 2020	0.007354	0.007496	0.007131	0.007451	14,461.47	0
Dec 12, 2020	0.007289	0.007505	0.007136	0.007355	16,042.98	0
Dec 11, 2020	0.007249	0.007499	0.007137	0.007289	12,557.69	0
Dec 10, 2020	0.007288	0.007498	0.007131	0.007248	12,222.75	0
Dec 09, 2020	0.007448	0.007498	0.007135	0.007288	14,594.39	0
Dec 08, 2020	0.007480	0.007501	0.007130	0.007448	13,839.36	0
Dec 07, 2020	0.007342	0.007497	0.007135	0.007480	15,654.00	0
Dec 06, 2020	0.007726	0.007847	0.007136	0.007342	12,256.57	0
Dec 05, 2020	0.007562	0.007821	0.007506	0.007726	16,439.02	0
Dec 04, 2020	0.007781	0.007820	0.007506	0.007562	12,434.16	0
Dec 03, 2020	0.007510	0.007827	0.007506	0.007781	14,670.78	0
Dec 02, 2020	0.007747	0.007819	0.007506	0.007510	14,152.13	0
Dec 01, 2020	0.007753	0.007822	0.007692	0.007747	12,412.04	0
Nov 30, 2020	0.007822	0.007823	0.007693	0.007753	14,200.23	0
Nov 29, 2020	0.007748	0.007826	0.007697	0.007822	12,426.80	0
Nov 28, 2020	0.009694	0.009697	0.007617	0.007748	6,599.18	0
Nov 27, 2020	0.010804	0.011098	0.007839	0.009694	9,682.84	0
Nov 26, 2020	0.009359	0.011370	0.007951	0.010803	8,753.56	0
Nov 25, 2020	0.008440	0.010111	0.007821	0.009359	685,638	0
Nov 24, 2020	0.008835	0.010098	0.007802	0.008440	961,010	0
Nov 23, 2020	0.009429	0.010105	0.007828	0.008835	1,322,048	0
Nov 22, 2020	0.009417	0.010089	0.007874	0.009429	1,074,941	0
Nov 21, 2020	0.008446	0.010102	0.007828	0.009417	1,258,586	0
Nov 20, 2020	0.009284	0.010115	0.007830	0.008446	972,411	0
Nov 19, 2020	0.009985	0.010104	0.007632	0.009284	1,218,395	0
Nov 18, 2020	0.008385	0.010112	0.007694	0.009985	1,089,670	0
Nov 17, 2020	0.007794	0.008702	0.007607	0.008385	1,040,833	0
Nov 16, 2020	0.007968	0.008701	0.007617	0.008493	1,054,053	0
Nov 15, 2020	0.007780	0.008687	0.007614	0.007968	861,171	0
Nov 14, 2020	0.007993	0.008699	0.007610	0.007780	956,326	0
Nov 13, 2020	0.008029	0.008703	0.007606	0.007993	1,091,278	0
Nov 12, 2020	0.008059	0.008690	0.007620	0.008029	1,011,205	0
Nov 11, 2020	0.007821	0.008686	0.007624	0.008059	1,285,254	0
Nov 10, 2020	0.007776	0.008680	0.007607	0.007821	1,111,103	0
Nov 09, 2020	0.007842	0.008708	0.007610	0.007776	1,132,483	0
Nov 08, 2020	0.007230	0.008703	0.007174	0.007842	1,084,378	0
Nov 07, 2020	0.007492	0.007606	0.007172	0.007230	921,065	0
Nov 06, 2020	0.007419	0.007590	0.007164	0.007492	907,802	0
Nov 05, 2020	0.007412	0.007606	0.007165	0.007419	803,964	0
Nov 04, 2020	0.007188	0.007601	0.007164	0.007412	846,329	0
Nov 03, 2020	0.007321	0.007603	0.007164	0.007188	979,414	0
Nov 02, 2020	0.007306	0.007591	0.007167	0.007321	944,352	0
Nov 01, 2020	0.007296	0.007602	0.007164	0.007306	879,680	0
Oct 31, 2020	0.007522	0.007603	0.007167	0.007296	860,866	0
