date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000369	0.000825	0.000367	0.000651	74.26	12,651.06
Dec 15, 2020	0.022072	0.022387	0.000368	0.000369	0.164313	7,169.41
Dec 14, 2020	0.000678	0.022138	0.000675	0.022081	0	429,000
Dec 13, 2020	0.000696	0.000698	0.000650	0.000678	2.00	13,177.10
Dec 12, 2020	0.000542	0.000700	0.000541	0.000696	0.931994	13,512.84
Dec 11, 2020	0.000548	0.000548	0.000529	0.000542	3.24	10,533.10
Dec 10, 2020	0.000928	0.000928	0.000543	0.000548	23.29	10,650.13
Dec 09, 2020	0.000550	0.021154	0.000538	0.000928	27.79	18,034.40
Dec 08, 2020	0.022032	0.022137	0.000376	0.000550	35.10	10,677.91
Dec 07, 2020	0.000580	0.022100	0.000573	0.022034	0	428,087
Dec 06, 2020	0.000757	0.022153	0.000569	0.000580	29.01	11,271.67
Dec 05, 2020	0.000747	0.000762	0.000737	0.000756	25.94	14,697.50
Dec 04, 2020	0.000583	0.000812	0.000503	0.000747	29.86	14,510.88
Dec 03, 2020	0.000693	0.000702	0.000577	0.000583	0.055995	11,335.24
Dec 02, 2020	0.000564	0.000695	0.000550	0.000694	71.38	13,473.80
Dec 01, 2020	0.000589	0.000595	0.000550	0.000564	5.98	10,960.24
Nov 30, 2020	0.000364	0.000591	0.000364	0.000589	2.91	11,439.90
Nov 29, 2020	0.000532	0.022072	0.000361	0.000364	0.140243	7,063.51
Nov 28, 2020	0.000514	0.000536	0.000338	0.000532	14.54	10,326.96
Nov 27, 2020	0.000399	0.000523	0.000398	0.000514	22.46	9,994.62
Nov 26, 2020	0.000747	0.000902	0.000285	0.000400	2.83	7,764.32
Nov 25, 2020	0.000573	0.000790	0.000560	0.000751	20.22	14,581.48
Nov 24, 2020	0.000724	0.000751	0.000565	0.000573	1.12	11,137.97
Nov 23, 2020	0.000558	0.000748	0.000547	0.000724	6.69	14,071.49
Nov 22, 2020	0.000746	0.000747	0.000533	0.000559	0.565477	10,856.61
Nov 21, 2020	0.000745	0.000757	0.000624	0.000746	1.56	14,486.35
Nov 20, 2020	0.000874	0.019483	0.000738	0.000745	0.001488	14,471.93
Nov 19, 2020	0.000712	0.000885	0.000695	0.000874	22.52	16,973.12
Nov 18, 2020	0.000706	0.000736	0.000694	0.000712	6.73	13,832.68
Nov 17, 2020	0.000486	0.000852	0.000482	0.000706	7.40	13,712.38
Nov 16, 2020	0.000798	0.017228	0.000420	0.000486	24.37	9,448.44
Nov 15, 2020	0.000482	0.000806	0.000481	0.000798	0.697161	15,499.69
Nov 14, 2020	0.000653	0.000653	0.000479	0.000482	1.45	9,364.93
Nov 13, 2020	0.000651	0.000822	0.000650	0.000653	0.979323	12,681.25
Nov 12, 2020	0.000628	0.000796	0.000475	0.000651	26.96	12,648.89
Nov 11, 2020	0.000910	0.000921	0.000625	0.000628	5.22	12,196.35
Nov 10, 2020	0.002267	0.004008	0.000909	0.000909	7.12	17,667.95
Nov 09, 2020	0.000611	0.014341	0.000512	0.002267	68.51	44,051.64
Nov 08, 2020	0.000593	0.000623	0.000590	0.000611	0.633601	11,873.58
