date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.062958	0.063107	0.057518	0.057981	60,781.57	7,263,034
Dec 15, 2020	0.061337	0.063304	0.061142	0.062954	91,018.52	7,876,606
Dec 14, 2020	0.055909	0.061349	0.053900	0.061339	45,491.10	7,664,986
Dec 13, 2020	0.055057	0.057190	0.052150	0.055916	26,305.06	6,982,160
Dec 12, 2020	0.052816	0.055744	0.052590	0.055048	20,066.74	6,871,488
Dec 11, 2020	0.054836	0.055852	0.052665	0.052835	29,785.26	6,593,678
Dec 10, 2020	0.054726	0.055702	0.054608	0.054846	50,945.15	6,844,098
Dec 09, 2020	0.056866	0.057284	0.054522	0.054739	67,651.07	6,830,702
Dec 08, 2020	0.057717	0.058610	0.056400	0.056864	45,018.11	7,093,798
Dec 07, 2020	0.056410	0.058640	0.055257	0.057725	90,987.51	7,200,208
Dec 06, 2020	0.055882	0.056837	0.055005	0.056398	13,212.20	7,034,729
Dec 05, 2020	0.056637	0.057784	0.055759	0.055866	9,124.05	6,968,415
Dec 04, 2020	0.057424	0.059641	0.055065	0.056753	33,379.82	7,073,023
Dec 03, 2020	0.056584	0.058688	0.054768	0.057416	28,688.34	7,155,280
Dec 02, 2020	0.055855	0.057615	0.055355	0.056587	25,711.68	7,047,199
Dec 01, 2020	0.058200	0.060820	0.055022	0.055859	39,136.26	7,009,083
Nov 30, 2020	0.056583	0.058996	0.056574	0.058206	47,853.77	7,260,139
Nov 29, 2020	0.057894	0.059211	0.056452	0.056580	27,382.35	7,043,510
Nov 28, 2020	0.056682	0.058580	0.055900	0.057895	27,226.66	7,230,667
Nov 27, 2020	0.056253	0.056818	0.055245	0.056682	9,558.49	7,076,790
Nov 26, 2020	0.062621	0.062716	0.055738	0.056249	71,598.16	7,010,235
Nov 25, 2020	0.063149	0.066373	0.061042	0.062631	89,676.25	7,804,325
Nov 24, 2020	0.055535	0.064109	0.053466	0.063116	278,519	7,832,895
Nov 23, 2020	0.053801	0.055771	0.052885	0.055517	102,390	6,894,770
Nov 22, 2020	0.054159	0.054628	0.053180	0.053802	51,101.32	6,671,903
Nov 21, 2020	0.051682	0.054918	0.050971	0.054159	106,402	6,716,193
Nov 20, 2020	0.051473	0.055886	0.049216	0.051684	67,769.33	6,407,671
Nov 19, 2020	0.053636	0.054169	0.050464	0.051472	33,583.74	6,379,267
Nov 18, 2020	0.055332	0.056645	0.052922	0.053657	40,386.28	6,646,812
Nov 17, 2020	0.050010	0.056837	0.049717	0.055384	78,913.48	6,859,261
Nov 16, 2020	0.049615	0.051485	0.048481	0.050572	41,185.96	5,101,377
Nov 15, 2020	0.051920	0.051964	0.048577	0.049625	27,848.41	5,002,213
Nov 14, 2020	0.051414	0.054404	0.047038	0.051927	19,141.70	5,235,375
Nov 13, 2020	0.053916	0.055357	0.049369	0.051399	45,612.19	5,169,109
Nov 12, 2020	0.055376	0.055681	0.050704	0.053931	30,445.46	5,423,769
Nov 11, 2020	0.053852	0.056410	0.053852	0.055360	16,615.96	5,569,582
Nov 10, 2020	0.052966	0.057971	0.052336	0.053854	65,415.13	5,436,528
Nov 09, 2020	0.053615	0.054574	0.051991	0.052996	11,787.66	5,331,060
Nov 08, 2020	0.052570	0.054314	0.052570	0.053613	13,746.82	5,390,728
Nov 07, 2020	0.053919	0.055671	0.052510	0.052558	34,788.39	5,286,337
Nov 06, 2020	0.050959	0.053919	0.050434	0.053919	26,123.97	5,423,159
Nov 05, 2020	0.050092	0.052129	0.049994	0.050951	29,992.68	5,116,826
Nov 04, 2020	0.050899	0.052733	0.049195	0.050080	14,232.80	5,022,566
Nov 03, 2020	0.047064	0.054571	0.044938	0.050815	53,288.39	5,097,180
Nov 02, 2020	0.047903	0.050769	0.044139	0.047076	13,839.97	4,717,544
Nov 01, 2020	0.050582	0.050897	0.047835	0.047846	5,147.33	4,786,046
Oct 31, 2020	0.047904	0.052239	0.047888	0.050578	14,475.83	5,054,661
Oct 30, 2020	0.048764	0.049093	0.047654	0.047950	15,720.93	4,792,061
Oct 29, 2020	0.050713	0.051076	0.048298	0.048780	18,145.24	4,872,242
Oct 28, 2020	0.052444	0.053146	0.050520	0.050715	15,821.64	5,059,281
Oct 27, 2020	0.051908	0.053247	0.051847	0.052418	19,956.39	5,223,896
Oct 26, 2020	0.052497	0.053140	0.051258	0.051904	18,492.21	5,172,422
Oct 25, 2020	0.054186	0.054644	0.051091	0.052497	14,487.88	5,223,436
Oct 24, 2020	0.053183	0.054190	0.051973	0.054187	27,341.82	5,389,782
Oct 23, 2020	0.052679	0.055407	0.051448	0.053177	27,271.00	5,283,810
Oct 22, 2020	0.050218	0.053146	0.050031	0.052678	27,295.78	5,238,297
Oct 21, 2020	0.049050	0.051849	0.048491	0.050219	16,917.77	4,993,688
Oct 20, 2020	0.048867	0.050541	0.048354	0.049053	25,666.13	4,877,791
Oct 19, 2020	0.051467	0.051499	0.048533	0.048864	37,078.20	4,854,141
Oct 18, 2020	0.051332	0.051764	0.051065	0.051465	18,612.94	5,111,098
Oct 17, 2020	0.050529	0.051736	0.050336	0.051332	4,848.87	5,099,453
Oct 16, 2020	0.051859	0.053238	0.050529	0.050529	34,857.68	5,016,916
Oct 15, 2020	0.051895	0.052525	0.051359	0.051851	18,050.30	5,122,761
Oct 14, 2020	0.053234	0.053923	0.050847	0.051895	12,688.14	5,129,142
Oct 13, 2020	0.055785	0.056131	0.050665	0.053233	21,957.64	5,255,695
Oct 12, 2020	0.055630	0.056243	0.053177	0.055781	8,058.74	5,507,486
Oct 11, 2020	0.054007	0.056724	0.053675	0.055629	6,157.62	5,493,356
Oct 10, 2020	0.054585	0.055872	0.053941	0.053999	11,444.92	5,333,325
Oct 09, 2020	0.054606	0.055966	0.053209	0.054256	16,484.36	5,349,376
Oct 08, 2020	0.053303	0.055677	0.052679	0.054605	11,686.45	5,381,081
Oct 07, 2020	0.054549	0.054725	0.052262	0.053307	18,337.97	5,252,481
Oct 06, 2020	0.055521	0.056154	0.052944	0.054552	19,350.87	5,370,039
Oct 05, 2020	0.055330	0.056086	0.054312	0.055523	21,223.69	5,466,490
Oct 04, 2020	0.055708	0.057036	0.054422	0.055186	14,455.51	5,433,490
Oct 03, 2020	0.058220	0.058354	0.054535	0.055708	18,292.22	5,485,095
Oct 02, 2020	0.055618	0.058724	0.054891	0.058220	15,643.96	5,728,557
Oct 01, 2020	0.056222	0.057835	0.054427	0.055617	44,249.13	5,463,138
Sep 30, 2020	0.057280	0.057307	0.054714	0.055053	13,171.76	5,400,624
Sep 29, 2020	0.056359	0.059229	0.055606	0.057284	26,329.02	5,619,264
Sep 28, 2020	0.055827	0.058127	0.055827	0.056363	16,875.13	5,519,573
Sep 27, 2020	0.058615	0.059159	0.054827	0.055731	5,545.09	5,453,387
Sep 26, 2020	0.057087	0.058770	0.056147	0.058592	18,930.62	5,733,295
Sep 25, 2020	0.054417	0.057680	0.054107	0.057087	34,202.05	5,578,396
Sep 24, 2020	0.054499	0.055043	0.053273	0.054417	33,872.27	5,317,498
Sep 23, 2020	0.056528	0.057250	0.054282	0.054499	51,836.78	5,319,321
Sep 22, 2020	0.057526	0.059705	0.056179	0.056557	29,972.02	5,520,640
Sep 21, 2020	0.060752	0.061606	0.057297	0.057527	47,167.77	5,615,365
Sep 20, 2020	0.064240	0.064240	0.060524	0.060754	13,465.46	5,930,269
Sep 19, 2020	0.062714	0.065088	0.061988	0.064237	82,583.75	6,290,468
Sep 18, 2020	0.065883	0.066342	0.062115	0.062702	56,129.80	6,142,033
Sep 17, 2020	0.062469	0.066342	0.062122	0.065883	21,623.08	6,452,207
Sep 16, 2020	0.064378	0.066178	0.061385	0.062465	26,755.70	6,115,024
Sep 15, 2020	0.068034	0.068200	0.064095	0.064380	17,454.76	6,298,052
Sep 14, 2020	0.063794	0.068238	0.063541	0.068016	21,485.71	6,650,472
Sep 13, 2020	0.066552	0.069647	0.063218	0.063786	44,353.55	6,229,045
Sep 12, 2020	0.062539	0.067435	0.062369	0.066552	38,003.14	6,503,709
Sep 11, 2020	0.071894	0.072688	0.059654	0.062524	242,660	6,111,028
Sep 10, 2020	0.070494	0.073495	0.067304	0.071894	42,669.24	7,024,144
Sep 09, 2020	0.068811	0.071079	0.067357	0.070502	17,851.62	6,888,326
Sep 08, 2020	0.072209	0.072521	0.065380	0.068809	70,395.22	6,710,848
Sep 07, 2020	0.071225	0.072253	0.068853	0.072199	11,432.45	7,041,020
Sep 06, 2020	0.067600	0.071709	0.066065	0.071221	20,808.95	6,945,656
Sep 05, 2020	0.074884	0.076183	0.065294	0.067600	81,496.47	6,606,645
Sep 04, 2020	0.077971	0.079311	0.073556	0.074894	82,017.54	7,318,806
Sep 03, 2020	0.084884	0.087162	0.077381	0.077956	147,035	7,613,590
Sep 02, 2020	0.090587	0.091451	0.082950	0.084884	90,049.40	8,289,354
Sep 01, 2020	0.088288	0.091586	0.084606	0.090586	173,159	8,863,924
Aug 31, 2020	0.084633	0.092799	0.083595	0.088280	91,246.13	8,625,767
Aug 30, 2020	0.086949	0.088623	0.083752	0.084592	112,323	8,245,718
Aug 29, 2020	0.080019	0.090399	0.080019	0.086969	291,479	8,465,213
Aug 28, 2020	0.076662	0.084531	0.076662	0.080069	155,834	7,760,352
Aug 27, 2020	0.073832	0.083434	0.073813	0.076653	304,744	7,425,585
Aug 26, 2020	0.078306	0.079833	0.073643	0.073848	98,796.79	7,103,265
Aug 25, 2020	0.077927	0.081098	0.075143	0.078366	102,301	7,539,033
Aug 24, 2020	0.077554	0.078996	0.075855	0.077928	39,640.84	7,494,604
Aug 23, 2020	0.075195	0.078500	0.074567	0.077554	37,239.11	7,542,451
Aug 22, 2020	0.074447	0.078427	0.073732	0.075199	39,827.45	7,323,071
Aug 21, 2020	0.076932	0.081624	0.073673	0.074440	163,367	7,246,560
Aug 20, 2020	0.069839	0.080904	0.069127	0.076946	295,472	7,483,185
Aug 19, 2020	0.076271	0.079838	0.067105	0.069840	124,770	6,786,977
Aug 18, 2020	0.078344	0.079407	0.071680	0.077006	145,767	7,635,220
Aug 17, 2020	0.069114	0.081532	0.069030	0.078351	297,185	7,763,217
Aug 16, 2020	0.066894	0.069485	0.064933	0.069114	69,746.18	6,839,099
Aug 15, 2020	0.067484	0.069581	0.065205	0.066902	27,123.41	6,615,317
Aug 14, 2020	0.066604	0.069891	0.064895	0.067485	53,499.40	6,670,380
Aug 13, 2020	0.063866	0.068779	0.062609	0.066623	72,097.75	6,580,738
Aug 12, 2020	0.063907	0.066879	0.062825	0.063769	39,770.97	6,300,800
Aug 11, 2020	0.066842	0.067958	0.062978	0.063893	39,785.11	6,313,842
Aug 10, 2020	0.066104	0.068616	0.063310	0.066831	125,037	6,603,796
Aug 09, 2020	0.065592	0.066159	0.063578	0.066086	42,808.95	6,524,683
Aug 08, 2020	0.066832	0.069058	0.063552	0.065578	125,658	6,474,551
Aug 07, 2020	0.068604	0.071519	0.065374	0.066815	30,935.03	6,592,514
Aug 06, 2020	0.070005	0.071193	0.066597	0.068609	51,734.99	6,722,154
Aug 05, 2020	0.067744	0.074399	0.067122	0.070004	46,345.92	6,858,838
Aug 04, 2020	0.069624	0.071705	0.066070	0.067736	26,840.13	6,636,564
Aug 03, 2020	0.068398	0.072241	0.065616	0.069626	75,187.55	6,822,689
Aug 02, 2020	0.069833	0.071790	0.065615	0.068379	56,518.12	6,699,539
Aug 01, 2020	0.069172	0.072104	0.068684	0.069835	44,734.06	6,832,362
Jul 31, 2020	0.069016	0.072399	0.067728	0.069172	44,611.35	6,764,528
Jul 30, 2020	0.070396	0.070396	0.066505	0.069019	26,907.24	6,742,354
Jul 29, 2020	0.069440	0.071229	0.067289	0.070364	54,028.81	6,869,097
Jul 28, 2020	0.068277	0.072619	0.065265	0.069432	185,621	6,771,113
Jul 27, 2020	0.069103	0.076480	0.065846	0.068314	157,400	6,670,985
Jul 26, 2020	0.070717	0.071420	0.067594	0.069103	57,417.66	6,745,636
Jul 25, 2020	0.070723	0.073300	0.068478	0.070711	100,287	6,909,671
Jul 24, 2020	0.072402	0.075207	0.070276	0.070720	62,275.65	6,909,241
Jul 23, 2020	0.075275	0.078236	0.071394	0.073054	114,802	7,138,896
Jul 22, 2020	0.071841	0.075753	0.069504	0.075276	113,408	7,354,168
Jul 21, 2020	0.072202	0.072875	0.068678	0.071836	70,372.72	7,017,195
Jul 20, 2020	0.070257	0.072509	0.069584	0.072198	41,050.80	7,049,468
Jul 19, 2020	0.070429	0.071848	0.069028	0.070191	37,933.61	6,853,521
