date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.033430	0.036110	0.033013	0.036087	0	0
Dec 15, 2020	0.033239	0.033819	0.032933	0.033430	0	0
Dec 14, 2020	0.033446	0.033493	0.032734	0.033238	0	0
Dec 13, 2020	0.032249	0.033679	0.032022	0.033443	0	0
Dec 12, 2020	0.030958	0.032520	0.030926	0.032255	0	0
Dec 11, 2020	0.031745	0.031785	0.030505	0.030955	0	0
Dec 10, 2020	0.032528	0.032591	0.031184	0.031746	0	0
Dec 09, 2020	0.031470	0.032744	0.030232	0.032526	0	0
Dec 08, 2020	0.033569	0.033734	0.031336	0.031462	0	0
Dec 07, 2020	0.034140	0.034198	0.033206	0.033574	0	0
Dec 06, 2020	0.033839	0.034417	0.033148	0.034128	0	0
Dec 05, 2020	0.032294	0.033833	0.031939	0.033833	0	0
Dec 04, 2020	0.034980	0.035109	0.032290	0.032301	0	0
Dec 03, 2020	0.033939	0.035306	0.033371	0.034983	0	0
Dec 02, 2020	0.033313	0.034260	0.032826	0.033940	0	0
Dec 01, 2020	0.034874	0.036026	0.032430	0.033325	0	0
Nov 30, 2020	0.032657	0.034896	0.032418	0.034867	0	0
Nov 29, 2020	0.030528	0.032705	0.030174	0.032659	0	0
Nov 28, 2020	0.029352	0.031085	0.028821	0.030534	0	0
Nov 27, 2020	0.029426	0.030106	0.028204	0.029348	0	0
Nov 26, 2020	0.032369	0.032650	0.027537	0.029418	0	0
Nov 25, 2020	0.034253	0.034321	0.031745	0.032377	0	0
Nov 24, 2020	0.034512	0.035233	0.033682	0.034249	0	0
Nov 23, 2020	0.031654	0.034599	0.031268	0.034520	0	0
Nov 22, 2020	0.031167	0.032862	0.029183	0.031656	0	0
Nov 21, 2020	0.028913	0.031209	0.028600	0.031166	0	0
Nov 20, 2020	0.026751	0.029132	0.026751	0.028914	0	0
Nov 19, 2020	0.027196	0.027233	0.026415	0.026752	0	0
Nov 18, 2020	0.027246	0.027906	0.026422	0.027193	0	0
Nov 17, 2020	0.026341	0.027352	0.026135	0.027245	0	0
Nov 16, 2020	0.025386	0.026309	0.025269	0.026086	0	0
Nov 15, 2020	0.026100	0.026148	0.024971	0.025386	0	0
Nov 14, 2020	0.026921	0.026951	0.025693	0.026099	0	0
Nov 13, 2020	0.026148	0.026954	0.025938	0.026921	0	0
Nov 12, 2020	0.026259	0.026527	0.025642	0.026148	0	0
Nov 11, 2020	0.025506	0.026861	0.025497	0.026259	0	0
Nov 10, 2020	0.025193	0.025737	0.024934	0.025507	0	0
Nov 09, 2020	0.025726	0.025941	0.024683	0.025194	0	0
Nov 08, 2020	0.024714	0.025965	0.024568	0.025726	0	0
Nov 07, 2020	0.025792	0.026413	0.024302	0.024714	0	0
Nov 06, 2020	0.023486	0.025876	0.023424	0.025792	0	0
