date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.048095	0.059014	0.042085	0.049733	2,624.86	3,587,163
Dec 15, 2020	0.039996	0.055712	0.037183	0.048104	1,012.88	3,469,640
Dec 14, 2020	0.040426	0.044016	0.036858	0.039997	328.16	2,884,897
Dec 13, 2020	0.034218	0.069735	0.034098	0.040422	2,817.12	2,915,595
Dec 12, 2020	0.030305	0.038624	0.025532	0.034222	1,778.14	2,468,351
Dec 11, 2020	0.032467	0.032482	0.023924	0.030302	925.70	2,185,649
Dec 10, 2020	0.026857	0.032805	0.024295	0.032465	937.09	2,341,641
Dec 09, 2020	0.024245	0.027432	0.022952	0.026873	1,064.39	1,938,327
Dec 08, 2020	0.023239	0.025983	0.022751	0.024254	999.33	1,749,426
Dec 07, 2020	0.022802	0.027795	0.022802	0.023244	1,049.94	1,676,550
Dec 06, 2020	0.019287	0.027453	0.019161	0.022800	2,413.67	1,644,559
Dec 05, 2020	0.028324	0.036026	0.011055	0.019279	1,791.07	1,390,573
Dec 04, 2020	0.000339	0.081477	0.000270	0.028407	1,111.77	2,048,968
Dec 03, 2020	0.000335	0.000345	0.000331	0.000339	0	24,472.98
Dec 02, 2020	0.000327	0.000338	0.000321	0.000335	0	24,172.92
Dec 01, 2020	0.000341	0.000344	0.000318	0.000327	0	23,621.44
Nov 30, 2020	0.000318	0.000343	0.000317	0.000341	0	24,573.71
Nov 29, 2020	0.000310	0.000320	0.000307	0.000318	0	22,914.04
Nov 28, 2020	0.000298	0.000312	0.000295	0.000310	0	22,371.95
Nov 27, 2020	0.000297	0.000303	0.000288	0.000298	0	21,493.38
Nov 26, 2020	0.000325	0.000328	0.000282	0.000297	0	21,397.07
Nov 25, 2020	0.000333	0.000336	0.000322	0.000325	0	23,449.01
Nov 24, 2020	0.000322	0.000336	0.000315	0.000333	0	24,024.43
Nov 23, 2020	0.000322	0.000330	0.000316	0.000322	0	23,244.25
Nov 22, 2020	0.000332	0.000334	0.000309	0.000322	0	23,233.94
Nov 21, 2020	0.000365	0.000370	0.000329	0.000332	0	23,973.35
Nov 20, 2020	0.000351	0.000367	0.000350	0.000365	0	26,298.16
Nov 19, 2020	0.000342	0.000357	0.000337	0.000351	0	25,284.76
