date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.035599	0.039026	0.033148	0.036895	217,543	0
Dec 15, 2020	0.035920	0.040943	0.033052	0.035600	237,065	0
Dec 14, 2020	0.039622	0.040931	0.032512	0.035919	252,906	0
Dec 13, 2020	0.037980	0.040952	0.037903	0.039623	265,168	0
Dec 12, 2020	0.041116	0.041188	0.037919	0.037981	265,215	0
Dec 11, 2020	0.037872	0.042013	0.035967	0.041116	258,639	0
Dec 10, 2020	0.039773	0.041694	0.037013	0.037873	258,602	0
Dec 09, 2020	0.041428	0.041720	0.038040	0.039775	257,214	0
Dec 08, 2020	0.039914	0.041683	0.038501	0.041429	271,094	0
Dec 07, 2020	0.040656	0.041729	0.039094	0.039912	262,077	0
Dec 06, 2020	0.041377	0.041716	0.039105	0.040655	264,184	0
Dec 05, 2020	0.040598	0.041698	0.038024	0.041377	273,532	0
Dec 04, 2020	0.039368	0.041944	0.036571	0.040598	262,359	0
Dec 03, 2020	0.040427	0.040794	0.038080	0.039368	266,400	0
Dec 02, 2020	0.038998	0.040794	0.038082	0.040426	265,094	0
Dec 01, 2020	0.041431	0.041431	0.038064	0.038996	262,899	0
Nov 30, 2020	0.036880	0.042561	0.030053	0.041431	260,891	0
Nov 29, 2020	0.042442	0.042559	0.036025	0.036880	258,654	0
Nov 28, 2020	0.041106	0.044596	0.037571	0.042442	264,757	0
Nov 27, 2020	0.044076	0.044487	0.039092	0.041106	278,380	0
Nov 26, 2020	0.045345	0.045756	0.042960	0.044073	290,092	0
Nov 25, 2020	0.044185	0.046013	0.041531	0.045346	287,051	0
Nov 24, 2020	0.045198	0.045801	0.043483	0.044184	290,669	0
Nov 23, 2020	0.045429	0.045769	0.044855	0.045197	299,053	0
Nov 22, 2020	0.045460	0.045887	0.044847	0.045429	294,401	0
Nov 21, 2020	0.045939	0.045987	0.044994	0.045460	292,718	0
Nov 20, 2020	0.046060	0.047488	0.045055	0.045939	302,812	0
Nov 19, 2020	0.046316	0.047494	0.045382	0.046060	154,424	0
Nov 18, 2020	0.045840	0.046330	0.045742	0.046316	53,781.98	0
Nov 17, 2020	0.047642	0.047642	0.045426	0.045840	7,162.66	0
Nov 16, 2020	0.046164	0.047655	0.045443	0.047641	530.68	0
Nov 15, 2020	0.045903	0.047490	0.045315	0.046164	101,112	0
Nov 14, 2020	0.047494	0.047682	0.044904	0.045903	303,863	0
Nov 13, 2020	0.047829	0.048718	0.045294	0.047494	305,999	0
Nov 12, 2020	0.048240	0.048735	0.046093	0.047829	325,004	0
Nov 11, 2020	0.046415	0.048735	0.044310	0.048240	275,822	0
Nov 10, 2020	0.046207	0.049347	0.044057	0.046415	306,612	0
Nov 09, 2020	0.048015	0.048414	0.043794	0.046207	293,047	0
Nov 08, 2020	0.046273	0.048425	0.045927	0.048015	294,021	0
Nov 07, 2020	0.046356	0.047431	0.045908	0.046273	303,974	0
Nov 06, 2020	0.048436	0.049347	0.045884	0.046356	293,582	0
Nov 05, 2020	0.049332	0.049382	0.045934	0.048436	315,207	0
Nov 04, 2020	0.049328	0.049383	0.049273	0.049332	309,093	0
Nov 03, 2020	0.049789	0.050443	0.049270	0.049328	315,577	0
Nov 02, 2020	0.051338	0.052163	0.049288	0.049789	337,940	0
Nov 01, 2020	0.052070	0.052149	0.050913	0.051338	336,015	0
Oct 31, 2020	0.052192	0.052193	0.050923	0.052070	163,442	0
Oct 30, 2020	0.049278	0.053124	0.046095	0.052192	0	0
Oct 29, 2020	0.045761	0.049622	0.043707	0.049278	277,183	0
Oct 28, 2020	0.047355	0.050155	0.045327	0.045761	260,078	0
Oct 27, 2020	0.049830	0.050164	0.045353	0.047355	307,047	0
Oct 26, 2020	0.045948	0.050233	0.045936	0.049830	305,512	0
Oct 25, 2020	0.045956	0.045981	0.045947	0.045948	304,771	0
Oct 24, 2020	0.047134	0.048876	0.045937	0.045956	311,656	0
Oct 23, 2020	0.047788	0.052972	0.046825	0.047134	320,142	0
Oct 22, 2020	0.048048	0.048056	0.046623	0.047789	227,506	0
Oct 21, 2020	0.049374	0.049385	0.047996	0.048048	1,984.99	0
Oct 20, 2020	0.049900	0.052244	0.047708	0.049375	91,353.55	0
Oct 19, 2020	0.050436	0.051002	0.049557	0.050708	334,898	0
