date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.013351	0.015085	0.011954	0.014370	25,833.25	0
Dec 15, 2020	0.012210	0.014176	0.011939	0.013352	23,043.76	0
Dec 14, 2020	0.012525	0.014251	0.011983	0.012209	24,029.08	0
Dec 13, 2020	0.011566	0.014371	0.011566	0.012524	23,315.65	0
Dec 12, 2020	0.012618	0.014026	0.011224	0.011568	22,795.82	0
Dec 11, 2020	0.012532	0.013241	0.011147	0.012617	18,697.24	0
Dec 10, 2020	0.012376	0.013802	0.011206	0.012532	22,134.17	0
Dec 09, 2020	0.012982	0.013544	0.011470	0.012375	22,088.00	0
Dec 08, 2020	0.013298	0.014173	0.011739	0.012980	22,031.86	0
Dec 07, 2020	0.012911	0.014422	0.012066	0.013300	23,915.69	0
Dec 06, 2020	0.012210	0.014930	0.011854	0.012907	23,750.82	0
Dec 05, 2020	0.014051	0.015094	0.011557	0.012207	21,118.75	0
Dec 04, 2020	0.013987	0.015187	0.011531	0.014063	20,084.25	0
Dec 03, 2020	0.013018	0.015799	0.011533	0.013988	24,960.56	0
Dec 02, 2020	0.013720	0.015732	0.012452	0.013019	23,665.96	0
Dec 01, 2020	0.015113	0.016160	0.012163	0.013724	21,993.74	0
Nov 30, 2020	0.012318	0.015813	0.012318	0.015111	24,014.29	0
Nov 29, 2020	0.013852	0.015113	0.010753	0.012318	21,511.02	0
Nov 28, 2020	0.012418	0.014512	0.010257	0.013854	21,635.43	0
Nov 27, 2020	0.012436	0.013700	0.009749	0.012417	20,477.34	0
Nov 26, 2020	0.014523	0.015759	0.009859	0.012429	20,244.56	0
Nov 25, 2020	0.012136	0.016785	0.011509	0.014525	23,169.58	0
Nov 24, 2020	0.016435	0.016898	0.011248	0.012135	24,032.59	0
Nov 23, 2020	0.013374	0.016412	0.012246	0.016412	20,821.09	0
Nov 22, 2020	0.013159	0.016406	0.011882	0.013375	22,632.67	0
Nov 21, 2020	0.012790	0.016408	0.011741	0.013159	21,921.99	0
Nov 20, 2020	0.011837	0.016118	0.011177	0.012790	18,817.76	0
Nov 19, 2020	0.013048	0.013050	0.011036	0.011838	19,034.30	0
Nov 18, 2020	0.011522	0.013289	0.011018	0.013047	20,030.97	0
Nov 17, 2020	0.011977	0.013097	0.010726	0.011521	16,496.89	0
Nov 16, 2020	0.010696	0.012351	0.010393	0.011522	18,900.35	0
Nov 15, 2020	0.012077	0.012180	0.010231	0.010697	17,516.03	0
Nov 14, 2020	0.010994	0.012555	0.010139	0.012078	20,507.85	0
Nov 13, 2020	0.011238	0.012607	0.010358	0.010994	18,119.10	0
Nov 12, 2020	0.011641	0.012477	0.010193	0.011239	19,859.67	0
Nov 11, 2020	0.010919	0.012589	0.010493	0.011639	20,689.02	0
Nov 10, 2020	0.011076	0.012213	0.009868	0.010920	16,773.21	0
Nov 09, 2020	0.011397	0.011911	0.010002	0.011077	16,931.78	0
Nov 08, 2020	0.010731	0.011607	0.009915	0.011397	16,722.04	0
Nov 07, 2020	0.011038	0.011866	0.009922	0.010731	16,941.93	0
Nov 06, 2020	0.009838	0.011825	0.009535	0.011038	19,449.31	0
Nov 05, 2020	0.009339	0.010595	0.008914	0.009838	16,493.28	0
Nov 04, 2020	0.008881	0.010201	0.008496	0.009339	15,401.29	0
Nov 03, 2020	0.008685	0.009879	0.008389	0.008876	14,798.99	0
Nov 02, 2020	0.009679	0.010086	0.008578	0.008686	16,028.70	0
Nov 01, 2020	0.009463	0.010092	0.008673	0.009675	15,568.10	0
Oct 31, 2020	0.009218	0.010050	0.008613	0.009463	13,932.96	0
Oct 30, 2020	0.008947	0.009934	0.008366	0.009221	16,406.44	0
Oct 29, 2020	0.009364	0.009980	0.008196	0.008949	14,887.28	0
Oct 28, 2020	0.009452	0.010990	0.008212	0.009364	15,769.90	0
Oct 27, 2020	0.010508	0.010931	0.008420	0.009449	14,825.32	0
Oct 26, 2020	0.010029	0.011039	0.008538	0.010507	15,343.48	0
Oct 25, 2020	0.010001	0.010347	0.008954	0.010028	15,954.05	0
Oct 24, 2020	0.009186	0.010492	0.009013	0.010002	16,168.12	0
Oct 23, 2020	0.009729	0.010416	0.009072	0.009186	16,294.35	0
Oct 22, 2020	0.009113	0.010154	0.008754	0.009736	17,781.35	0
Oct 21, 2020	0.008658	0.010096	0.008279	0.009152	12,890.03	0
Oct 20, 2020	0.009028	0.009562	0.008093	0.008658	14,922.03	0
Oct 19, 2020	0.009120	0.009893	0.008440	0.009027	15,872.00	0
Oct 18, 2020	0.009325	0.009854	0.008456	0.009014	14,579.50	0
Oct 17, 2020	0.008430	0.009728	0.008213	0.009324	13,084.93	0
Oct 16, 2020	0.008776	0.009848	0.008239	0.008630	14,480.62	0
Oct 15, 2020	0.008806	0.009863	0.008256	0.008776	15,494.61	0
Oct 14, 2020	0.009496	0.010133	0.008366	0.008979	12,855.74	0
Oct 13, 2020	0.009739	0.010129	0.008246	0.009049	15,762.30	0
Oct 12, 2020	0.009093	0.010083	0.007920	0.009984	14,268.83	0
Oct 11, 2020	0.008871	0.009766	0.007616	0.009170	15,416.27	0
Oct 10, 2020	0.008942	0.009843	0.007755	0.009226	14,674.60	0
Oct 09, 2020	0.008889	0.009409	0.007213	0.008942	15,229.52	0
Oct 08, 2020	0.006811	0.009151	0.006802	0.008889	14,729.74	0
Oct 07, 2020	0.008778	0.009390	0.006620	0.006811	13,683.54	0
Oct 06, 2020	0.007798	0.009592	0.006809	0.008778	14,298.94	0
Oct 05, 2020	0.007789	0.012964	0.006925	0.007801	12,773.76	0
Oct 04, 2020	0.008439	0.013438	0.007339	0.007788	2,604.81	0
Oct 03, 2020	0.007562	0.008887	0.007372	0.008439	2,789.24	0
Oct 02, 2020	0.007259	0.007923	0.006585	0.007562	3,685.00	0
Oct 01, 2020	0.007416	0.008038	0.006860	0.007250	13,046.30	0
Sep 30, 2020	0.007798	0.007977	0.007065	0.007841	15,364.21	0
Sep 29, 2020	0.008751	0.009507	0.006841	0.007798	15,162.79	0
Sep 28, 2020	0.009158	0.009751	0.007551	0.008751	11,449.08	0
Sep 27, 2020	0.007764	0.009547	0.007585	0.009158	12,214.21	0
Sep 26, 2020	0.007949	0.009586	0.007575	0.007764	11,156.07	0
Sep 25, 2020	0.008741	0.009438	0.007594	0.007949	14,965.80	0
Sep 24, 2020	0.008668	0.025866	0.007194	0.008741	12,288.91	0
Sep 23, 2020	0.007679	0.009353	0.007370	0.008667	13,491.54	0
Sep 22, 2020	0.008725	0.009427	0.007632	0.009285	13,104.11	0
Sep 21, 2020	0.008707	0.010071	0.007214	0.008746	12,800.77	0
Sep 20, 2020	0.010279	0.010279	0.007385	0.008707	14,352.82	0
Sep 19, 2020	0.008879	0.010572	0.007736	0.010280	13,320.12	0
Sep 18, 2020	0.009520	0.010624	0.007683	0.008879	15,519.94	0
Sep 17, 2020	0.010110	0.010443	0.007603	0.009520	15,469.95	0
Sep 16, 2020	0.008390	0.010110	0.007313	0.010110	14,557.76	0
Sep 15, 2020	0.008771	0.010729	0.008166	0.008391	13,697.16	0
Sep 14, 2020	0.008612	0.010896	0.007948	0.008771	14,621.81	0
Sep 13, 2020	0.010017	0.011158	0.007854	0.009393	14,262.75	0
Sep 12, 2020	0.009448	0.010837	0.007672	0.010017	15,083.90	0
