date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.579794	0.640763	0.576248	0.636802	11,143.14	0
Dec 15, 2020	0.575280	0.583017	0.569814	0.579900	10,250.19	0
Dec 14, 2020	0.572357	0.577022	0.568480	0.575299	11,348.06	0
Dec 13, 2020	0.562205	0.579478	0.560133	0.572310	11,497.60	0
Dec 12, 2020	0.540630	0.565671	0.533781	0.562261	11,452.87	0
Dec 11, 2020	0.547385	0.547489	0.528041	0.540585	9,450.60	0
Dec 10, 2020	0.556385	0.556385	0.538172	0.547348	10,219.91	0
Dec 09, 2020	1.65	1.65	0.183435	0.556372	338.18	0
Dec 08, 2020	0.191943	1.73	0.191541	1.65	13,275.31	0
Dec 07, 2020	1.78	1.78	0.189535	0.191981	8,693.46	0
Dec 06, 2020	1.76	1.78	1.74	1.78	11,225.56	0
Dec 05, 2020	1.72	1.76	1.71	1.76	7,127.38	0
Dec 04, 2020	1.79	1.79	1.72	1.72	12,334.87	0
Dec 03, 2020	1.77	1.80	1.74	1.79	9,993.38	0
Dec 02, 2020	1.73	1.77	1.68	1.77	10,921.61	0
Dec 01, 2020	1.80	1.83	1.69	1.73	9,880.81	0
Nov 30, 2020	1.67	1.82	1.67	1.80	10,538.16	0
Nov 29, 2020	1.63	1.68	1.61	1.67	10,511.28	0
Nov 28, 2020	1.57	1.64	1.55	1.63	9,127.57	0
Nov 27, 2020	1.58	1.60	1.52	1.57	10,345.81	0
Nov 26, 2020	1.72	1.73	1.51	1.57	10,660.93	0
Nov 25, 2020	1.75	1.77	1.69	1.72	7,513.40	0
Nov 24, 2020	1.69	1.78	1.67	1.75	7,084.28	0
Nov 23, 2020	1.70	1.74	1.67	1.69	11,317.57	0
Nov 22, 2020	1.73	1.74	1.64	1.70	8,627.26	0
Nov 21, 2020	1.73	1.76	1.71	1.73	16,408.46	0
Nov 20, 2020	1.65	1.74	1.65	1.73	9,603.97	0
Nov 19, 2020	1.65	1.68	1.61	1.65	13,218.36	0
Nov 18, 2020	1.64	1.71	1.61	1.65	10,170.14	0
Nov 17, 2020	1.55	1.65	1.54	1.64	13,334.47	0
Nov 16, 2020	1.48	1.56	1.47	1.55	9,492.67	0
Nov 15, 2020	1.49	1.50	1.47	1.48	9,757.65	0
Nov 14, 2020	1.51	1.51	1.46	1.49	8,341.04	0
Nov 13, 2020	1.51	1.53	1.48	1.51	9,113.19	0
Nov 12, 2020	1.46	1.51	1.44	1.51	8,447.14	0
Nov 11, 2020	1.42	1.48	1.42	1.46	8,957.82	0
Nov 10, 2020	1.42	1.43	1.40	1.42	7,892.59	0
Nov 09, 2020	1.43	1.46	1.38	1.42	9,257.18	0
Nov 08, 2020	1.38	1.45	1.37	1.43	10,953.01	0
Nov 07, 2020	1.46	1.47	1.35	1.38	6,092.09	0
Nov 06, 2020	1.46	1.49	1.43	1.46	11,195.11	0
Nov 05, 2020	1.33	1.47	1.32	1.46	7,270.07	0
Nov 04, 2020	1.36	1.36	1.28	1.33	7,874.81	0
Nov 03, 2020	1.31	1.36	1.27	1.35	5,533.53	0
Nov 02, 2020	1.33	1.34	1.28	1.31	9,353.19	0
Nov 01, 2020	1.19	1.36	1.18	1.33	7,767.72	0
Oct 31, 2020	1.22	1.33	0.171689	1.19	11,576.14	0
Oct 30, 2020	1.39	1.41	1.09	1.22	596.83	0
Oct 29, 2020	2.39	2.42	1.39	1.39	7,466.10	0
Oct 28, 2020	2.45	2.49	2.33	2.39	7,492.59	0
Oct 27, 2020	2.35	2.47	2.35	2.45	7,707.66	0
Oct 26, 2020	2.33	2.37	2.30	2.35	10,666.13	0
Oct 25, 2020	2.33	2.37	2.29	2.33	9,058.76	0
Oct 24, 2020	2.31	2.36	2.30	2.33	6,874.99	0
