date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.015008	0.015172	0.013505	0.013872	12,281,255	10,684,838
Dec 15, 2020	0.014092	0.015119	0.013879	0.015042	9,424,879	11,585,595
Dec 14, 2020	0.013463	0.014193	0.013249	0.014080	8,768,348	10,844,841
Dec 13, 2020	0.012819	0.013922	0.012625	0.013481	7,911,786	10,383,602
Dec 12, 2020	0.012390	0.013725	0.012162	0.012824	8,748,182	9,877,523
Dec 11, 2020	0.013537	0.013668	0.012346	0.012389	6,334,801	9,542,809
Dec 10, 2020	0.013803	0.013907	0.013033	0.013528	6,594,667	10,420,039
Dec 09, 2020	0.013658	0.013902	0.012895	0.013803	7,724,200	10,631,653
Dec 08, 2020	0.015319	0.015319	0.013630	0.013653	8,355,593	10,516,412
Dec 07, 2020	0.015726	0.015728	0.015055	0.015320	8,489,750	11,800,330
Dec 06, 2020	0.016358	0.016358	0.015207	0.015744	10,117,919	12,126,839
Dec 05, 2020	0.014175	0.016606	0.014044	0.016313	16,068,050	12,565,048
Dec 04, 2020	0.016042	0.016042	0.013890	0.014176	10,121,464	10,918,969
Dec 03, 2020	0.018011	0.018011	0.015650	0.016046	15,508,890	12,359,158
Dec 02, 2020	0.014034	0.025438	0.013555	0.018189	67,608,885	14,009,893
Dec 01, 2020	0.012114	0.015392	0.012011	0.014004	14,129,368	10,786,368
Nov 30, 2020	0.012691	0.012744	0.012036	0.012094	2,519,544	9,315,123
Nov 29, 2020	0.011801	0.012938	0.011361	0.012692	9,007,148	9,775,705
Nov 28, 2020	0.011047	0.011892	0.010788	0.011802	2,565,277	9,090,087
Nov 27, 2020	0.008219	0.011263	0.007835	0.011046	5,358,322	8,508,146
Nov 26, 2020	0.009538	0.009933	0.007570	0.008213	6,430,736	6,325,820
Nov 25, 2020	0.009469	0.010369	0.009238	0.009539	5,411,741	7,347,167
Nov 24, 2020	0.009030	0.009703	0.008906	0.009469	5,938,704	7,293,418
Nov 23, 2020	0.008397	0.009491	0.008078	0.009026	9,771,979	6,952,339
Nov 22, 2020	0.009198	0.015609	0.007748	0.008403	11,153,169	6,472,620
Nov 21, 2020	0.012696	0.022801	0.007155	0.009198	7,292,000	7,084,863
Nov 20, 2020	0.008915	0.016349	0.008080	0.012697	6,349,287	9,779,571
Nov 19, 2020	0.006866	0.014917	0.006670	0.008915	5,247,328	6,866,372
Nov 18, 2020	0.010534	0.022871	0.006676	0.006865	5,117,715	5,287,897
Nov 17, 2020	0.009867	0.017809	0.006789	0.010533	3,486,362	8,113,037
Nov 16, 2020	0.008758	0.022013	0.006673	0.010794	6,671,263	8,313,797
Nov 15, 2020	0.009498	0.015335	0.006455	0.008758	10,039,321	6,745,366
Nov 14, 2020	0.011588	0.018737	0.009137	0.009498	5,326,723	7,315,448
Nov 13, 2020	0.010513	0.011860	0.010513	0.011588	11,700,381	8,925,617
Nov 12, 2020	0.010582	0.010871	0.010337	0.010512	5,222,678	8,097,020
Nov 11, 2020	0.011253	0.012170	0.010532	0.010583	9,155,308	8,151,394
Nov 10, 2020	0.010381	0.011361	0.010333	0.011254	6,926,828	8,668,242
Nov 09, 2020	0.010008	0.010391	0.009775	0.010382	6,045,629	7,996,457
Nov 08, 2020	0.010316	0.012290	0.009870	0.010008	4,710,302	7,708,615
Nov 07, 2020	0.011276	0.011401	0.010208	0.010316	5,631,265	7,945,654
Nov 06, 2020	0.010938	0.012174	0.010581	0.011274	8,493,250	8,683,498
Nov 05, 2020	0.010208	0.011216	0.009571	0.010938	7,740,338	8,424,634
Nov 04, 2020	0.008874	0.011739	0.008703	0.010208	5,435,937	7,862,529
Nov 03, 2020	0.010094	0.010208	0.008853	0.008861	4,206,007	6,824,731
Nov 02, 2020	0.010457	0.010725	0.009916	0.010106	6,532,114	7,783,856
Nov 01, 2020	0.011014	0.011153	0.010288	0.010457	5,202,305	8,054,391
Oct 31, 2020	0.009429	0.011158	0.009257	0.011014	3,841,196	8,483,666
Oct 30, 2020	0.009195	0.009512	0.009146	0.009429	4,297,280	7,262,790
Oct 29, 2020	0.009570	0.009624	0.009174	0.009195	2,187,584	7,082,454
