date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.082328	0.090986	0.081825	0.090423	0	0
Dec 15, 2020	0.081606	0.082786	0.080899	0.082344	0	0
Dec 14, 2020	0.081164	0.081854	0.080614	0.081608	0	0
Dec 13, 2020	0.081044	0.082178	0.079914	0.081157	2.57	0
Dec 12, 2020	0.077834	0.081543	0.077778	0.081052	0	0
Dec 11, 2020	0.077809	0.078338	0.074901	0.077827	0.036284	0
Dec 10, 2020	0.082750	0.082750	0.077804	0.077804	6.45	0
Dec 09, 2020	0.081158	0.083073	0.079468	0.082749	0.020627	0
Dec 08, 2020	0.085027	0.085426	0.080936	0.081192	0	0
Dec 07, 2020	0.088958	0.089294	0.083865	0.085043	0.000850	0
Dec 06, 2020	0.088107	0.089196	0.086930	0.088952	0	0
Dec 05, 2020	0.082849	0.088116	0.082355	0.088070	0.096305	0
Dec 04, 2020	0.084015	0.084289	0.080995	0.083102	0.003324	0
Dec 03, 2020	0.087181	0.087490	0.081814	0.083993	0.099077	0
Dec 02, 2020	0.088374	0.088966	0.085232	0.087199	0.086137	0
Dec 01, 2020	0.089101	0.090216	0.083182	0.088381	0.000886	0
Nov 30, 2020	0.082526	0.089662	0.082526	0.089108	0.000893	0
Nov 29, 2020	0.080437	0.083003	0.079718	0.082529	0.000825	0
Nov 28, 2020	0.077672	0.081057	0.076774	0.080439	0.012064	0
Nov 27, 2020	0.077839	0.079200	0.075030	0.077673	0.010088	0
Nov 26, 2020	0.085044	0.085653	0.074234	0.077737	0.012427	0
Nov 25, 2020	0.086748	0.088035	0.084358	0.085051	0	0
Nov 24, 2020	0.083390	0.087841	0.082304	0.086756	0	0
Nov 23, 2020	0.083400	0.084947	0.081724	0.083318	0.001666	0
Nov 22, 2020	0.084636	0.084848	0.080228	0.083406	0.019207	0
Nov 21, 2020	0.098693	0.100364	0.084029	0.084634	2.94	0
Nov 20, 2020	0.094609	0.099686	0.094336	0.098697	5.39	0
Nov 19, 2020	0.093471	0.095861	0.091258	0.094611	0.000945	0
Nov 18, 2020	0.088227	0.094340	0.087467	0.093462	0.281471	0
Nov 17, 2020	0.089117	0.089495	0.081533	0.088223	0.014985	0
Nov 16, 2020	0.076746	0.089798	0.076386	0.089257	0.008910	0
Nov 15, 2020	0.076484	0.077552	0.075576	0.076747	0.000768	0
Nov 14, 2020	0.077673	0.077673	0.074966	0.076481	0	0
Nov 13, 2020	0.084149	0.085764	0.077027	0.077673	0.544356	0
Nov 12, 2020	0.089969	0.092349	0.083705	0.084148	7.99	0
Nov 11, 2020	0.105820	0.108584	0.089422	0.089980	1.80	0
Nov 10, 2020	0.106100	0.106916	0.104665	0.105805	0	0
Nov 09, 2020	0.107119	0.109233	0.102869	0.106105	0	0
Nov 08, 2020	0.069570	0.107310	0.069150	0.107114	6.14	0
Nov 07, 2020	0.115499	0.149608	0.067224	0.069569	42.02	0
Nov 06, 2020	0.077745	0.153564	0.076481	0.115499	12.60	0
Nov 05, 2020	0.064167	0.150827	0.064023	0.077628	50.41	0
Nov 04, 2020	0.069752	0.069869	0.062695	0.064165	0.520216	0
Nov 03, 2020	0.067752	0.069925	0.066627	0.069749	0	0
Nov 02, 2020	0.070606	0.070975	0.067201	0.067749	1.17	0
Nov 01, 2020	0.071111	0.071528	0.069205	0.070481	4.48	0
Oct 31, 2020	0.070983	0.073508	0.070517	0.071100	3.11	0
Oct 30, 2020	0.069475	0.071534	0.068834	0.071095	1.80	0
Oct 29, 2020	0.078834	0.079018	0.069268	0.069534	5.26	0
Oct 28, 2020	0.087116	0.088285	0.077723	0.078848	10.60	0
Oct 27, 2020	0.085770	0.088053	0.084327	0.087014	1.53	0
Oct 26, 2020	0.104251	0.105935	0.084419	0.085754	129.35	0
Oct 25, 2020	0.149171	0.151686	0.103280	0.104201	0.012504	0
Oct 24, 2020	0.147425	0.149527	0.116705	0.149220	19.85	0
Oct 23, 2020	0.133289	0.147801	0.121926	0.147384	13.78	0
Oct 22, 2020	0.134649	0.137205	0.133289	0.133289	0.017322	0
Oct 21, 2020	0.142996	0.147373	0.127570	0.134649	20.36	0
Oct 20, 2020	0.176718	0.177036	0.141098	0.142996	11.94	0
Oct 19, 2020	0.173514	0.182650	0.138169	0.176718	40.83	0
Oct 18, 2020	0.286451	0.318937	0.172300	0.173514	28.60	0
Oct 17, 2020	0.185117	0.286451	0.184515	0.286451	0.753690	0
Oct 16, 2020	0.263588	0.327392	0.176642	0.185117	11.77	0
Oct 15, 2020	0.342885	0.342885	0.243620	0.263583	4.25	0
Oct 14, 2020	0.108432	0.342886	0.108418	0.342886	55.06	0
Oct 13, 2020	0.109776	0.239566	0.106872	0.108432	1,150.15	0
