date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.093026	0.106469	0.092616	0.105125	539,259	14,852,408
Dec 15, 2020	0.104162	0.104462	0.092051	0.093026	768,612	13,142,969
Dec 14, 2020	0.107851	0.111962	0.094943	0.104166	841,043	14,716,827
Dec 13, 2020	0.101994	0.117120	0.098963	0.107848	1,691,348	15,237,075
Dec 12, 2020	0.087464	0.102319	0.086579	0.101999	908,090	14,410,067
Dec 11, 2020	0.079314	0.093937	0.072951	0.087461	1,124,856	12,355,924
Dec 10, 2020	0.074377	0.081500	0.071079	0.079319	1,147,019	11,205,645
Dec 09, 2020	0.069601	0.079494	0.063492	0.074375	927,012	10,365,892
Dec 08, 2020	0.079127	0.079999	0.068371	0.069596	807,134	9,664,983
Dec 07, 2020	0.063366	0.084881	0.062741	0.079130	1,314,860	10,985,052
Dec 06, 2020	0.060702	0.064039	0.059018	0.063361	401,857	8,791,398
Dec 05, 2020	0.054646	0.061093	0.052846	0.060699	287,463	8,422,060
Dec 04, 2020	0.067054	0.067795	0.054052	0.054651	715,185	7,582,880
Dec 03, 2020	0.074590	0.075571	0.064208	0.067056	740,086	9,304,117
Dec 02, 2020	0.063138	0.074882	0.062507	0.074590	483,557	10,223,466
Dec 01, 2020	0.065901	0.067403	0.059958	0.063142	322,680	8,654,325
Nov 30, 2020	0.069746	0.070234	0.058556	0.065899	660,930	9,032,274
Nov 29, 2020	0.075677	0.077578	0.068502	0.069747	725,964	9,559,640
Nov 28, 2020	0.059631	0.076573	0.059631	0.075678	945,359	10,372,559
Nov 27, 2020	0.051983	0.063473	0.050295	0.059627	790,996	8,171,947
Nov 26, 2020	0.054775	0.054800	0.044943	0.051982	595,601	7,111,169
Nov 25, 2020	0.055636	0.057504	0.051890	0.054778	484,208	7,399,139
Nov 24, 2020	0.059207	0.060863	0.053399	0.055637	523,878	7,512,392
Nov 23, 2020	0.055281	0.059716	0.052015	0.059205	566,602	7,994,591
Nov 22, 2020	0.058997	0.065021	0.054778	0.055284	540,696	7,464,601
Nov 21, 2020	0.055960	0.063596	0.053809	0.058997	667,466	7,966,013
Nov 20, 2020	0.044908	0.056600	0.044239	0.055962	697,942	7,555,918
Nov 19, 2020	0.048424	0.049242	0.043512	0.044908	430,886	6,063,355
Nov 18, 2020	0.048345	0.055590	0.048011	0.048421	431,460	6,441,057
Nov 17, 2020	0.054004	0.054189	0.047265	0.048355	599,142	6,432,371
Nov 16, 2020	0.056955	0.057857	0.051718	0.054502	628,322	7,240,311
Nov 15, 2020	0.054221	0.066757	0.054221	0.056953	753,161	7,455,069
Nov 14, 2020	0.050846	0.057874	0.048817	0.054219	506,492	7,074,459
Nov 13, 2020	0.040076	0.050837	0.038941	0.050837	807,957	6,624,281
Nov 12, 2020	0.042753	0.044150	0.038984	0.040080	494,896	4,489,047
Nov 11, 2020	0.043034	0.045625	0.041364	0.042754	517,371	4,732,912
Nov 10, 2020	0.035008	0.044100	0.033632	0.043042	593,288	4,767,998
Nov 09, 2020	0.028824	0.035731	0.028504	0.035009	437,632	3,872,414
Nov 08, 2020	0.028508	0.029326	0.027124	0.028825	347,488	3,174,723
Nov 07, 2020	0.027060	0.030326	0.026942	0.028502	480,110	3,127,270
Nov 06, 2020	0.022132	0.027226	0.021842	0.027055	473,410	2,947,611
Nov 05, 2020	0.021528	0.022260	0.021252	0.022132	238,936	2,405,237
Nov 04, 2020	0.021636	0.021924	0.021058	0.021527	424,423	2,339,104
Nov 03, 2020	0.022400	0.022721	0.020004	0.021636	461,296	2,351,915
Nov 02, 2020	0.021392	0.022711	0.021140	0.022399	556,086	2,431,293
Nov 01, 2020	0.020296	0.021584	0.020141	0.021392	379,237	2,314,424
Oct 31, 2020	0.021368	0.022108	0.020250	0.020296	407,471	2,194,416
Oct 30, 2020	0.022808	0.023240	0.020361	0.021368	260,507	2,309,122
Oct 29, 2020	0.020944	0.023102	0.020198	0.022808	372,821	2,460,716
Oct 28, 2020	0.022417	0.023323	0.019546	0.020944	400,420	2,180,949
Oct 27, 2020	0.022651	0.023809	0.017770	0.022418	549,098	2,322,615
Oct 26, 2020	0.024847	0.027756	0.021995	0.022650	507,360	2,336,772
Oct 25, 2020	0.027505	0.028696	0.024762	0.024847	372,822	2,561,352
Oct 24, 2020	0.028734	0.030791	0.024537	0.027505	491,265	2,835,371
Oct 23, 2020	0.033152	0.033152	0.026563	0.028734	301,066	2,962,082
Oct 22, 2020	0.036956	0.037409	0.032750	0.033078	321,226	3,409,104
Oct 21, 2020	0.038474	0.038910	0.036426	0.037083	502,945	3,822,727
Oct 20, 2020	0.042278	0.042278	0.037721	0.038728	394,092	3,993,032
Oct 19, 2020	0.040821	0.043751	0.039613	0.042302	510,980	4,361,531
Oct 18, 2020	0.044450	0.046142	0.040463	0.040840	650,707	4,210,803
Oct 17, 2020	0.044667	0.047733	0.044123	0.044726	293,174	4,501,580
Oct 16, 2020	0.046604	0.048848	0.043601	0.044662	526,173	4,492,331
Oct 15, 2020	0.048240	0.050401	0.046055	0.046420	723,279	4,652,725
Oct 14, 2020	0.047495	0.053274	0.047495	0.048251	822,159	4,836,280
Oct 13, 2020	0.044404	0.053653	0.041791	0.047507	837,569	4,804,073
Oct 12, 2020	0.046218	0.048908	0.042114	0.044662	792,644	4,516,472
Oct 11, 2020	0.048756	0.052027	0.045231	0.046292	835,394	4,667,662
Oct 10, 2020	0.051570	0.052208	0.045101	0.048529	632,984	4,893,218
Oct 09, 2020	0.047725	0.051836	0.046741	0.051707	441,905	5,124,746
Oct 08, 2020	0.047220	0.049938	0.046132	0.047714	370,118	4,585,914
Oct 07, 2020	0.045183	0.048184	0.043432	0.047563	379,776	4,572,554
Oct 06, 2020	0.050720	0.051204	0.043390	0.045306	612,037	4,346,536
Oct 05, 2020	0.054454	0.057522	0.049868	0.050803	791,400	4,873,846
Oct 04, 2020	0.065643	0.066254	0.053281	0.054523	865,882	5,232,487
Oct 03, 2020	0.070791	0.073035	0.065514	0.065958	403,118	6,339,753
Oct 02, 2020	0.077860	0.077860	0.069029	0.070749	876,186	6,808,889
Oct 01, 2020	0.084760	0.085768	0.074088	0.077873	668,915	7,485,286
Sep 30, 2020	0.085453	0.086735	0.079209	0.085109	743,476	7,928,317
Sep 29, 2020	0.115460	0.115512	0.083704	0.085434	1,443,085	7,959,861
Sep 28, 2020	0.113613	0.123863	0.112967	0.115209	1,224,294	10,768,393
Sep 27, 2020	0.132738	0.133350	0.107443	0.113376	1,513,852	10,597,220
Sep 26, 2020	0.137590	0.139596	0.129754	0.132718	631,069	12,405,120
Sep 25, 2020	0.132736	0.143410	0.124873	0.138107	1,224,659	12,908,907
Sep 24, 2020	0.117215	0.137831	0.115402	0.132239	2,629,467	12,354,561
Sep 23, 2020	0.177252	0.177432	0.115599	0.117812	1,857,980	10,484,122
Sep 22, 2020	0.144015	0.199057	0.137646	0.178204	2,324,990	15,858,712
Sep 21, 2020	0.148128	0.153297	0.124510	0.144021	1,553,764	14,932,472
Sep 20, 2020	0.173995	0.177757	0.132250	0.148128	2,327,381	15,358,539
Sep 19, 2020	0.123570	0.181438	0.123256	0.173855	2,829,271	14,914,914
Sep 18, 2020	0.106658	0.156505	0.106658	0.123587	1,212,132	10,544,641
Sep 17, 2020	0.114188	0.119799	0.101729	0.106875	739,114	8,637,815
Sep 16, 2020	0.130751	0.132710	0.112889	0.114316	627,895	9,243,538
Sep 15, 2020	0.148906	0.149359	0.121653	0.130447	761,921	10,516,645
Sep 14, 2020	0.164426	0.165230	0.141796	0.148906	852,647	12,004,734
Sep 13, 2020	0.195833	0.201506	0.154086	0.163384	962,205	13,172,734
Sep 12, 2020	0.209483	0.216119	0.195520	0.195767	645,480	15,783,671
Sep 11, 2020	0.205038	0.247935	0.197642	0.209353	1,209,056	16,857,872
Sep 10, 2020	0.190242	0.234190	0.185959	0.204704	1,649,949	16,483,484
Sep 09, 2020	0.174364	0.222199	0.158751	0.190242	929,520	13,677,958
Sep 08, 2020	0.213624	0.218570	0.152078	0.174320	1,611,556	12,529,960
Sep 07, 2020	0.224451	0.236572	0.182933	0.213547	1,421,975	15,349,728
Sep 06, 2020	0.176539	0.255752	0.136933	0.224859	2,047,759	16,050,408
Sep 05, 2020	0.354691	0.409500	0.166907	0.176656	2,159,894	12,569,721
Sep 04, 2020	0.452887	0.596753	0.292482	0.355492	4,757,395	25,279,126
Sep 03, 2020	0.761357	0.891620	0.437223	0.451429	4,640,660	34,458,287
Sep 02, 2020	0.777657	0.975547	0.723062	0.760404	4,407,522	58,349,355
Sep 01, 2020	0.718004	1.08	0.611003	0.766397	5,851,611	53,207,691
Aug 31, 2020	0.423443	0.769249	0.388549	0.717608	3,307,337	49,739,783
Aug 30, 2020	0.246085	0.430658	0.245486	0.423448	1,133,734	28,779,299
Aug 29, 2020	0.187643	0.286881	0.180589	0.246164	428,188	16,718,030
Aug 28, 2020	0.194824	0.227851	0.178046	0.187622	297,143	12,724,730
Aug 27, 2020	0.211858	0.265984	0.166709	0.194931	486,961	12,435,778
Aug 26, 2020	0.190468	0.287090	0.147876	0.212031	1,023,379	5,760,636
Aug 25, 2020	0.092488	0.191211	0.085972	0.189206	680,382	5,140,522
Aug 24, 2020	0.084325	0.104121	0.075370	0.092605	195,452	2,515,980
Aug 23, 2020	0.076041	0.106123	0.070093	0.084343	222,227	0
Aug 22, 2020	0.093209	0.098768	0.074503	0.075926	177,037	0
Aug 21, 2020	0.088471	0.118866	0.070514	0.093174	365,916	0
Aug 20, 2020	0.076463	0.088476	0.064193	0.088476	169,921	0
Aug 19, 2020	0.074393	0.087974	0.052099	0.076463	297,183	0
Aug 18, 2020	0.062168	0.132592	0.047185	0.074236	907,136	0
Aug 17, 2020	0.041585	0.065774	0.022892	0.062116	1,557,811	0
