date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001928	0.002062	0.001737	0.001922	28,511.31	0
Dec 15, 2020	0.002191	0.002198	0.001781	0.001928	53,678.94	0
Dec 14, 2020	0.002028	0.002290	0.001958	0.002125	46,002.07	0
Dec 13, 2020	0.002034	0.002175	0.001937	0.002028	34,281.01	0
Dec 12, 2020	0.001856	0.002267	0.001832	0.002034	41,318.68	0
Dec 11, 2020	0.001886	0.002298	0.001828	0.001856	36,816.92	0
Dec 10, 2020	0.001930	0.002473	0.001712	0.001886	40,224.21	0
Dec 09, 2020	0.001450	0.001977	0.001391	0.001930	61,243.84	0
Dec 08, 2020	0.001672	0.001830	0.001382	0.001450	38,583.29	0
Dec 07, 2020	0.001492	0.001672	0.001356	0.001672	52,293.01	0
Dec 06, 2020	0.001661	0.001661	0.001461	0.001492	27,370.66	0
Dec 05, 2020	0.001552	0.001679	0.001351	0.001661	35,824.97	0
Dec 04, 2020	0.001648	0.001781	0.001328	0.001552	7,345.30	0
Dec 03, 2020	0.001795	0.001980	0.001512	0.001648	12,922.17	0
Dec 02, 2020	0.001515	0.001903	0.001446	0.001795	51,705.30	0
Dec 01, 2020	0.001442	0.001539	0.001401	0.001515	18,751.37	0
Nov 30, 2020	0.001450	0.001518	0.001404	0.001442	43,501.95	0
Nov 29, 2020	0.001518	0.001671	0.001190	0.001450	5,470.27	0
Nov 28, 2020	0.001466	0.001518	0.001267	0.001518	2,185.82	0
Nov 27, 2020	0.001420	0.001508	0.001358	0.001466	29,280.43	0
Nov 26, 2020	0.001563	0.001570	0.001406	0.001420	30,729.35	0
Nov 25, 2020	0.001463	0.001625	0.001429	0.001563	5,785.23	0
Nov 24, 2020	0.001478	0.001537	0.001426	0.001464	22,427.16	0
Nov 23, 2020	0.001499	0.001505	0.001416	0.001478	24,613.94	0
Nov 22, 2020	0.001435	0.001531	0.001412	0.001499	12,642.67	0
Nov 21, 2020	0.001446	0.001571	0.001414	0.001435	26,553.58	0
Nov 20, 2020	0.001525	0.001648	0.001379	0.001446	16,351.19	0
Nov 19, 2020	0.001478	0.001585	0.001366	0.001525	16,404.61	0
Nov 18, 2020	0.001392	0.001633	0.001378	0.001478	44,208.46	0
Nov 17, 2020	0.001358	0.001536	0.001311	0.001392	26,062.62	0
Nov 16, 2020	0.001374	0.001441	0.001336	0.001346	39,620.94	0
Nov 15, 2020	0.001385	0.001460	0.001349	0.001374	12,720.40	0
Nov 14, 2020	0.001347	0.001413	0.001312	0.001385	8,515.22	0
Nov 13, 2020	0.001346	0.001439	0.001252	0.001347	26,947.34	0
Nov 12, 2020	0.001438	0.001574	0.001346	0.001346	44,582.96	0
Nov 11, 2020	0.001489	0.001691	0	0.001438	36,848.20	0
Nov 10, 2020	0.001791	0.001818	0.001309	0.001489	29,915.14	0
Nov 09, 2020	0.001691	0.001791	0.001578	0.001791	31,024.59	0
Nov 08, 2020	0.001604	0.001691	0.001580	0.001691	2,585.22	0
Nov 07, 2020	0.001607	0.001692	0.001538	0.001604	3,027.69	0
Nov 06, 2020	0.001749	0.001754	0.001454	0.001607	24,981.31	0
Nov 05, 2020	0.001811	0.002027	0.001561	0.001749	14,871.71	0
Nov 04, 2020	0.001742	0.001887	0.001697	0.001811	18,601.10	0
Nov 03, 2020	0.001758	0.002434	0.001668	0.001742	122,900	0
Nov 02, 2020	0.001691	0.001932	0.001676	0.001758	70,609.09	0
Nov 01, 2020	0.001795	0.001903	0.001676	0.001691	42,245.99	0
Oct 31, 2020	0.001779	0.001908	0.001680	0.001795	47,074.54	0
Oct 30, 2020	0.001809	0.001962	0.001670	0.001779	62,817.48	0
Oct 29, 2020	0.001972	0.001976	0.001678	0.001809	28,363.06	0
Oct 28, 2020	0.001977	0.002075	0.001783	0.001972	73,408.73	0
Oct 27, 2020	0.002215	0.002272	0.001737	0.001977	83,201.23	0
Oct 26, 2020	0.002630	0.002691	0.002165	0.002215	123,479	0
Oct 25, 2020	0.002807	0.002832	0.002382	0.002630	92,867.03	0
Oct 24, 2020	0.002705	0.002977	0.002624	0.002807	76,686.85	0
Oct 23, 2020	0.002954	0.002972	0.002504	0.002705	117,477	0
Oct 22, 2020	0.002977	0.003094	0.002663	0.002903	123,223	0
Oct 21, 2020	0.003406	0.003532	0.002737	0.003088	118,742	0
Oct 20, 2020	0.003551	0.003598	0.003334	0.003453	98,522.01	0
Oct 19, 2020	0.003510	0.003610	0.003413	0.003573	91,206.43	0
Oct 18, 2020	0.003507	0.003681	0.003368	0.003543	139,809	0
Oct 17, 2020	0.003533	0.003840	0.003425	0.003563	45,683.09	0
Oct 16, 2020	0.003337	0.003927	0.003258	0.003533	132,540	0
Oct 15, 2020	0.003328	0.003369	0.003170	0.003337	35,669.30	0
Oct 14, 2020	0.003320	0.003385	0.003236	0.003289	103,946	0
Oct 13, 2020	0.003324	0.003486	0.003129	0.003369	121,929	0
Oct 12, 2020	0.003068	0.003435	0.003003	0.003269	138,607	0
Oct 11, 2020	0.003184	0.003426	0.002974	0.003063	144,471	0
Oct 10, 2020	0.003083	0.003331	0.003082	0.003215	166,494	0
Oct 09, 2020	0.003252	0.003400	0.002984	0.003243	123,884	0
Oct 08, 2020	0.002607	0.003386	0.002508	0.003242	206,180	0
Oct 07, 2020	0.002546	0.002673	0.002427	0.002585	117,121	0
Oct 06, 2020	0.002600	0.002706	0.002512	0.002530	112,349	0
Oct 05, 2020	0.002617	0.002795	0.002516	0.002626	68,868.81	0
Oct 04, 2020	0.002602	0.002655	0.002574	0.002617	57,713.38	0
Oct 03, 2020	0.002644	0.002684	0.002576	0.002620	32,582.30	0
Oct 02, 2020	0.002699	0.002795	0.002582	0.002634	85,213.41	0
Oct 01, 2020	0.002720	0.002801	0.002638	0.002716	47,363.48	0
Sep 30, 2020	0.002753	0.002814	0.002656	0.002733	110,213	0
Sep 29, 2020	0.002681	0.002805	0.002571	0.002753	52,607.92	0
