date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000291	0.000322	0.000289	0.000320	0	0
Dec 15, 2020	0.000346	0.000351	0.000289	0.000291	0	0
Dec 14, 2020	0.000325	0.000347	0.000305	0.000346	0	0
Dec 13, 2020	0.000244	0.000329	0.000244	0.000325	0	0
Dec 12, 2020	0.000235	0.000246	0.000235	0.000244	0	0
Dec 11, 2020	0.000256	0.000270	0.000230	0.000235	0	0
Dec 10, 2020	0.000260	0.000331	0.000251	0.000256	2,120.47	0
Dec 09, 2020	0.000293	0.000311	0.000237	0.000260	3,030.94	0
Dec 08, 2020	0.000365	0.000365	0.000276	0.000293	3,786.06	0
Dec 07, 2020	0.000368	0.000446	0.000325	0.000365	4,243.08	0
Dec 06, 2020	0.000441	0.000445	0.000359	0.000367	392.65	0
Dec 05, 2020	0.000374	0.000441	0.000336	0.000441	1,153.86	0
Dec 04, 2020	0.000331	0.000408	0.000330	0.000374	1,259.93	0
Dec 03, 2020	0.000346	0.000389	0.000306	0.000331	1,848.15	0
Dec 02, 2020	0.000357	0.000398	0.000286	0.000346	4,163.65	0
Dec 01, 2020	0.000393	0.000486	0.000328	0.000357	3,535.17	0
Nov 30, 2020	0.000345	0.000428	0.000295	0.000393	5,483.25	0
Nov 29, 2020	0.000354	0.000434	0.000307	0.000345	5,792.09	0
Nov 28, 2020	0.000445	0.000480	0.000326	0.000354	7,171.08	0
Nov 27, 2020	0.000326	0.000455	0.000302	0.000445	8,850.77	0
Nov 26, 2020	0.000337	0.000413	0.000214	0.000325	5,767.02	0
Nov 25, 2020	0.000401	0.000515	0.000269	0.000337	13,106.05	0
Nov 24, 2020	0.000441	0.000549	0.000359	0.000401	2,195.25	0
Nov 23, 2020	0.000514	0.000517	0.000364	0.000440	1,844.00	0
Nov 22, 2020	0.000391	0.000984	0.000295	0.000514	18,903.19	0
Nov 21, 2020	0.000447	0.000487	0.000318	0.000391	5,524.36	0
Nov 20, 2020	0.000766	0.000770	0.000204	0.000447	9,299.35	0
Nov 19, 2020	0.000481	0.000770	0.000284	0.000765	7,669.58	0
Nov 18, 2020	0.000476	0.000565	0.000372	0.000481	2,222.98	0
Nov 17, 2020	0.000551	0.000599	0.000423	0.000476	5,514.65	0
Nov 16, 2020	0.000527	0.000631	0.000510	0.000552	665.92	0
Nov 15, 2020	0.000595	0.000624	0.000495	0.000527	2,601.16	0
Nov 14, 2020	0.000555	0.000631	0.000486	0.000594	1,257.40	0
Nov 13, 2020	0.000456	0.000713	0.000374	0.000555	4,148.36	0
Nov 12, 2020	0.000628	0.000628	0.000450	0.000456	1,971.47	0
Nov 11, 2020	0.000566	0.000720	0.000516	0.000628	4,915.27	0
Nov 10, 2020	0.000782	0.000782	0.000560	0.000566	3,882.75	0
Nov 09, 2020	0.000743	0.000785	0.000540	0.000782	5,024.40	0
Nov 08, 2020	0.000727	0.000869	0.000644	0.000743	3,225.06	0
Nov 07, 2020	0.000638	0.000754	0.000526	0.000727	2,293.00	0
Nov 06, 2020	0.000623	0.000684	0.000548	0.000638	12.70	0
Nov 05, 2020	0.000608	0.000703	0.000466	0.000622	1,008.56	0
Nov 04, 2020	0.000670	0.000694	0.000563	0.000608	1,567.94	0
Nov 03, 2020	0.000691	0.000718	0.000646	0.000670	1,385.41	0
Nov 02, 2020	0.000783	0.000787	0.000681	0.000691	184.63	0
Nov 01, 2020	0.000717	0.000824	0.000683	0.000782	1,717.46	0
Oct 31, 2020	0.000759	0.000808	0.000646	0.000717	5,553.22	0
Oct 30, 2020	0.000766	0.000812	0.000673	0.000760	1,525.36	0
Oct 29, 2020	0.000796	0.000837	0.000367	0.000767	5,384.40	0
Oct 28, 2020	0.000765	0.000880	0.000755	0.000796	1,830.61	0
Oct 27, 2020	0.000811	0.000858	0.000760	0.000764	21,217.34	0
Oct 26, 2020	0.000847	0.000891	0.000773	0.000810	2,719.79	0
Oct 25, 2020	0.000839	0.000884	0.000800	0.000847	25,489.09	0
Oct 24, 2020	0.000776	0.000893	0.000775	0.000839	18,086.43	0
Oct 23, 2020	0.000778	0.000869	0.000758	0.000776	31,521.06	0
Oct 22, 2020	0.000769	0.000876	0.000744	0.000778	2,408.67	0
Oct 21, 2020	0.000679	0.000828	0.000670	0.000769	1,106.42	0
Oct 20, 2020	0.000728	0.000741	0.000656	0.000679	122.21	0
Oct 19, 2020	0.000792	0.000794	0.000674	0.000728	62,051.68	0
Oct 18, 2020	0.000693	0.000792	0.000626	0.000792	78,474.64	0
Oct 17, 2020	0.000759	0.000759	0.000644	0.000693	318.57	0
Oct 16, 2020	0.000747	0.000808	0.000643	0.000759	31,127.14	0
