date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.005510	0.006720	0.005403	0.006552	28,279.32	1,217,374
Dec 15, 2020	0.004605	0.006148	0.004538	0.005510	25,473.62	1,023,894
Dec 14, 2020	0.004969	0.005038	0.004148	0.004607	37,861.37	856,018
Dec 13, 2020	0.004570	0.005479	0.004570	0.004970	38,598.74	923,554
Dec 12, 2020	0.004468	0.005502	0.004416	0.004568	56,630.62	848,857
Dec 11, 2020	0.004202	0.005571	0.003872	0.004472	57,457.11	830,872
Dec 10, 2020	0.004356	0.006064	0.003802	0.004204	67,588.71	781,131
Dec 09, 2020	0.004523	0.006088	0.003915	0.004359	70,415.73	809,979
Dec 08, 2020	0.006761	0.006798	0.003758	0.004522	42,416.74	840,291
Dec 07, 2020	0.007259	0.008783	0.006602	0.006762	54,688.70	1,256,396
Dec 06, 2020	0.008835	0.009341	0.007179	0.007257	61,441.26	1,348,372
Dec 05, 2020	0.008101	0.009319	0.007077	0.008834	19,423.39	1,641,551
Dec 04, 2020	0.008680	0.010284	0.007191	0.008101	24,131.30	1,505,351
Dec 03, 2020	0.009354	0.010798	0.006740	0.008681	24,952.61	1,612,984
Dec 02, 2020	0.006862	0.010400	0.006757	0.009355	25,385.73	1,738,276
Dec 01, 2020	0.007873	0.009738	0.006764	0.006862	24,418.19	1,275,084
Nov 30, 2020	0.008104	0.009746	0.006546	0.007874	28,456.71	1,463,043
Nov 29, 2020	0.008240	0.009616	0.006376	0.008104	23,752.02	1,505,800
Nov 28, 2020	0.008742	0.009879	0.006140	0.008241	19,608.46	1,531,195
Nov 27, 2020	0.006512	0.010023	0.005775	0.008742	20,851.52	1,624,449
Nov 26, 2020	0.006806	0.011332	0.004606	0.006510	67,996.09	1,209,586
Nov 25, 2020	0.006424	0.010828	0.005692	0.006807	124,204	1,264,775
Nov 24, 2020	0.007697	0.007865	0.005789	0.006425	22,759.26	1,193,834
Nov 23, 2020	0.006725	0.007970	0.005796	0.007692	133,477	1,429,275
Nov 22, 2020	0.007813	0.007854	0.005714	0.006733	22,043.45	1,251,104
Nov 21, 2020	0.007575	0.007833	0.005926	0.007812	85,414.33	1,451,537
Nov 20, 2020	0.007497	0.007877	0.005984	0.007576	87,227.85	1,407,745
