date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.051104	0.051127	0.051060	0.051082	0	234,577
Dec 15, 2020	0.051090	0.051115	0.051085	0.051102	0	234,671
Dec 14, 2020	0.051086	0.051115	0.051082	0.051090	0	234,617
Dec 13, 2020	0.051092	0.051118	0.051071	0.051086	0	234,598
Dec 12, 2020	0.051092	0.051123	0.050802	0.051092	0	234,624
Dec 11, 2020	0.051094	0.051162	0.050983	0.051092	0	234,622
Dec 10, 2020	0.053415	0.053423	0.051089	0.051091	223.01	234,619
Dec 09, 2020	0.053380	0.053852	0.053369	0.053417	0	245,299
Dec 08, 2020	0.053375	0.053421	0.053360	0.053380	0	245,131
Dec 07, 2020	0.053389	0.053402	0.053373	0.053375	0	245,108
Dec 06, 2020	0.053376	0.053397	0.053371	0.053389	0	245,172
Dec 05, 2020	0.053377	0.053392	0.053356	0.053376	0	245,112
Dec 04, 2020	0.075157	0.075179	0.053369	0.053377	2,395.73	245,119
Dec 03, 2020	0.081517	0.081564	0.075128	0.075157	751.57	345,136
Dec 02, 2020	0.081532	0.081579	0.081432	0.081517	0	374,344
Dec 01, 2020	0.081529	0.081580	0.081505	0.081532	0	374,409
Nov 30, 2020	0.081519	0.081552	0.081486	0.081529	1,702.56	374,396
Nov 29, 2020	0.096413	0.096435	0.081519	0.081519	1,702.16	374,351
Nov 28, 2020	0.105089	0.105090	0.096400	0.096413	964.12	442,748
Nov 27, 2020	0.106625	0.106715	0.105083	0.105089	1,050.83	482,589
Nov 26, 2020	0.118447	0.118595	0.106625	0.106644	1,330.77	489,732
Nov 25, 2020	0.141298	0.145607	0.118423	0.118446	3,932.08	539,859
Nov 24, 2020	0.141299	0.141375	0.140868	0.141320	0	644,111
Nov 23, 2020	0.141319	0.141368	0.141112	0.141297	0	644,007
Nov 22, 2020	0.141321	0.141364	0.141079	0.141319	0	644,108
Nov 21, 2020	0.144153	0.144161	0.141245	0.141321	174.87	639,869
Nov 20, 2020	0.136172	0.144249	0.136144	0.144153	299.52	652,692
Nov 19, 2020	0.136163	0.136211	0.136134	0.136172	0	616,556
Nov 18, 2020	0.136157	0.136262	0.136126	0.136163	0	649,357
Nov 17, 2020	0.136140	0.136183	0.135910	0.136157	0	649,328
Nov 16, 2020	0.136169	0.136198	0.136069	0.136168	0	649,384
Nov 15, 2020	0.136177	0.136185	0.136120	0.136169	0	649,388
Nov 14, 2020	0.136148	0.136194	0.136074	0.136177	0	649,424
Nov 13, 2020	0.136039	0.136189	0.136019	0.136148	0	649,287
Nov 12, 2020	0.136167	0.136201	0.136021	0.136039	0	648,764
Nov 11, 2020	0.136191	0.136210	0.136112	0.136167	0	649,376
Nov 10, 2020	0.136137	0.136216	0.136075	0.136191	0	649,490
Nov 09, 2020	0.136168	0.136191	0.136133	0.136137	101.69	649,234
Oct 23, 2020	0.217305	0.217387	0.217263	0.217387	0	1,036,711
Oct 22, 2020	0.217297	0.217367	0.217241	0.217305	0	1,036,319
Oct 21, 2020	0.217402	0.217495	0.217072	0.217297	0	1,036,282
Oct 20, 2020	0.217445	0.217457	0.217355	0.217402	0	1,036,782
Oct 19, 2020	0.217400	0.217509	0.217365	0.217445	0	1,036,988
Oct 18, 2020	0.217403	0.217482	0.217343	0.217400	0	1,036,774
Oct 17, 2020	0.217446	0.217517	0.217358	0.217403	0	1,036,787
Oct 16, 2020	0.217404	0.217663	0.217365	0.217446	0	1,036,993
Oct 15, 2020	0.217481	0.217566	0.217327	0.217404	0	1,036,796
Oct 14, 2020	0.217400	0.217529	0.217356	0.217481	0	1,037,159
Oct 13, 2020	0.225290	0.225290	0.217324	0.217400	0	1,036,772
Oct 12, 2020	0.225371	0.225459	0.225243	0.225290	0	1,074,401
Oct 11, 2020	0.225267	0.225391	0.225252	0.225371	0	1,074,788
Oct 10, 2020	0.215463	0.225382	0.215432	0.225267	1,807.05	1,074,294
Oct 09, 2020	0.215468	0.223597	0.215442	0.215532	0	1,027,866
Oct 08, 2020	0.243539	0.243649	0.215399	0.215468	2,383.05	1,027,561
Oct 07, 2020	0.258318	0.258450	0.243442	0.243539	1,001.68	1,161,428
Oct 06, 2020	0.258212	0.258384	0.258163	0.258318	0	1,231,911
Oct 05, 2020	0.265738	0.265829	0.258135	0.258212	801.61	1,231,405
Oct 04, 2020	0.265899	0.266324	0.265725	0.265738	0	1,267,297
Oct 03, 2020	0.265772	0.265937	0.265742	0.265899	0	1,268,062
Oct 02, 2020	0.276322	0.276388	0.265751	0.265772	440.20	1,267,459
Oct 01, 2020	0.317327	0.317355	0.276277	0.276322	3,406.52	1,317,772
