date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.003731	0.003742	0.002665	0.003458	3,921.21	1,728,814
Dec 15, 2020	0.003602	0.003732	0.003438	0.003732	427.91	1,865,817
Dec 14, 2020	0.003719	0.003990	0.003574	0.003602	647.38	1,800,981
Dec 13, 2020	0.003896	0.004128	0.003650	0.003719	718.08	1,859,248
Dec 12, 2020	0.003626	0.003935	0.003546	0.003897	2,522.47	1,948,267
Dec 11, 2020	0.003932	0.003933	0.003606	0.003625	418.74	1,812,721
Dec 10, 2020	0.003935	0.004034	0.003719	0.003932	676.36	1,965,782
Dec 09, 2020	0.004208	0.004208	0.003767	0.003935	931.44	1,967,312
Dec 08, 2020	0.004020	0.004343	0.003824	0.004207	1,222.28	2,103,643
Dec 07, 2020	0.004065	0.004330	0.003936	0.004020	294.30	2,010,060
Dec 06, 2020	0.004059	0.004298	0.003997	0.004063	411.83	2,031,702
Dec 05, 2020	0.003985	0.004386	0.003917	0.004058	2,566.09	2,029,134
Dec 04, 2020	0.004409	0.005440	0.003973	0.003985	3,286.43	1,992,733
Dec 03, 2020	0.004230	0.005099	0.004066	0.004409	2,988.41	2,204,627
Dec 02, 2020	0.004405	0.004723	0.003899	0.004230	462.69	2,115,071
Dec 01, 2020	0.004013	0.004705	0.003888	0.004405	1,598.60	2,202,703
Nov 30, 2020	0.004347	0.004636	0.003875	0.004013	860.41	2,006,456
Nov 29, 2020	0.004036	0.004549	0.003913	0.004348	2,715.09	2,173,807
Nov 28, 2020	0.004469	0.004794	0.003717	0.004037	2,019.35	2,018,251
Nov 27, 2020	0.004197	0.004775	0.004067	0.004469	4,804.40	2,234,399
Nov 26, 2020	0.004375	0.004408	0.003635	0.004192	1,012.42	2,095,995
Nov 25, 2020	0.004208	0.005317	0.003743	0.004376	4,895.11	2,187,796
Nov 24, 2020	0.003733	0.005585	0.003662	0.004208	8,903.49	2,104,243
Nov 23, 2020	0.003764	0.004233	0.003286	0.003734	4,883.78	1,866,758
Nov 22, 2020	0.003811	0.003879	0.003225	0.003764	3,781.43	1,882,132
Nov 21, 2020	0.002956	0.004440	0.002561	0.003810	3,311.01	1,905,182
Nov 20, 2020	0.002716	0.003027	0.002624	0.002956	1,141.19	1,478,240
Nov 19, 2020	0.002950	0.003674	0.002496	0.002714	3,840.49	1,357,012
Nov 18, 2020	0.002557	0.003476	0.002329	0.002950	1,669.02	1,474,832
Nov 17, 2020	0.002942	0.003191	0.002401	0.002557	2,250.98	1,278,537
Nov 16, 2020	0.003329	0.003329	0.002675	0.002888	2,400.14	1,444,082
Nov 15, 2020	0.002993	0.003317	0.002715	0.003309	1,639.38	1,654,433
Nov 14, 2020	0.003314	0.003496	0.002179	0.002993	4,248.78	1,496,509
Nov 13, 2020	0.003233	0.003916	0.003209	0.003314	1,890.79	1,656,887
Nov 12, 2020	0.003186	0.003389	0.002911	0.003233	1,701.98	1,616,567
Nov 11, 2020	0.003104	0.003687	0.002868	0.003187	4,305.35	1,593,298
Nov 10, 2020	0.003082	0.003123	0.003046	0.003104	220.46	1,551,944
Nov 09, 2020	0.002785	0.003148	0.002759	0.003083	1,187.04	1,541,564
Nov 08, 2020	0.002755	0.003311	0.002678	0.002786	56.97	1,392,926
Nov 07, 2020	0.003205	0.003723	0.002665	0.002758	3,458.01	1,379,066
Nov 06, 2020	0.003413	0.003736	0.003144	0.003203	2,355.76	1,601,342
Nov 05, 2020	0.004016	0.004146	0.003310	0.003413	2,492.30	1,706,505
Nov 04, 2020	0.003929	0.004046	0.003835	0.004016	1,014.76	2,007,864
Nov 03, 2020	0.003921	0.004248	0.003474	0.003922	978.22	1,960,854
Nov 02, 2020	0.003675	0.003992	0.003675	0.003924	82.07	1,961,835
Nov 01, 2020	0.003583	0.003685	0.003542	0.003674	229.29	1,837,238
Oct 31, 2020	0.003522	0.003609	0.003449	0.003583	208.78	1,791,336
Oct 30, 2020	0.003501	0.003937	0.003433	0.003522	526.79	1,761,025
Oct 29, 2020	0.003329	0.004042	0.003250	0.003504	3,393.53	1,752,064
Oct 28, 2020	0.003634	0.003660	0.003113	0.003329	299.36	1,664,618
Oct 27, 2020	0.003898	0.003963	0.003310	0.003630	732.04	1,814,917
Oct 26, 2020	0.004167	0.004206	0.002987	0.003897	2,031.18	1,948,432
Oct 25, 2020	0.004427	0.004475	0.003814	0.004165	578.63	2,082,496
Oct 24, 2020	0.004406	0.004584	0.003698	0.004428	1,557.36	2,214,045
Oct 23, 2020	0.004049	0.004545	0.004025	0.004405	366.27	2,202,538
Oct 22, 2020	0.004279	0.004723	0.003967	0.004049	819.02	2,024,569
Oct 21, 2020	0.004301	0.004492	0.003803	0.004279	1,796.51	2,139,659
Oct 20, 2020	0.003701	0.004496	0.003693	0.004301	629.73	2,150,723
Oct 19, 2020	0.004481	0.004680	0.003693	0.003701	416.00	1,850,607
Oct 18, 2020	0.004111	0.004558	0.003907	0.004481	1,348.34	2,240,334
Oct 17, 2020	0.004121	0.004314	0.004074	0.004111	329.39	2,055,431
Oct 16, 2020	0.004230	0.004349	0.003987	0.004121	113.59	2,060,626
Oct 15, 2020	0.004325	0.004427	0.003871	0.004230	753.95	2,114,813
Oct 14, 2020	0.004481	0.004830	0.004275	0.004325	975.55	2,162,544
Oct 13, 2020	0.004553	0.004819	0.004304	0.004481	339.62	2,240,404
Oct 12, 2020	0.004137	0.004772	0.004129	0.004553	75.98	2,276,347
Oct 11, 2020	0.004519	0.004556	0.003764	0.004137	495.20	2,068,651
Oct 10, 2020	0.004639	0.004785	0.004510	0.004519	145.01	2,259,272
Oct 09, 2020	0.004357	0.004652	0.003978	0.004624	1,341.66	2,311,835
Oct 08, 2020	0.004163	0.004472	0.004044	0.004357	581.80	2,178,583
Oct 07, 2020	0.004153	0.004370	0.003206	0.004162	252.88	2,081,231
Oct 06, 2020	0.004539	0.004568	0.003893	0.004153	238.22	2,076,567
Oct 05, 2020	0.004183	0.004557	0.003424	0.004539	1,960.88	2,269,303
Oct 04, 2020	0.003798	0.004184	0.003792	0.004183	481.02	2,091,366
Oct 03, 2020	0.003807	0.003862	0.003342	0.003798	301.75	1,898,880
Oct 02, 2020	0.004039	0.004072	0.003802	0.003807	300.36	1,903,675
Oct 01, 2020	0.003847	0.004146	0.003391	0.004037	996.60	2,018,504
Sep 30, 2020	0.003893	0.003894	0.003521	0.003847	289.04	1,923,383
Sep 29, 2020	0.003854	0.004287	0.003723	0.003893	330.79	1,946,421
Sep 28, 2020	0.003751	0.004188	0.003751	0.003854	1,437.72	1,927,019
Sep 27, 2020	0.003897	0.003965	0.003739	0.003751	257.53	1,875,502
Sep 26, 2020	0.004313	0.004317	0.003894	0.003898	207.97	1,948,768
Sep 25, 2020	0.003593	0.004317	0.003585	0.004313	2,987.00	2,156,527
Sep 24, 2020	0.003425	0.004128	0.003093	0.003593	12,894.30	1,796,615
Sep 23, 2020	0.003692	0.003820	0.002908	0.003425	4,761.83	1,712,320
Sep 22, 2020	0.003402	0.003706	0.003161	0.003705	1,786.87	1,852,741
Sep 21, 2020	0.003671	0.003679	0.003217	0.003405	674.81	1,702,403
Sep 20, 2020	0.003603	0.003962	0.003489	0.003671	3,457.90	1,835,646
Sep 19, 2020	0.003884	0.004434	0.003597	0.003601	5,296.29	1,800,629
Sep 18, 2020	0.003900	0.003907	0.003474	0.003880	2,426.34	1,940,084
Sep 17, 2020	0.003856	0.003912	0.003609	0.003900	269.96	1,950,090
Sep 16, 2020	0.003702	0.003956	0.003655	0.003856	1,245.03	1,927,862
Sep 15, 2020	0.003699	0.003963	0.003391	0.003702	838.17	1,851,206
Sep 14, 2020	0.003491	0.003723	0.003461	0.003698	652.86	1,849,191
Sep 13, 2020	0.003920	0.003921	0.003476	0.003489	816.58	1,744,725
Sep 12, 2020	0.003884	0.003932	0.002932	0.003920	5,278.59	1,960,144
Sep 11, 2020	0.003221	0.003887	0.002979	0.003884	2,290.85	1,941,764
Sep 10, 2020	0.003311	0.003605	0.003159	0.003220	3,260.37	1,610,185
Sep 09, 2020	0.003635	0.004133	0.003111	0.003311	8,528.58	1,655,351
Sep 08, 2020	0.004627	0.004682	0.003384	0.003635	10,375.50	1,817,596
Sep 07, 2020	0.004532	0.005901	0.004089	0.004626	2,354.76	2,312,886
Sep 06, 2020	0.004789	0.004867	0.004357	0.004531	603.71	2,265,282
Sep 05, 2020	0.004504	0.004901	0.004212	0.004789	3,014.91	2,394,383
Sep 04, 2020	0.004188	0.005111	0.004169	0.004504	4,249.32	2,252,129
Sep 03, 2020	0.005130	0.005194	0.003365	0.004150	9,263.71	2,074,936
Sep 02, 2020	0.006379	0.006436	0.004976	0.005122	8,141.38	2,561,016
Sep 01, 2020	0.006653	0.006653	0.006073	0.006375	1,646.14	3,187,331
Aug 31, 2020	0.006846	0.006908	0.006506	0.006650	2,088.03	3,324,949
Aug 30, 2020	0.006580	0.007080	0.006580	0.006848	2,614.68	3,423,948
Aug 29, 2020	0.005710	0.006664	0.005678	0.006583	2,536.93	3,291,328
Aug 28, 2020	0.005917	0.006945	0.005662	0.005710	11,473.65	2,855,124
Aug 27, 2020	0.006656	0.006706	0.005874	0.005915	3,837.84	2,957,687
