date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.388668	0.459993	0.373735	0.373949	9,462.93	689,206
Dec 15, 2020	0.427377	0.447106	0.382837	0.388660	8,317.74	716,319
Dec 14, 2020	0.502549	0.595837	0.365350	0.427049	14,528.07	787,071
Dec 13, 2020	0.591174	0.592632	0.475318	0.502552	1,497.20	926,227
Dec 12, 2020	0.515472	0.593291	0.423994	0.591191	1,593.62	1,089,594
Dec 11, 2020	0.485793	0.517261	0.427293	0.515470	5,262.87	950,036
Dec 10, 2020	0.474271	0.504309	0.468270	0.485786	580.49	895,327
Dec 09, 2020	0.567910	0.567948	0.461652	0.474262	11,201.72	874,087
Dec 08, 2020	0.565264	0.575992	0.555768	0.567934	527.98	1,046,730
Dec 07, 2020	0.602354	0.609432	0.564809	0.565256	435.79	1,041,793
Dec 06, 2020	0.591999	0.602520	0.572049	0.602353	1,316.80	1,110,165
Dec 05, 2020	0.554855	0.592145	0.541202	0.591943	2,162.01	1,090,979
Dec 04, 2020	0.567130	0.574258	0.553945	0.554825	293.47	1,022,568
Dec 03, 2020	0.568680	0.569007	0.529757	0.567136	512.74	1,045,258
Dec 02, 2020	0.583043	0.583515	0.567024	0.568684	402.96	1,048,111
Dec 01, 2020	0.573507	0.587511	0.567868	0.583081	223.38	1,074,647
Nov 30, 2020	0.572748	0.576690	0.559036	0.573486	620.12	1,056,962
Nov 29, 2020	0.557752	0.573310	0.555764	0.572771	443.99	1,055,644
Nov 28, 2020	0.559722	0.566637	0.543983	0.557594	937.90	1,027,673
Nov 27, 2020	0.564563	0.578338	0.545419	0.559386	1,943.66	1,030,975
Nov 26, 2020	0.590776	0.594065	0.550824	0.564576	1,649.88	1,040,541
Nov 25, 2020	0.639226	0.640053	0.576287	0.590844	1,858.91	1,088,954
Nov 24, 2020	0.625925	0.653542	0.606958	0.639253	1,246.19	1,172,779
Nov 23, 2020	0.613120	0.648639	0.613120	0.625922	448.23	1,148,323
Nov 22, 2020	0.598169	0.618105	0.536303	0.613142	1,876.58	1,124,876
