date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.018019	0.018249	0.017948	0.018244	0	0
Dec 15, 2020	0.017988	0.018042	0.017963	0.018020	0	0
Dec 14, 2020	0.018007	0.030923	0.017939	0.017987	0	0
Dec 13, 2020	0.005817	0.018017	0.005776	0.018007	0	0
Dec 12, 2020	0.031108	0.031872	0.005812	0.005818	7.54	0
Dec 11, 2020	0.031514	0.031534	0.030864	0.031106	0	0
Dec 10, 2020	0.031923	0.031957	0.031218	0.031514	0	0
Dec 09, 2020	0.032733	0.033444	0.031446	0.031923	0	0
Dec 08, 2020	0.006228	0.034414	0.006029	0.032725	6.60	0
Dec 07, 2020	0.042104	0.042150	0.006161	0.006229	11.87	0
Dec 06, 2020	0.041855	0.042314	0.041309	0.042094	0	0
Dec 05, 2020	0.040624	0.041850	0.040342	0.041850	0	0
Dec 04, 2020	0.055482	0.055686	0.040622	0.040630	0	0
Dec 03, 2020	0.006244	0.056012	0.006193	0.055487	5.55	0
Dec 02, 2020	0.018074	0.018151	0.006110	0.006244	23.98	0
Dec 01, 2020	0.006398	0.018144	0.005950	0.018074	0	0
Nov 30, 2020	0.050854	0.053160	0.006247	0.006396	140.37	0
Nov 29, 2020	0.059497	0.062832	0.030030	0.050857	0	0
Nov 28, 2020	0.064680	0.067692	0.010691	0.059506	998.24	0
Nov 27, 2020	0.015057	0.064750	0.005127	0.064671	217.87	0
Nov 26, 2020	0.072046	0.072378	0.015043	0.015056	21.08	0
Nov 25, 2020	0.074197	0.074272	0.071332	0.072056	0	0
Nov 24, 2020	0.071429	0.080559	0.069893	0.074191	0	0
Nov 23, 2020	0.077002	0.082427	0.002001	0.071407	310.87	0
Nov 22, 2020	0.011045	0.079941	0.008864	0.077008	94.90	0
Nov 21, 2020	0.011126	0.011206	0.010178	0.011045	10.46	0
Nov 20, 2020	0.010745	0.011164	0.010745	0.011126	0	0
Nov 19, 2020	0.009638	0.010792	0.009363	0.010745	0	0
Nov 18, 2020	0.047796	0.048806	0.009454	0.009637	8.44	0
Nov 17, 2020	0.046406	0.047956	0.046089	0.047795	0	0
Nov 16, 2020	0.044942	0.046356	0.044763	0.046015	0	0
Nov 15, 2020	0.046035	0.046108	0.044304	0.044942	0	0
Nov 14, 2020	0.023707	0.079900	0.023126	0.046033	0	0
Nov 13, 2020	0.080003	0.080569	0.014041	0.023707	77.29	0
Nov 12, 2020	0.080214	0.080685	0.079122	0.080002	0	0
Nov 11, 2020	0.078894	0.081277	0.078882	0.080214	0	0
Nov 10, 2020	0.088603	0.090515	0.078303	0.078897	0	0
Nov 09, 2020	0.086188	0.089660	0.084074	0.088607	17.74	0
Nov 08, 2020	0.068115	0.086373	0.068040	0.086188	0	0
Nov 07, 2020	0.065767	0.099484	0.012042	0.068115	43.04	0
Nov 06, 2020	0.016583	0.101606	0.016540	0.069327	497.81	0
Nov 05, 2020	0.062378	0.062842	0.016048	0.016583	1.66	0
Nov 04, 2020	0.052173	0.090547	0.051310	0.062377	0	0
Nov 03, 2020	0.083205	0.083285	0.030020	0.052173	23.04	0
Nov 02, 2020	0.039797	0.102094	0.039796	0.083204	19.54	0
Nov 01, 2020	0.105246	0.105733	0.039059	0.039796	0.595239	0
Oct 31, 2020	0.105610	0.108405	0.105044	0.105247	0	0
Oct 30, 2020	0.105273	0.106216	0.103664	0.105608	0.105782	0
Oct 29, 2020	0.106318	0.106825	0.104925	0.105274	23.05	0
Oct 28, 2020	0.108459	0.109166	0.105270	0.106320	0	0
Oct 27, 2020	0.107083	0.109289	0.106605	0.108461	0	0
Oct 26, 2020	0.108796	0.109513	0.105649	0.107080	0	0
Oct 25, 2020	0.103912	0.110348	0.103912	0.108797	0	0
Oct 24, 2020	0.104510	0.104510	0.103882	0.103912	1,432.84	0
Oct 23, 2020	0.108749	0.113835	0.063912	0.104510	354,744	0
Oct 22, 2020	0.113578	0.115593	0.065793	0.101221	505,153	0
Oct 21, 2020	0.095754	0.122612	0.045022	0.114442	438,101	0
Oct 20, 2020	0.049278	0.107787	0.036680	0.082415	505,616	0
Oct 19, 2020	0.127600	0.128215	0.030688	0.049278	878,260	0
Oct 18, 2020	0.102385	0.127959	0.080829	0.127600	1,109,924	0
Oct 17, 2020	0.126658	0.136429	0.078629	0.106325	1,117,221	0
Oct 16, 2020	0.124848	0.144597	0.040521	0.125080	842,818	0
Oct 15, 2020	0.087709	0.140708	0.029240	0.124848	813,219	0
Oct 14, 2020	0.019521	0.139643	0.012388	0.108653	698,907	0
Oct 13, 2020	0.014097	0.025573	0.009204	0.018350	156,803	0
Oct 12, 2020	0.019121	0.022814	0.010914	0.014743	155,853	0
Oct 11, 2020	0.029933	0.036281	0.008469	0.018276	230,690	0
Oct 10, 2020	0.029824	0.035757	0.010328	0.029933	300,902	0
Oct 09, 2020	0.012722	0.046039	0.004609	0.028981	317,526	0
Oct 08, 2020	0.025592	0.050052	0.007015	0.012722	234,437	0
Oct 07, 2020	0.033900	0.076935	0.006301	0.029374	354,277	0
Oct 06, 2020	0.024913	0.225210	0.013787	0.033900	460,082	0
Oct 05, 2020	0.024938	0.025660	0.024142	0.024917	0	0
Oct 04, 2020	0.024614	0.025918	0.023718	0.024937	0	0
