date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.133715	0.148229	0.131866	0.148149	116,299	46,928,611
Dec 15, 2020	0.132599	0.134885	0.131669	0.133721	96,857.21	42,358,407
Dec 14, 2020	0.132902	0.133837	0.131171	0.132597	67,469.36	42,002,199
Dec 13, 2020	0.128876	0.133845	0.128626	0.132894	96,241.67	42,096,282
Dec 12, 2020	0.125338	0.129788	0.125230	0.128897	69,238.82	40,830,296
Dec 11, 2020	0.126287	0.126559	0.121494	0.125329	97,869.96	39,700,092
Dec 10, 2020	0.129598	0.129823	0.123559	0.126288	62,105.55	40,003,590
Dec 09, 2020	0.124156	0.130192	0.119581	0.129593	37,232.65	41,050,625
Dec 08, 2020	0.135341	0.136301	0.123965	0.124132	18,438.13	39,320,628
Dec 07, 2020	0.142220	0.142447	0.134141	0.135356	94,076.25	42,876,115
Dec 06, 2020	0.135948	0.142612	0.135685	0.142172	64,184.18	45,035,153
Dec 05, 2020	0.129553	0.136269	0.128101	0.135928	51,211.95	43,057,383
Dec 04, 2020	0.140639	0.141130	0.127799	0.129574	85,818.44	41,044,561
Dec 03, 2020	0.135961	0.141657	0.133982	0.140652	67,418.39	44,553,638
Dec 02, 2020	0.132911	0.136546	0.131286	0.135967	49,017.09	43,069,778
Dec 01, 2020	0.135993	0.139587	0.130204	0.132950	100,729	42,113,910
Nov 30, 2020	0.129293	0.136126	0.128622	0.135971	144,067	43,070,891
Nov 29, 2020	0.123998	0.131329	0.122778	0.129299	81,287.10	40,957,570
Nov 28, 2020	0.120440	0.125861	0.118243	0.124016	59,390.05	39,284,071
Nov 27, 2020	0.244639	0.245348	0.116856	0.120424	44,885.11	38,146,160
Nov 26, 2020	0.136803	0.302342	0.132692	0.244661	275,455	77,500,283
Nov 25, 2020	0.134477	0.269737	0.124729	0.136816	73,958.40	43,338,660
Nov 24, 2020	0.112510	0.134690	0.083637	0.134347	103,895	42,556,584
Nov 23, 2020	0.111932	0.152944	0.104922	0.112387	61,414.02	35,600,439
Nov 22, 2020	0.143005	0.144953	0.110036	0.111932	63,816.51	35,456,288
Nov 21, 2020	0.137644	0.143157	0.113180	0.143003	73,801.81	45,298,322
Nov 20, 2020	0.129613	0.138492	0.121084	0.137650	72,780.81	43,602,721
Nov 19, 2020	0.128576	0.132289	0.123989	0.129616	49,724.68	41,058,030
Nov 18, 2020	0.130885	0.143430	0.124251	0.128573	113,806	40,727,416
Nov 17, 2020	0.137287	0.142314	0.129493	0.130884	137,321	41,459,488
Nov 16, 2020	0.133926	0.137802	0.125785	0.137165	137,468	43,449,208
Nov 15, 2020	0.134379	0.145298	0.127798	0.133928	81,381.55	42,423,871
Nov 14, 2020	0.138686	0.146324	0.126638	0.134376	75,787.38	42,565,801
Nov 13, 2020	0.133951	0.138842	0.132212	0.138686	83,268.35	43,930,943
Nov 12, 2020	0.131135	0.139281	0.129573	0.133952	170,067	42,431,450
Nov 11, 2020	0.120782	0.132644	0.120208	0.131136	117,988	41,539,520
Nov 10, 2020	0.118814	0.121539	0.117734	0.120787	73,109.20	38,261,276
Nov 09, 2020	0.119889	0.120522	0.116729	0.118820	103,549	37,638,124
Nov 08, 2020	0.118121	0.122708	0.117705	0.119907	82,381.08	37,982,557
Nov 07, 2020	0.117661	0.123344	0.116402	0.118197	92,717.41	37,440,881
Nov 06, 2020	0.119562	0.123967	0.115211	0.117613	112,425	37,255,843
Nov 05, 2020	0.119374	0.122363	0.117160	0.119563	160,880	37,873,482
Nov 04, 2020	0.117056	0.120791	0.113128	0.119372	131,815	37,812,899
Nov 03, 2020	0.115342	0.117636	0.112237	0.117043	119,949	37,075,149
Nov 02, 2020	0.118283	0.121048	0.107357	0.115342	221,663	36,536,310
Nov 01, 2020	0.116051	0.120187	0.112487	0.118123	138,595	37,417,465
Oct 31, 2020	0.116347	0.132429	0.114759	0.116042	124,968	36,758,011
Oct 30, 2020	0.114142	0.117328	0.107772	0.116411	29,923.64	36,874,898
Oct 29, 2020	0.112618	0.118223	0.111946	0.114145	95,992.10	36,157,186
Oct 28, 2020	0.149186	0.149186	0.112631	0.112631	198,562	35,677,806
Oct 27, 2020	0.093941	0.165666	0.092662	0.149172	548,264	47,252,574
Oct 26, 2020	0.107927	0.108204	0.091548	0.093939	218,664	29,756,566
Oct 25, 2020	0.115827	0.118156	0.107920	0.107927	149,355	34,187,498
Oct 24, 2020	0.113144	0.117305	0.110377	0.115829	129,813	36,690,567
Oct 23, 2020	0.115794	0.148625	0.105259	0.113144	184,528	35,840,074
Oct 22, 2020	0.144623	0.147073	0.113529	0.115678	273,937	36,642,724
Oct 21, 2020	0.162082	0.163433	0.141927	0.144652	345,723	45,820,907
Oct 20, 2020	0.181810	0.181810	0.149623	0.162180	280,774	51,372,955
Oct 19, 2020	0.182199	0.184467	0.174718	0.181790	923,272	57,585,011
Oct 18, 2020	0.181197	0.184294	0.179383	0.182353	822,437	57,763,264
Oct 17, 2020	0.176969	0.181592	0.176502	0.181197	767,705	57,397,100
Oct 16, 2020	0.181578	0.181766	0.172611	0.176948	882,078	56,050,944
Oct 15, 2020	0.193665	0.193665	0.176431	0.181562	975,083	57,512,800
Oct 14, 2020	0.187202	0.197503	0.185621	0.193653	1,042,028	61,342,817
Oct 13, 2020	0.179389	0.189812	0.177495	0.187208	971,074	59,301,112
Oct 12, 2020	0.177228	0.182146	0.173696	0.179389	939,779	56,824,377
Oct 11, 2020	0.176837	0.180237	0.174979	0.177228	783,361	56,139,827
Oct 10, 2020	0.181339	0.181906	0.174338	0.176842	882,265	56,017,453
Oct 09, 2020	0.177334	0.182386	0.176287	0.181336	881,795	57,441,066
Oct 08, 2020	0.175102	0.201705	0.173394	0.177334	970,788	56,173,403
Oct 07, 2020	0.616261	0.624082	0.168279	0.174152	914,946	55,165,296
Oct 06, 2020	0.617947	0.621641	0.602373	0.616391	2,967,257	195,251,760
Oct 05, 2020	0.595070	0.629847	0.590822	0.619133	3,029,146	196,120,226
Oct 04, 2020	0.606036	0.619832	0.592880	0.595069	3,095,283	188,497,537
Oct 03, 2020	0.568271	0.607873	0.555191	0.607812	3,091,032	192,534,281
Oct 02, 2020	0.556882	0.573812	0.542913	0.569029	3,454,908	180,248,913
Oct 01, 2020	0.541242	0.567150	0.538961	0.556959	3,152,591	176,425,563
Sep 30, 2020	0.588107	0.592684	0.528974	0.541084	3,195,791	171,396,924
Sep 29, 2020	0.572123	0.627013	0.562351	0.588079	2,976,516	186,283,374
Sep 28, 2020	0.620508	0.622469	0.572123	0.572123	3,211,733	181,228,995
Sep 27, 2020	0.623196	0.678238	0.605517	0.620473	3,022,356	196,544,554
Sep 26, 2020	0.620147	0.627935	0.610799	0.623326	3,035,542	197,448,451
Sep 25, 2020	0.585909	0.620112	0.577722	0.620109	3,115,964	196,429,381
