date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002554	0.002780	0.002528	0.002772	0	3,020,412
Dec 15, 2020	0.002536	0.002577	0.002513	0.002554	0	2,782,202
Dec 14, 2020	0.002542	0.002551	0.002502	0.002536	0	2,762,941
Dec 13, 2020	0.002467	0.002562	0.002453	0.002543	0	2,770,094
Dec 12, 2020	0.002368	0.002485	0.002366	0.002465	0	2,685,908
Dec 11, 2020	0.002417	0.002419	0.002326	0.002369	0	2,581,161
Dec 10, 2020	0.002469	0.002472	0.002375	0.002420	0	2,636,527
Dec 09, 2020	0.002406	0.002481	0.002329	0.002470	0	2,691,435
Dec 08, 2020	0.002550	0.002563	0.002397	0.002405	0	2,620,451
Dec 07, 2020	0.002586	0.002592	0.002520	0.002551	0	2,778,859
Dec 06, 2020	0.002562	0.002599	0.002516	0.002585	0	2,816,313
Dec 05, 2020	0.002464	0.002562	0.002442	0.002562	0	2,791,108
Dec 04, 2020	0.002633	0.002642	0.002464	0.002465	0	2,685,064
Dec 03, 2020	0.002569	0.002654	0.002528	0.002633	0	2,868,474
Dec 02, 2020	0.002520	0.002589	0.002476	0.002570	0	2,799,396
Dec 01, 2020	0.002635	0.002703	0.002458	0.002521	0	2,746,190
Nov 30, 2020	0.002459	0.002639	0.002456	0.002635	0	2,870,916
Nov 29, 2020	0.002331	0.002462	0.002306	0.002459	0	2,679,019
Nov 28, 2020	0.002245	0.002365	0.002209	0.002332	0	2,540,107
Nov 27, 2020	0.002250	0.002297	0.002161	0.002245	0	2,445,335
Nov 26, 2020	0.002469	0.002489	0.002119	0.002250	0	2,450,945
Nov 25, 2020	0.002581	0.002586	0.002431	0.002470	0	2,690,820
Nov 24, 2020	0.002560	0.002612	0.002521	0.002581	0	2,811,706
Nov 23, 2020	0.002417	0.002567	0.002381	0.002561	0	2,790,180
Nov 22, 2020	0.002405	0.002489	0.002262	0.002418	0	2,634,702
Nov 21, 2020	0.002291	0.002409	0.002268	0.002405	0	2,620,049
Nov 20, 2020	0.002146	0.002302	0.002144	0.002291	0	2,495,785
Nov 19, 2020	0.002168	0.002178	0.002109	0.002146	0	2,337,974
Nov 18, 2020	0.002163	0.002229	0.002109	0.002167	0	2,361,413
Nov 17, 2020	0.002075	0.002170	0.002059	0.002163	0	2,356,502
Nov 16, 2020	0.001994	0.002079	0.001985	0.002063	0	2,247,470
Nov 15, 2020	0.002034	0.002038	0.001966	0.001994	0	2,172,229
Nov 14, 2020	0.002087	0.002089	0.002000	0.002035	0	2,216,809
Nov 13, 2020	0.002046	0.002089	0.002031	0.002087	0	2,273,400
Nov 12, 2020	0.002026	0.002058	0.001996	0.002047	0	2,229,615
Nov 11, 2020	0.001970	0.002065	0.001969	0.002026	0	2,207,366
Nov 10, 2020	0.001956	0.001988	0.001938	0.001970	0	2,146,040
Nov 09, 2020	0.001989	0.002014	0.001909	0.001956	0	2,131,089
Nov 08, 2020	0.001909	0.002008	0.001898	0.001990	0	2,167,775
Nov 07, 2020	0.001996	0.002035	0.001870	0.001911	0	2,081,993
Nov 06, 2020	0.001881	0.002004	0.001871	0.001995	0	2,173,606
Nov 05, 2020	0.001782	0.001896	0.001779	0.001881	0	2,049,520
Nov 04, 2020	0.001732	0.001802	0.001689	0.001782	0	1,941,512
Nov 03, 2020	0.001702	0.001739	0.001659	0.001731	0	1,885,651
Nov 02, 2020	0.001748	0.001771	0.001682	0.001702	0	1,854,364
Nov 01, 2020	0.001722	0.001755	0.001711	0.001748	0	1,904,102
Oct 31, 2020	0.001701	0.001751	0.001693	0.001722	0	1,876,018
Oct 30, 2020	0.001707	0.001729	0.001662	0.001701	0	1,852,755
Oct 29, 2020	0.001705	0.001731	0.001671	0.001707	0	1,859,621
Oct 28, 2020	0.001766	0.001785	0.001670	0.001705	0	1,857,459
Oct 27, 2020	0.001711	0.001785	0.001703	0.001765	0	1,923,081
Oct 26, 2020	0.001744	0.001763	0.001671	0.001711	0	1,863,844
Oct 25, 2020	0.001765	0.001788	0.001738	0.001744	0	1,899,892
Oct 24, 2020	0.001750	0.001779	0.001742	0.001766	0	1,923,542
Oct 23, 2020	0.001763	0.001779	0.001723	0.001750	0	1,906,194
Oct 22, 2020	0.001695	0.001790	0.001691	0.001763	0	1,920,425
Oct 21, 2020	0.001588	0.001735	0.001587	0.001695	0	1,846,439
Oct 20, 2020	0.001611	0.001614	0.001579	0.001588	0	1,730,375
Oct 19, 2020	0.001595	0.001623	0.001579	0.001611	0	1,755,359
Oct 18, 2020	0.001562	0.001595	0.001560	0.001595	0	1,737,331
Oct 17, 2020	0.001992	0.002102	0.001553	0.001562	0	1,702,143
Oct 16, 2020	0.000420	0.002032	0.000412	0.001992	765.58	2,169,964
Oct 15, 2020	0.000419	0.000423	0.000413	0.000420	0	457,952
Oct 14, 2020	0.000419	0.000424	0.000414	0.000419	0	456,253
Oct 13, 2020	0.000424	0.000424	0.000415	0.000419	0	456,506
Oct 12, 2020	0.000417	0.000430	0.000411	0.000424	0	462,162
Oct 11, 2020	0.000413	0.000418	0.000413	0.000417	0	453,825
Oct 10, 2020	0.000405	0.000419	0.000405	0.000413	0	450,044
Oct 09, 2020	0.000398	0.000406	0.000395	0.000405	0	441,293
Oct 08, 2020	0.000388	0.000399	0.000384	0.000398	0	433,198
Oct 07, 2020	0.000386	0.000389	0.000384	0.000388	0	423,186
Oct 06, 2020	0.000395	0.000395	0.000383	0.000386	0	420,857
Oct 05, 2020	0.000391	0.000395	0.000389	0.000395	0	429,888
Oct 04, 2020	0.000386	0.000391	0.000385	0.000391	0	425,492
Oct 03, 2020	0.000387	0.000388	0.000384	0.000386	0	420,302
Oct 02, 2020	0.000389	0.000391	0.000380	0.000387	0	421,111
Oct 01, 2020	0.000396	0.000402	0.000384	0.000389	0	424,050
Sep 30, 2020	0.000397	0.000397	0.000391	0.000396	0	430,925
Sep 29, 2020	0.000392	0.000398	0.000390	0.000397	0	432,838
Sep 28, 2020	0.000395	0.000401	0.000392	0.000392	0	427,424
Sep 27, 2020	0.000273	0.000396	0.000140	0.000395	0	430,072
Sep 26, 2020	0.001556	0.001570	0.000142	0.000273	47.23	297,420
Sep 25, 2020	0.001551	0.001575	0.001513	0.001556	0	1,695,185
