date	open	high	low	close	volume	market_cap
Dec 16, 2020	7,289.74	7,289.86	6,784.68	6,784.74	8,979.41	0
Dec 15, 2020	7,167.53	7,339.69	7,167.53	7,289.74	1,843.36	0
Dec 14, 2020	7,176.55	7,264.63	7,164.99	7,167.53	1,874.74	0
Dec 13, 2020	7,003.76	7,178.49	6,915.78	7,176.24	137.58	0
Dec 12, 2020	6,735.32	7,010.72	6,734.96	7,003.76	745.99	0
Dec 11, 2020	6,684.11	6,756.99	6,610.97	6,735.29	4,233.53	0
Dec 10, 2020	6,537.34	6,736.26	6,525.12	6,685.56	4,077.56	0
Dec 09, 2020	6,595.95	6,596.46	6,473.51	6,538.03	0	0
Dec 08, 2020	6,611.13	6,746.62	6,585.22	6,595.96	372.15	0
Dec 07, 2020	6,650.98	6,686.03	6,584.57	6,610.51	6,315.78	0
Dec 06, 2020	6,507.32	6,651.56	6,506.87	6,650.86	21.68	0
Dec 05, 2020	6,500.75	6,520.31	6,381.11	6,507.33	7,191.76	0
Dec 04, 2020	6,426.52	6,529.95	6,385.87	6,500.75	2,440.59	0
Dec 03, 2020	6,551.02	6,602.85	6,420.17	6,426.51	4,646.80	0
Dec 02, 2020	5,568.82	6,560.82	5,568.82	6,551.25	15,570.51	0
Dec 01, 2020	6,319.42	6,344.38	5,547.76	5,548.07	4,924.31	0
Nov 30, 2020	6,863.29	6,942.65	6,366.74	6,366.74	5,832.46	0
Nov 29, 2020	6,984.26	7,069.00	6,751.00	6,860.95	23.44	0
Nov 28, 2020	7,105.44	7,105.44	6,712.86	6,984.23	5,832.76	0
Nov 27, 2020	6,631.98	7,121.81	6,204.11	7,105.37	339.87	0
Nov 26, 2020	7,069.06	7,070.69	6,571.89	6,631.72	1,588.07	0
Nov 25, 2020	7,002.40	7,073.42	6,723.19	7,069.15	0	0
Nov 24, 2020	7,179.21	7,241.56	6,995.24	7,002.33	2,017.74	0
Nov 23, 2020	7,501.95	7,516.11	7,171.72	7,179.11	469.62	0
Nov 22, 2020	7,491.55	7,613.14	7,488.67	7,501.95	222.34	0
Nov 21, 2020	7,769.67	7,769.67	7,489.79	7,491.55	4.99	0
Nov 20, 2020	7,793.17	8,002.23	7,764.05	7,769.67	1,025.04	0
Nov 19, 2020	7,996.84	7,996.84	7,504.88	7,793.17	9,446.97	0
Nov 18, 2020	8,553.27	8,553.27	7,996.68	7,996.84	1,871.55	0
Nov 17, 2020	8,561.41	8,561.42	8,501.94	8,553.27	102.30	0
Nov 16, 2020	8,353.35	8,561.90	8,352.77	8,561.79	3,342.10	0
Nov 15, 2020	8,379.38	8,404.16	8,352.06	8,353.35	6.05	0
Nov 14, 2020	8,416.25	8,416.32	8,256.74	8,379.38	744.55	0
Nov 13, 2020	8,401.85	8,417.62	8,293.17	8,416.25	468.70	0
Nov 12, 2020	8,547.09	8,547.10	8,401.76	8,401.85	69.17	0
Nov 11, 2020	8,421.69	8,603.54	8,398.65	8,547.09	3,470.67	0
Nov 10, 2020	8,256.87	8,433.56	8,118.35	8,421.69	128.78	0
Nov 09, 2020	8,297.14	8,347.82	8,085.16	8,256.87	45,732.73	0
Nov 08, 2020	8,413.17	8,413.17	8,237.64	8,297.14	10,532.02	0
Nov 07, 2020	8,344.35	8,565.76	8,317.52	8,413.17	6,772.74	0
Nov 06, 2020	8,858.49	8,858.49	8,344.16	8,344.35	12,513.14	0
Nov 05, 2020	9,111.67	9,282.77	8,856.42	8,858.49	24,321.63	0
Nov 04, 2020	9,271.40	9,287.77	9,001.12	9,111.67	12,900.63	0
Nov 03, 2020	9,550.42	9,573.81	9,271.25	9,271.40	17,221.21	0
Nov 02, 2020	9,550.99	9,560.90	9,365.36	9,550.42	3,701.44	0
Nov 01, 2020	9,589.37	9,589.37	9,512.02	9,550.99	535.73	0
Oct 31, 2020	9,859.44	9,868.15	9,525.27	9,589.37	11,204.37	0
Oct 30, 2020	9,819.20	9,891.13	9,770.27	9,859.44	5,915.76	0
Oct 29, 2020	9,740.38	9,857.67	9,671.15	9,819.20	1,390.27	0
Oct 28, 2020	9,958.45	9,958.45	9,665.91	9,740.38	27,716.64	0
Oct 27, 2020	9,820.51	10,029.64	9,809.27	9,958.45	8,044.85	0
Oct 26, 2020	9,790.76	9,849.45	9,790.76	9,820.51	1,901.73	0
Oct 25, 2020	9,902.34	9,923.62	9,715.14	9,790.76	14,880.91	0
Oct 24, 2020	9,862.98	9,912.00	9,739.00	9,902.34	20,189.70	0
Oct 23, 2020	9,656.93	9,862.98	9,638.69	9,862.98	14,188.48	0
Oct 22, 2020	9,528.12	9,778.82	9,402.07	9,657.58	32,228.56	0
Oct 21, 2020	10,925.03	10,954.32	9,561.44	9,561.44	50,778.92	0
Oct 20, 2020	10,964.87	11,039.69	10,915.20	10,926.53	29,530.55	0
Oct 19, 2020	10,826.36	11,022.12	10,826.31	10,963.94	1,915.60	0
Oct 18, 2020	10,733.06	10,827.44	10,692.11	10,821.36	13,712.16	0
Oct 17, 2020	10,797.64	10,809.22	10,623.76	10,736.58	7,789.06	0
Oct 16, 2020	10,710.50	10,798.01	10,696.40	10,796.62	935.82	0
Oct 15, 2020	10,532.10	10,710.57	10,532.08	10,710.50	10,728.11	0
Oct 14, 2020	10,407.00	10,527.27	10,390.00	10,527.27	8,199.28	0
Oct 13, 2020	10,386.55	10,453.00	10,378.02	10,407.00	342.13	0
Oct 12, 2020	10,422.64	10,437.29	10,297.55	10,386.55	153.75	0
Oct 11, 2020	10,192.36	10,434.07	10,187.96	10,422.28	17,063.21	0
Oct 10, 2020	10,455.60	10,455.60	10,197.13	10,279.08	51,723.27	0
Oct 09, 2020	10,257.71	10,457.87	10,207.17	10,454.60	16,227.29	0
Oct 08, 2020	10,234.85	10,281.87	10,176.53	10,250.18	18,797.10	0
Oct 07, 2020	10,073.32	10,269.17	9,986.62	10,220.73	82,249.87	0
Oct 06, 2020	10,000.88	10,158.49	9,926.20	10,079.08	26,199.30	0
Oct 05, 2020	9,491.21	10,003.87	9,436.31	10,003.54	62,031.25	0
Oct 04, 2020	9,307.03	9,489.99	9,261.60	9,489.99	17,632.16	0
Oct 03, 2020	9,288.33	9,329.84	9,111.83	9,308.79	29,088.13	0
Oct 02, 2020	9,262.50	9,328.17	9,050.55	9,286.31	32,899.75	0
Oct 01, 2020	9,480.29	9,631.65	9,261.27	9,262.57	30,529.83	0
Sep 30, 2020	9,578.80	9,578.80	9,404.46	9,484.63	12,545.85	0
Sep 29, 2020	9,703.55	9,703.73	9,477.94	9,576.80	16,134.55	0
Sep 28, 2020	9,716.10	9,816.83	9,645.93	9,699.30	24,030.35	0
Sep 27, 2020	9,650.69	9,725.22	9,618.00	9,713.77	10,070.85	0
Sep 26, 2020	9,688.03	9,688.33	9,557.28	9,652.71	226.35	0
Sep 25, 2020	9,510.46	9,691.48	9,483.63	9,688.03	567.39	0
Sep 24, 2020	9,177.25	9,510.28	9,098.07	9,510.19	2,399.68	0
Sep 23, 2020	9,249.58	9,386.00	9,165.25	9,175.90	5,033.82	0
Sep 22, 2020	9,033.52	9,272.40	9,007.39	9,251.09	2,647.75	0
Sep 21, 2020	9,471.78	9,514.19	9,009.70	9,055.29	4,677.02	0
Sep 20, 2020	9,404.59	9,490.92	9,357.33	9,470.97	1,896.43	0
Sep 19, 2020	9,364.20	9,445.83	9,361.84	9,406.58	2,798.19	0
Sep 18, 2020	8,807.35	9,364.20	8,804.04	9,364.20	6,746.28	0
Sep 17, 2020	8,791.74	8,814.03	8,650.10	8,807.35	7,596.65	0
Sep 16, 2020	8,690.29	8,799.14	8,620.28	8,791.74	84.73	0
Sep 15, 2020	8,593.61	8,750.80	8,593.19	8,685.98	1,337.46	0
Sep 14, 2020	8,245.00	8,753.96	8,166.00	8,593.61	4,405.06	0
