date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.17	1.27	1.16	1.26	2,664,953	440,259,740
Dec 15, 2020	1.17	1.18	1.17	1.17	2,014,706	409,478,584
Dec 14, 2020	1.19	1.19	1.17	1.17	2,178,765	409,816,928
Dec 13, 2020	1.16	1.19	1.16	1.19	2,241,203	416,647,545
Dec 12, 2020	1.13	1.16	1.13	1.16	2,069,912	404,261,622
Dec 11, 2020	1.17	1.18	1.13	1.13	2,033,158	396,989,502
Dec 10, 2020	1.17	1.17	1.15	1.17	2,275,012	408,747,693
Dec 09, 2020	1.18	1.18	1.16	1.17	1,933,340	409,754,693
Dec 08, 2020	1.24	1.24	1.18	1.18	2,100,733	413,208,046
Dec 07, 2020	1.24	1.25	1.23	1.24	2,007,420	433,733,337
Dec 06, 2020	1.25	1.26	1.23	1.24	2,026,239	434,021,288
Dec 05, 2020	1.23	1.25	1.23	1.25	2,229,210	438,081,041
Dec 04, 2020	1.28	1.28	1.23	1.23	2,086,212	432,066,169
Dec 03, 2020	1.26	1.28	1.26	1.28	2,461,385	447,349,417
Dec 02, 2020	1.28	1.28	1.24	1.26	2,334,041	440,651,247
Dec 01, 2020	1.32	1.34	1.26	1.28	2,993,500	446,646,111
Nov 30, 2020	1.24	1.34	1.24	1.32	2,880,312	463,456,145
Nov 29, 2020	1.24	1.31	1.22	1.24	3,069,362	434,462,397
Nov 28, 2020	1.18	1.25	1.17	1.24	3,136,065	432,940,481
Nov 27, 2020	1.14	1.19	1.14	1.18	2,597,973	411,985,958
Nov 26, 2020	1.29	1.29	1.09	1.14	3,428,566	399,901,479
Nov 25, 2020	1.32	1.32	1.29	1.29	2,659,728	450,811,320
Nov 24, 2020	1.29	1.33	1.28	1.32	1,820,071	463,441,460
Nov 23, 2020	1.27	1.29	1.26	1.29	2,235,130	450,296,992
Nov 22, 2020	1.30	1.30	1.25	1.27	2,424,245	443,427,726
Nov 21, 2020	1.30	1.31	1.29	1.30	1,792,723	454,372,164
Nov 20, 2020	1.29	1.31	1.28	1.30	2,389,544	455,892,263
Nov 19, 2020	1.28	1.29	1.26	1.29	2,189,419	450,028,738
Nov 18, 2020	1.27	1.30	1.27	1.28	2,213,953	447,879,331
Nov 17, 2020	1.25	1.28	1.25	1.27	2,290,195	446,032,142
Nov 16, 2020	1.21	1.26	1.21	1.25	2,325,576	437,751,879
Nov 15, 2020	1.22	1.23	1.21	1.21	2,018,480	423,212,215
Nov 14, 2020	1.26	1.27	1.22	1.22	2,190,122	427,053,489
Nov 13, 2020	1.25	1.26	1.24	1.26	2,156,280	440,819,625
Nov 12, 2020	1.28	1.29	1.25	1.25	2,531,195	437,618,262
Nov 11, 2020	1.24	1.28	1.24	1.28	2,638,906	447,835,929
Nov 10, 2020	1.23	1.25	1.23	1.24	2,478,272	433,317,353
Nov 09, 2020	1.27	1.27	1.23	1.23	2,807,436	430,227,967
Nov 08, 2020	1.25	1.27	1.24	1.27	2,941,875	443,397,187
Nov 07, 2020	1.29	1.30	1.24	1.25	3,703,774	436,123,452
Nov 06, 2020	1.24	1.29	1.24	1.29	3,055,326	451,316,704
