date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.008255	0.008835	0.007069	0.008201	393,400	1,290,561
Dec 15, 2020	0.008356	0.008924	0.008019	0.008295	530,849	1,305,255
Dec 14, 2020	0.008043	0.008509	0.007585	0.008341	480,259	1,312,494
Dec 13, 2020	0.007626	0.008362	0.007490	0.008116	483,391	1,277,075
Dec 12, 2020	0.008004	0.008392	0.007271	0.007694	394,169	1,210,718
Dec 11, 2020	0.008000	0.008589	0.007119	0.008004	97,537.04	1,259,574
Dec 10, 2020	0.007233	0.008411	0.006758	0.008000	99,014.19	1,258,874
Dec 09, 2020	0.008102	0.008980	0.006887	0.007223	372,906	1,136,619
Dec 08, 2020	0.008539	0.008707	0.007516	0.008159	500,968	1,283,944
Dec 07, 2020	0.008736	0.009203	0.008084	0.008606	419,696	1,354,271
Dec 06, 2020	0.009270	0.010157	0.008251	0.008736	467,441	1,374,622
Dec 05, 2020	0.008804	0.009785	0.008473	0.009251	497,390	1,455,694
Dec 04, 2020	0.009195	0.009998	0.008802	0.008830	7,083.96	1,389,553
Dec 03, 2020	0.009268	0.010312	0.008877	0.009297	452,747	1,463,006
Dec 02, 2020	0.011801	0.012602	0.008585	0.009285	628,163	1,461,061
Dec 01, 2020	0.012845	0.013694	0.009265	0.011750	673,913	1,848,916
Nov 30, 2020	0.012896	0.013468	0.011741	0.012854	661,556	2,022,664
Nov 29, 2020	0.011822	0.015438	0.010271	0.012887	699,661	2,027,880
Nov 28, 2020	0.012397	0.013237	0.011589	0.011822	59,039.13	1,860,251
Nov 27, 2020	0.011478	0.013365	0.010931	0.012397	74,874.64	1,950,738
Nov 26, 2020	0.013678	0.013991	0.009410	0.011477	24,434.46	1,806,065
Nov 25, 2020	0.014241	0.014435	0.012209	0.013697	737,061	2,155,351
Nov 24, 2020	0.014213	0.014723	0.011862	0.014241	797,789	2,240,908
Nov 23, 2020	0.012894	0.014591	0.011800	0.014212	817,349	2,236,444
Nov 22, 2020	0.014725	0.015918	0.011206	0.012894	61,552.54	2,029,008
Nov 21, 2020	0.014718	0.015976	0.012199	0.014725	754,181	2,317,037
Nov 20, 2020	0.014975	0.016597	0.011922	0.014718	728,945	2,315,999
Nov 19, 2020	0.016252	0.018131	0.013708	0.014975	121,083	2,356,412
Nov 18, 2020	0.014564	0.017771	0.012413	0.016252	811,524	2,557,364
Nov 17, 2020	0.016441	0.016972	0.011870	0.014563	100,356	2,291,676
Nov 16, 2020	0.016772	0.017788	0.011210	0.017269	820,216	2,717,475
Nov 15, 2020	0.016620	0.017608	0.012180	0.016772	943,033	2,639,247
Nov 14, 2020	0.013074	0.017020	0.011203	0.016620	842,362	2,615,254
Nov 13, 2020	0.017840	0.017984	0.011203	0.013089	92,654.39	2,059,652
Nov 12, 2020	0.017331	0.018565	0.012251	0.017840	885,659	2,807,263
Nov 11, 2020	0.020763	0.024059	0.016588	0.017331	961,139	2,727,160
Nov 10, 2020	0.019417	0.021853	0.017579	0.020763	36,701.25	3,267,216
Nov 09, 2020	0.015655	0.021050	0.011611	0.019417	26,898.51	3,055,514
Nov 08, 2020	0.010817	0.015958	0.010115	0.015656	895,584	2,463,574
Nov 07, 2020	0.014621	0.016158	0.010115	0.010817	52,295.38	1,702,161
Nov 06, 2020	0.014816	0.015717	0.014036	0.014620	727,182	2,300,585
Nov 05, 2020	0.014838	0.014960	0.013308	0.014816	649,824	2,331,479
