date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.004227	0.005121	0.003182	0.003741	309,841	800,691
Dec 15, 2020	0.005392	0.005471	0.003892	0.004078	361,673	872,805
Dec 14, 2020	0.004534	0.005528	0.004237	0.005417	403,178	1,159,527
Dec 13, 2020	0.004382	0.005356	0.003638	0.004534	374,495	970,494
Dec 12, 2020	0.004154	0.005372	0.003402	0.004383	381,737	938,070
Dec 11, 2020	0.003601	0.004478	0.003548	0.004155	395,499	889,272
Dec 10, 2020	0.003267	0.004278	0.003167	0.003614	303,151	773,636
Dec 09, 2020	0.002983	0.003707	0.002870	0.003268	258,238	699,418
Dec 08, 2020	0.003182	0.003499	0.002841	0.002982	269,783	638,396
Dec 07, 2020	0.003263	0.003522	0.003098	0.003174	208,436	679,438
Dec 06, 2020	0.002865	0.003281	0.002816	0.003263	280,883	698,474
Dec 05, 2020	0.002756	0.003035	0.002728	0.002865	292,949	613,287
Dec 04, 2020	0.002436	0.003166	0.002377	0.002750	257,514	588,655
Dec 03, 2020	0.002916	0.003264	0.002395	0.002437	353,261	521,583
Dec 02, 2020	0.002725	0.003904	0.002604	0.002910	328,017	622,960
Dec 01, 2020	0.002804	0.003141	0.002540	0.002725	331,890	583,357
Nov 30, 2020	0.002676	0.002864	0.002376	0.002815	315,871	602,636
Nov 29, 2020	0.002549	0.002690	0.002235	0.002659	292,134	569,101
Nov 28, 2020	0.002619	0.002882	0.001936	0.002552	148,880	546,210
Nov 27, 2020	0.002319	0.002924	0.001903	0.002618	161,230	560,451
Nov 26, 2020	0.002692	0.002742	0.002090	0.002319	296,204	496,329
Nov 25, 2020	0.002506	0.002866	0.002210	0.002642	305,096	565,618
Nov 24, 2020	0.002827	0.003060	0.002298	0.002521	326,644	539,615
Nov 23, 2020	0.002477	0.002903	0.002310	0.002771	334,443	593,146
Nov 22, 2020	0.002432	0.002686	0.002291	0.002477	308,815	530,202
Nov 21, 2020	0.002558	0.002663	0.002235	0.002432	303,213	520,618
Nov 20, 2020	0.001933	0.002639	0.001785	0.002559	123,227	547,648
Nov 19, 2020	0.002778	0.002778	0.001772	0.001933	51,549.25	413,686
Nov 18, 2020	0.002501	0.002785	0.002284	0.002778	130,400	594,528
Nov 17, 2020	0.002260	0.002711	0.002201	0.002502	255,895	535,515
Nov 16, 2020	0.002278	0.002339	0.002141	0.002259	223,945	483,440
Nov 15, 2020	0.002162	0.002403	0.002110	0.002278	158,670	487,573
Nov 14, 2020	0.002264	0.002354	0.002133	0.002162	91,198.89	462,870
Nov 13, 2020	0.002377	0.002434	0.002151	0.002264	241,573	484,611
Nov 12, 2020	0.002279	0.002536	0.002208	0.002377	209,672	508,725
Nov 11, 2020	0.002068	0.002569	0.002068	0.002279	194,216	487,846
Nov 10, 2020	0.002338	0.002385	0.002068	0.002068	198,774	442,720
Nov 09, 2020	0.002131	0.002515	0.002103	0.002338	169,119	500,512
Nov 08, 2020	0.002139	0.002344	0.002087	0.002131	84,102.22	456,132
Nov 07, 2020	0.002261	0.002320	0.002058	0.002139	123,467	457,766
Nov 06, 2020	0.002531	0.002549	0.001999	0.002261	230,033	484,043
Nov 05, 2020	0.002622	0.002732	0.002300	0.002531	263,850	541,724
Nov 04, 2020	0.002744	0.003198	0.002478	0.002622	229,355	561,312
Nov 03, 2020	0.002542	0.003427	0.002474	0.002744	237,254	587,257
Nov 02, 2020	0.002577	0.002791	0.002391	0.002542	212,654	544,061
Nov 01, 2020	0.002534	0.002765	0.002390	0.002577	216,499	551,602
Oct 31, 2020	0.002645	0.002653	0.002134	0.002534	169,986	542,492
Oct 30, 2020	0.002596	0.002699	0.002429	0.002645	249,758	566,164
Oct 29, 2020	0.002418	0.002790	0.002358	0.002596	271,430	555,667
Oct 28, 2020	0.002835	0.003062	0.002319	0.002418	258,157	517,510
Oct 27, 2020	0.002736	0.003375	0.002374	0.002835	273,869	606,838
Oct 26, 2020	0.002379	0.003702	0.002371	0.002736	200,019	585,677
Oct 25, 2020	0.003275	0.003722	0.002374	0.002379	36,669.88	509,152
Oct 24, 2020	0.003367	0.003784	0.003108	0.003275	143,956	701,038
Oct 23, 2020	0.003597	0.003778	0.003293	0.003366	180,507	720,580
Oct 22, 2020	0.003172	0.003722	0.003171	0.003534	356,283	756,532
Oct 21, 2020	0.003419	0.003692	0.003158	0.003237	383,758	692,801
Oct 20, 2020	0.003599	0.003682	0.003236	0.003515	257,490	752,471
Oct 19, 2020	0.003746	0.003861	0.003546	0.003563	285,238	762,656
Oct 18, 2020	0.003685	0.003840	0.003572	0.003693	361,259	790,433
Oct 17, 2020	0.003668	0.003904	0.003504	0.003631	312,194	777,229
Oct 16, 2020	0.003488	0.003943	0.003285	0.003567	387,571	763,555
Oct 15, 2020	0.003574	0.003759	0.003311	0.003312	165,705	708,962
Oct 14, 2020	0.003583	0.003887	0.003539	0.003612	402,528	773,236
Oct 13, 2020	0.003724	0.004014	0.003410	0.003622	439,241	775,296
Oct 12, 2020	0.004120	0.004260	0.003161	0.003819	256,774	817,389
Oct 11, 2020	0.003740	0.004313	0.003558	0.004084	489,765	874,165
Oct 10, 2020	0.003993	0.004287	0.003598	0.003623	271,675	775,491
Oct 09, 2020	0.004057	0.004387	0.003850	0.004187	454,877	896,271
Oct 08, 2020	0.003892	0.004177	0.003803	0.004088	428,715	874,979
Oct 07, 2020	0.003796	0.004345	0.003708	0.003846	493,212	823,276
Oct 06, 2020	0.003987	0.004160	0.003727	0.003796	504,225	812,582
Oct 05, 2020	0.003853	0.004122	0.003837	0.003958	419,961	847,121
