date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.294196	0.299644	0.261524	0.264463	61,755.11	1,100,398,074
Dec 15, 2020	0.303809	0.321001	0.260631	0.294205	116,001	1,224,150,337
Dec 14, 2020	0.314777	0.320824	0.290185	0.308343	743,313	1,282,979,565
Dec 13, 2020	0.306476	0.319842	0.295655	0.314898	253,469	1,310,253,587
Dec 12, 2020	0.300502	0.321557	0.250616	0.296602	404,720	1,234,125,692
Dec 11, 2020	0.330366	0.330824	0.290867	0.300499	1,027,168	1,250,341,302
Dec 10, 2020	0.322495	0.330971	0.280044	0.330131	1,067,676	1,373,635,175
Dec 09, 2020	0.332316	0.359261	0.292618	0.324553	291,040	1,350,428,444
Dec 08, 2020	0.313881	0.350051	0.310186	0.331686	61,706.30	1,380,104,654
Dec 07, 2020	0.289097	0.319271	0.283808	0.315961	59,608.17	1,314,674,907
Dec 06, 2020	0.275619	0.339493	0.250123	0.284015	35,827.52	1,181,754,391
Dec 05, 2020	0.302414	0.341274	0.275595	0.275620	60,138.01	1,146,820,867
Dec 04, 2020	0.341695	0.346080	0.280146	0.307110	74,194.69	1,277,850,221
Dec 03, 2020	0.324335	0.381192	0.275864	0.341772	83,000.52	1,422,072,233
Dec 02, 2020	0.340933	0.389082	0.318738	0.327255	77,950.85	1,361,667,747
Dec 01, 2020	0.328096	0.381811	0.325411	0.339183	78,594.20	1,411,299,619
Nov 30, 2020	0.321146	0.343604	0.315137	0.326069	69,151.28	1,356,736,237
Nov 29, 2020	0.322212	0.398153	0.320890	0.323730	75,801.42	1,347,002,078
Nov 28, 2020	0.366464	0.400431	0.275615	0.324579	211,729	1,350,535,431
Nov 27, 2020	0.343796	0.394316	0.338349	0.366935	30,362.28	1,526,773,401
Nov 26, 2020	0.380644	0.393864	0.338718	0.340618	26,210.51	1,417,269,784
Nov 25, 2020	0.383592	0.393916	0.349927	0.392283	27,155.12	1,632,241,100
Nov 24, 2020	0.383148	0.426676	0.369200	0.388828	29,794.56	1,617,866,273
Nov 23, 2020	0.336601	0.397135	0.322183	0.383142	29,273.81	1,594,208,882
Nov 22, 2020	0.343574	0.403465	0.309752	0.336601	26,388.74	1,400,558,338
Nov 21, 2020	0.393808	0.403547	0.274302	0.343574	58,574.73	1,429,569,213
Nov 20, 2020	0.370989	0.450241	0.370200	0.393808	86,898.47	1,638,588,601
Nov 19, 2020	0.379585	0.393394	0.370989	0.370989	35,787.90	1,543,643,135
Nov 18, 2020	0.380505	0.389780	0.371043	0.379585	47,200.65	1,579,406,225
Nov 17, 2020	0.395185	0.408870	0.374544	0.380505	55,350.50	1,583,237,164
Nov 16, 2020	0.378805	0.409057	0.376429	0.405187	43,171.31	1,685,934,857
Nov 15, 2020	0.400995	0.408852	0.371081	0.378805	64,531.63	1,576,161,756
Nov 14, 2020	0.361251	0.405677	0.353068	0.400995	74,647.64	1,668,493,725
Nov 13, 2020	0.363041	0.387109	0.354742	0.361251	46,346.14	1,503,121,216
Nov 12, 2020	0.381115	0.401114	0.354905	0.363041	48,162.04	1,510,569,155
Nov 11, 2020	0.389528	0.400298	0.377477	0.381115	47,956.10	1,585,774,650
Nov 10, 2020	0.386762	0.405994	0.373422	0.389528	51,581.65	1,620,781,482
Nov 09, 2020	0.397906	0.421876	0.378618	0.386762	63,404.87	1,609,271,660
Nov 08, 2020	0.386470	0.410513	0.367944	0.397906	43,281.07	1,655,640,733
Nov 07, 2020	0.382580	0.396394	0.354864	0.386470	38,806.38	1,608,055,904
Nov 06, 2020	0.388721	0.402877	0.354474	0.382580	37,493.34	1,591,871,314
Nov 05, 2020	0.383519	0.391880	0.365097	0.388721	36,958.49	1,617,422,026
Nov 04, 2020	0.350291	0.411442	0.348320	0.383519	70,007.81	1,595,777,991
Nov 03, 2020	0.270231	0.380150	0.200069	0.350291	93,060.71	1,457,520,672
Nov 02, 2020	0.372761	0.421254	0.184433	0.270231	16,536.90	1,124,400,455
Nov 01, 2020	0.434627	0.545712	0.372588	0.372761	26,560.49	1,551,014,581
Oct 31, 2020	0.491599	0.538933	0.430557	0.434627	26,364.21	1,808,431,609
Oct 30, 2020	0.440304	0.500326	0.405903	0.491599	30,811.40	2,045,485,782
Oct 29, 2020	0.460959	0.550251	0.260993	0.440304	67,657.34	1,832,051,023
Oct 28, 2020	0.171704	0.530097	0.157884	0.460959	60,702.84	1,917,995,088
Oct 27, 2020	0.095136	0.335462	0.087567	0.171704	33,086.77	714,440,948
Oct 26, 2020	0.120207	0.124288	0.085868	0.095136	17,012.52	395,849,873
Oct 25, 2020	0.081557	0.124343	0.077863	0.120207	15,905.93	500,165,351
Oct 24, 2020	0.078661	0.105105	0.071149	0.081557	6,021.59	339,349,228
Oct 23, 2020	0.077019	0.094959	0.065112	0.078661	6,090.63	327,297,506
Oct 22, 2020	0.068946	0.079999	0.060600	0.079529	5,579.18	330,909,489
Oct 21, 2020	0.071631	0.072060	0.062600	0.066128	4,742.71	275,151,089
Oct 20, 2020	0.084301	0.094743	0.060539	0.064247	4,935.34	267,325,102
Oct 19, 2020	0.072004	0.106085	0.060911	0.081534	158,068	339,251,182
Oct 18, 2020	0.055082	0.079767	0.051159	0.063738	41,987.49	265,205,918
Oct 17, 2020	0.064877	0.069251	0.049624	0.053406	12,855.29	222,216,759
Oct 16, 2020	0.050030	0.066154	0.049572	0.060863	25,880.32	253,242,287
Oct 15, 2020	0.031327	0.050998	0.026390	0.050380	47,073.13	209,625,513
Oct 14, 2020	0.033609	0.042727	0.014871	0.033865	108,980	140,908,495
Oct 13, 2020	0.019903	0.035566	0.019839	0.034603	57,926.73	143,980,674
Oct 12, 2020	0.019822	0.024035	0.019744	0.019991	14,446.87	83,180,165
Oct 11, 2020	0.019779	0.020409	0.019745	0.020237	17,651.70	84,203,134
Oct 10, 2020	0.019867	0.021386	0.019737	0.019741	17,591.15	82,141,795
Oct 09, 2020	0.019945	0.020197	0.019734	0.019934	17,512.86	82,945,020
Oct 08, 2020	0.020627	0.021199	0.019729	0.020026	17,967.37	83,326,001
Oct 07, 2020	0.021041	0.021174	0.020251	0.021174	18,575.10	88,102,360
Oct 06, 2020	0.020252	0.021104	0.020193	0.020379	26,053.16	84,795,119
Oct 05, 2020	0.020365	0.020492	0.020189	0.020252	34,310.20	84,264,204
Oct 04, 2020	0.020641	0.020698	0.020323	0.020365	35,376.67	84,734,860
Oct 03, 2020	0.020317	0.020708	0.020314	0.020641	41,424.58	85,884,091
Oct 02, 2020	0.020312	0.020708	0.019727	0.020320	50,282.58	84,550,305
Oct 01, 2020	0.020102	0.020704	0.019601	0.020312	51,865.61	84,516,562
Sep 30, 2020	0.019344	0.020313	0.019025	0.019942	49,485.35	82,977,009
Sep 29, 2020	0.019561	0.020110	0.019036	0.019345	39,751.57	80,490,194
Sep 28, 2020	0.019941	0.020021	0.019051	0.019692	57,249.86	81,936,296
Sep 27, 2020	0.019193	0.020028	0.019017	0.019716	51,177.07	82,037,023
Sep 26, 2020	0.019070	0.020033	0.019040	0.019620	52,527.77	81,635,942
Sep 25, 2020	0.017646	0.019935	0.017485	0.019070	59,670.61	79,347,779
Sep 24, 2020	0.014908	0.019801	0.014540	0.017646	43,135.85	73,424,359
Sep 23, 2020	0.015404	0.018911	0.014533	0.014908	35,293.61	62,029,384
Sep 22, 2020	0.014560	0.016716	0.014520	0.014821	34,518.18	61,668,019
Sep 21, 2020	0.014486	0.019036	0.014361	0.014561	13,990.33	60,588,454
Sep 20, 2020	0.014501	0.015041	0.014249	0.014486	4,544.37	60,273,722
Sep 19, 2020	0.014114	0.015052	0.014102	0.014638	33,293.38	60,905,040
Sep 18, 2020	0.013792	0.017030	0.013765	0.014139	65,415.89	58,832,489
Sep 17, 2020	0.014353	0.014546	0.013743	0.013792	82,788.46	57,385,468
Sep 16, 2020	0.014524	0.014628	0.014258	0.014353	67,827.75	59,720,056
