date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.028667	0.031920	0.028326	0.031920	126.79	0
Dec 15, 2020	0.028511	0.028964	0.028243	0.028667	0	0
Dec 14, 2020	0.028697	0.028728	0.028095	0.028512	0	0
Dec 13, 2020	0.027657	0.028930	0.027478	0.028696	0	0
Dec 12, 2020	0.026613	0.027904	0.026547	0.027656	0	0
Dec 11, 2020	0.027300	0.027302	0.026117	0.026612	0	0
Dec 10, 2020	0.027969	0.028001	0.026737	0.027301	0	0
Dec 09, 2020	0.026986	0.028085	0.025936	0.027968	0	0
Dec 08, 2020	0.030395	0.030574	0.026869	0.026986	193.76	0
Dec 07, 2020	0.030269	0.030452	0.029377	0.030395	88.84	0
Dec 06, 2020	0.029810	0.030307	0.028380	0.030268	252.77	0
Dec 05, 2020	0.026835	0.029810	0.026508	0.029810	248.33	0
Dec 04, 2020	0.028424	0.028648	0.026722	0.026835	71.94	0
Dec 03, 2020	0.027328	0.028439	0.026861	0.028424	30.89	0
Dec 02, 2020	0.052848	0.054138	0.027127	0.027329	2,900.65	0
Dec 01, 2020	0.054534	0.056273	0.050924	0.052847	52.69	0
Nov 30, 2020	0.050966	0.054537	0.050857	0.054537	5.43	0
Nov 29, 2020	0.051158	0.053038	0.048954	0.050965	337.59	0
Nov 28, 2020	0.052679	0.052858	0.048414	0.051157	319.08	0
Nov 27, 2020	0.055208	0.056460	0.051279	0.052677	214.75	0
Nov 26, 2020	0.060810	0.061401	0.040703	0.055204	2,075.78	0
Nov 25, 2020	0.064141	0.064341	0.059376	0.060810	10.00	0
Nov 24, 2020	0.065411	0.069776	0.063437	0.064142	731.76	0
Nov 23, 2020	0.060090	0.065470	0.059446	0.065412	0	0
Nov 22, 2020	0.059496	0.062255	0.055542	0.060093	26.12	0
Nov 21, 2020	0.054982	0.059496	0.054555	0.059496	0	0
Nov 20, 2020	0.050856	0.055432	0.050756	0.054985	0	0
Nov 19, 2020	0.053158	0.053251	0.050327	0.050855	271.42	0
Nov 18, 2020	0.070798	0.071386	0.051957	0.053153	1,601.48	0
Nov 17, 2020	0.068445	0.070869	0.067862	0.070833	0	0
Nov 16, 2020	0.066088	0.067923	0.065444	0.067401	210.85	0
Nov 15, 2020	0.078699	0.078930	0.065001	0.066085	773.59	0
Nov 14, 2020	0.076969	0.078696	0.071754	0.078696	718.33	0
Nov 13, 2020	0.085201	0.085836	0.076100	0.076930	854.09	0
Nov 12, 2020	0.098552	0.098672	0.083398	0.085232	2,261.58	0
Nov 11, 2020	0.087594	0.098994	0.087594	0.098552	525.11	0
Nov 10, 2020	0.129899	0.129900	0.085258	0.087635	3,997.65	0
Nov 09, 2020	0.145063	0.145607	0.127480	0.129901	688.97	0
Nov 08, 2020	0.139478	0.145972	0.138487	0.145051	14.08	0
Nov 07, 2020	0.147226	0.150644	0.137004	0.139304	96.57	0
Nov 06, 2020	0.123247	0.147976	0.123247	0.147182	950.74	0
Nov 05, 2020	0.148303	0.151555	0.105564	0.123248	3,757.30	0
Nov 04, 2020	0.145454	0.150503	0.106351	0.148300	5,348.52	0
Nov 03, 2020	0.169417	0.169422	0.142715	0.145457	1,403.98	0
Nov 02, 2020	0.150850	0.174627	0.144011	0.169402	1,842.11	0
Nov 01, 2020	0.155639	0.156580	0.139085	0.150844	1,478.95	0
Oct 31, 2020	0.149616	0.159967	0.148965	0.155622	936.36	0
Oct 30, 2020	0.152167	0.153896	0.108214	0.149615	6,157.47	0
Oct 29, 2020	0.336147	0.337362	0.052787	0.152168	48,957.11	0
Oct 28, 2020	0.362212	0.365485	0.318490	0.336129	2,728.95	0
Oct 27, 2020	0.346642	0.389823	0.346493	0.362220	2,130.96	0
Oct 26, 2020	0.416214	0.424859	0.343089	0.346625	4,246.12	0
Oct 25, 2020	0.417352	0.427773	0.412844	0.416212	936.88	0
Oct 24, 2020	0.408697	0.427063	0.403548	0.417362	1,060.55	0
Oct 23, 2020	0.586132	0.593958	0.378229	0.408714	0	0
Oct 22, 2020	0.565844	0.599629	0.565844	0.586105	1,357.40	0
Oct 21, 2020	0.559992	0.604567	0.511074	0.565844	12,843.24	0
Oct 20, 2020	0.576870	0.577577	0.559164	0.560038	0	0
Oct 19, 2020	0.573802	0.582614	0.567463	0.576870	0	0
Oct 18, 2020	0.559171	0.573925	0.558519	0.573802	0	0
Oct 17, 2020	0.557168	0.560404	0.553957	0.559434	0	0
Oct 16, 2020	0.574195	0.576480	0.553088	0.557168	0	0
Oct 15, 2020	0.575495	0.577928	0.564986	0.574195	0	0
Oct 14, 2020	0.580120	0.587284	0.569923	0.575495	0	0
Oct 13, 2020	0.583858	0.586455	0.572066	0.580103	0	0
Oct 12, 2020	0.667246	0.678427	0.583831	0.583858	6,669.49	0
Oct 11, 2020	0.582793	0.707889	0.581427	0.667246	14,182.71	0
Oct 10, 2020	0.611818	0.613646	0.517507	0.582793	15,945.71	0
Oct 09, 2020	0.668987	0.698846	0.608703	0.611978	16,595.31	0
Oct 08, 2020	0.796045	0.813697	0.668583	0.668987	23,619.97	0
Oct 07, 2020	0.466804	1.41	0.461850	0.796045	418,916	0
Oct 06, 2020	0.474088	0.535047	0.442499	0.466804	7,726.44	0
Oct 05, 2020	0.580032	0.588439	0.461942	0.474088	6,749.02	0
Oct 04, 2020	0.581456	0.629044	0.501210	0.580032	12,451.15	0
Oct 03, 2020	0.595745	0.598600	0.577552	0.581456	741.21	0
Oct 02, 2020	0.754828	0.758295	0.541816	0.595745	16,619.40	0
Oct 01, 2020	0.770235	0.914569	0.711568	0.754828	23,836.75	0
Sep 30, 2020	0.921046	1.03	0.724396	0.770235	23,880.40	0
Sep 29, 2020	0.744847	1.08	0.742928	0.921046	61,275.03	0
Sep 28, 2020	0.917632	0.921203	0.623134	0.744847	40,306.47	0
Sep 27, 2020	1.09	1.25	0.879008	0.917632	40,643.05	0
Sep 26, 2020	1.31	1.40	0.892285	1.09	69,183.76	0
Sep 25, 2020	1.17	1.39	0.915600	1.31	125,567	0
Sep 24, 2020	0.960270	1.17	0.745206	1.17	62,940.07	0
