date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.099476	0.111692	0.058749	0.111006	334,982	999,760
Dec 15, 2020	0.100157	0.101750	0.097789	0.099481	173,710	895,961
Dec 14, 2020	0.099744	0.101196	0.095307	0.100169	303,647	902,157
Dec 13, 2020	0.097669	0.101647	0.096942	0.099755	256,744	898,429
Dec 12, 2020	0.096650	0.099445	0.095275	0.097652	146,308	879,493
Dec 11, 2020	0.100466	0.100770	0.094478	0.096680	263,046	870,742
Dec 10, 2020	0.100615	0.101442	0.099341	0.100478	348,120	904,943
Dec 09, 2020	0.099199	0.101434	0.094808	0.100638	284,327	906,385
Dec 08, 2020	0.108018	0.108744	0.096220	0.099209	340,804	893,511
Dec 07, 2020	0.113037	0.113168	0.107712	0.108020	331,130	972,867
Dec 06, 2020	0.113109	0.114478	0.098784	0.113028	383,844	1,017,973
Dec 05, 2020	0.113409	0.114341	0.111839	0.113084	329,641	1,018,481
Dec 04, 2020	0.118623	0.119330	0.113480	0.113507	419,843	1,022,286
Dec 03, 2020	0.116748	0.120049	0.116429	0.118614	311,032	1,068,280
Dec 02, 2020	0.116607	0.117480	0.097016	0.116753	400,509	1,051,520
Dec 01, 2020	0.124100	0.126655	0.116108	0.116617	423,831	1,050,301
Nov 30, 2020	0.121502	0.124421	0.116270	0.124098	674,544	1,117,678
Nov 29, 2020	0.121325	0.121509	0.111593	0.121505	640,466	1,094,321
Nov 28, 2020	0.117507	0.121626	0.117193	0.121328	645,082	1,092,723
Nov 27, 2020	0.115303	0.117697	0.114761	0.117504	647,779	1,058,282
Nov 26, 2020	0.124707	0.124857	0.107510	0.115269	1,397,172	1,038,154
Nov 25, 2020	0.123984	0.127934	0.121178	0.124791	307,716	874,337
Nov 24, 2020	0.122082	0.128504	0.120442	0.123917	351,900	868,207
Nov 23, 2020	0.119476	0.132836	0.115819	0.121942	188,540	854,374
Nov 22, 2020	0.123594	0.129688	0.112448	0.119482	244,204	837,140
Nov 21, 2020	0.108903	0.131102	0.100745	0.123592	157,290	865,934
Nov 20, 2020	0.090844	0.111938	0.088776	0.108907	121,542	763,043
Nov 19, 2020	0.089319	0.092884	0.085431	0.090845	160,401	636,498
Nov 18, 2020	0.088235	0.101330	0.069561	0.089316	114,833	625,780
