date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000037	0.000038	0.000035	0.000036	336,941	54,857,557
Dec 15, 2020	0.000035	0.000037	0.000035	0.000037	370,722	56,459,667
Dec 14, 2020	0.000034	0.000036	0.000034	0.000035	393,611	53,606,614
Dec 13, 2020	0.000034	0.000037	0.000030	0.000034	380,403	51,790,931
Dec 12, 2020	0.000031	0.000035	0.000031	0.000034	393,040	51,709,012
Dec 11, 2020	0.000033	0.000033	0.000031	0.000031	320,117	47,197,457
Dec 10, 2020	0.000032	0.000035	0.000032	0.000033	327,900	50,635,618
Dec 09, 2020	0.000033	0.000034	0.000031	0.000032	371,348	48,012,628
Dec 08, 2020	0.000036	0.000037	0.000032	0.000033	309,404	49,345,664
Dec 07, 2020	0.000033	0.000037	0.000032	0.000036	419,163	54,066,403
Dec 06, 2020	0.000032	0.000033	0.000031	0.000033	355,878	49,795,450
Dec 05, 2020	0.000032	0.000033	0.000031	0.000032	430,743	48,929,766
Dec 04, 2020	0.000033	0.000034	0.000031	0.000032	405,195	48,143,626
Dec 03, 2020	0.000033	0.000034	0.000031	0.000033	420,514	50,775,611
Dec 02, 2020	0.000030	0.000033	0.000027	0.000033	367,823	49,655,926
Dec 01, 2020	0.000024	0.000031	0.000023	0.000030	545,394	44,841,841
Nov 30, 2020	0.000022	0.000024	0.000021	0.000024	313,764	37,157,537
Nov 29, 2020	0.000025	0.000025	0.000021	0.000022	286,932	33,802,447
Nov 28, 2020	0.000025	0.000027	0.000020	0.000025	504,050	37,920,699
Nov 27, 2020	0.000018	0.000025	0.000018	0.000025	199,813	37,813,174
Nov 26, 2020	0.000018	0.000019	0.000017	0.000018	250,819	27,739,540
Nov 25, 2020	0.000018	0.000019	0.000018	0.000018	237,258	27,543,540
Nov 24, 2020	0.000020	0.000020	0.000017	0.000018	280,480	27,797,095
Nov 23, 2020	0.000021	0.000021	0.000018	0.000020	375,001	30,204,004
Nov 22, 2020	0.000022	0.000022	0.000020	0.000021	284,135	31,843,254
Nov 21, 2020	0.000024	0.000025	0.000021	0.000022	174,879	33,283,735
Nov 20, 2020	0.000024	0.000025	0.000023	0.000024	54,043.21	36,875,643
Nov 19, 2020	0.000023	0.000026	0.000023	0.000024	80,733.18	36,710,720
Nov 18, 2020	0.000024	0.000024	0.000021	0.000023	116,561	35,312,682
Nov 17, 2020	0.000026	0.000026	0.000022	0.000024	147,518	36,511,943
Nov 16, 2020	0.000026	0.000026	0.000023	0.000026	79,890.23	39,672,353
Nov 15, 2020	0.000026	0.000026	0.000025	0.000026	87,481.37	39,620,813
Nov 14, 2020	0.000025	0.000027	0.000022	0.000026	71,869.36	39,827,610
Nov 13, 2020	0.000025	0.000025	0.000022	0.000024	77,609.41	35,970,902
Nov 12, 2020	0.000026	0.000026	0.000023	0.000025	78,888.60	38,283,926
Nov 11, 2020	0.000023	0.000026	0.000023	0.000026	97,697.18	39,205,788
Nov 10, 2020	0.000023	0.000026	0.000021	0.000023	24,627.97	34,531,601
Nov 09, 2020	0.000025	0.000026	0.000023	0.000025	94,356.52	38,645,111
Nov 08, 2020	0.000023	0.000025	0.000022	0.000023	38,185.41	34,272,870
Nov 07, 2020	0.000023	0.000024	0.000020	0.000023	88,517.00	34,997,754
Nov 06, 2020	0.000024	0.000024	0.000021	0.000023	221,308	35,625,469
Nov 05, 2020	0.000022	0.000024	0.000021	0.000024	539,906	36,386,231
Nov 04, 2020	0.000022	0.000023	0.000020	0.000022	520,405	33,308,823
Nov 03, 2020	0.000021	0.000023	0.000021	0.000022	551,137	32,966,585
Nov 02, 2020	0.000023	0.000024	0.000020	0.000021	407,307	32,593,804
Nov 01, 2020	0.000025	0.000025	0.000021	0.000023	528,091	35,310,053
Oct 31, 2020	0.000022	0.000026	0.000019	0.000025	483,689	37,808,488
Oct 30, 2020	0.000024	0.000024	0.000020	0.000022	584,876	33,300,782
Oct 29, 2020	0.000023	0.000025	0.000022	0.000024	708,675	36,019,405
Oct 28, 2020	0.000021	0.000026	0.000019	0.000023	611,406	34,872,671
Oct 27, 2020	0.000035	0.000035	0.000021	0.000021	1,012,230	31,722,046
Oct 26, 2020	0.000020	0.000039	0.000020	0.000035	1,489,183	52,371,145
Oct 25, 2020	0.000019	0.000020	0.000018	0.000020	578,094	29,871,470
Oct 24, 2020	0.000017	0.000020	0.000016	0.000019	714,093	29,407,530
Oct 23, 2020	0.000015	0.000018	0.000014	0.000017	589,848	25,279,809
Oct 22, 2020	0.000013	0.000017	0.000010	0.000015	163,990	23,002,630
Oct 21, 2020	0.000010	0.000013	0.000006	0.000013	405,644	19,223,509
Oct 20, 2020	0.000005	0.000010	0.000004	0.000009	360,667	14,318,343
Oct 19, 2020	0.000006	0.000006	0.000004	0.000005	106,511	6,946,602
Oct 18, 2020	0.000004	0.000006	0.000004	0.000006	99,633.33	8,545,206
Oct 17, 2020	0.000004	0.000005	0.000004	0.000004	106,124	6,717,409
Oct 16, 2020	0.000005	0.000005	0.000004	0.000004	112,871	6,490,337
Oct 15, 2020	0.000005	0.000006	0.000004	0.000004	109,339	6,822,424
Oct 14, 2020	0.000005	0.000006	0.000004	0.000005	102,912	6,966,942
Oct 13, 2020	0.000005	0.000006	0.000004	0.000005	112,514	6,889,069
Oct 12, 2020	0.000006	0.000006	0.000005	0.000005	90,324.99	8,184,182
Oct 11, 2020	0.000007	0.000007	0.000006	0.000006	81,570.42	8,541,567
Oct 10, 2020	0.000008	0.000008	0.000007	0.000007	39,935.06	10,338,669
Oct 09, 2020	0.000008	0.000008	0.000006	0.000008	33,748.40	11,744,254
Oct 08, 2020	0.000007	0.000008	0.000007	0.000008	30,304.00	11,891,194
Oct 07, 2020	0.000007	0.000007	0.000007	0.000007	28,081.25	11,191,781
Oct 06, 2020	0.000007	0.000007	0.000006	0.000007	32,306.04	10,303,174
Oct 05, 2020	0.000006	0.000007	0.000006	0.000007	34,703.79	10,794,509
Oct 04, 2020	0.000007	0.000007	0.000005	0.000006	63,604.07	8,607,172
Oct 03, 2020	0.000007	0.000007	0.000007	0.000007	38,377.01	10,170,152
Oct 02, 2020	0.000006	0.000007	0.000005	0.000007	32,997.89	10,592,320
Oct 01, 2020	0.000006	0.000007	0.000004	0.000006	156,081	8,440,539
Sep 30, 2020	0.000009	0.000009	0.000005	0.000007	85,529.87	11,261,582
Sep 29, 2020	0.000010	0.000011	0.000009	0.000009	42,807.72	13,437,848
Sep 28, 2020	0.000010	0.000011	0.000010	0.000010	33,996.90	14,634,331
Sep 27, 2020	0.000011	0.000012	0.000010	0.000010	31,347.71	15,710,268
Sep 26, 2020	0.000008	0.000011	0.000008	0.000011	26,350.52	16,135,178
Sep 25, 2020	0.000010	0.000018	0.000007	0.000008	93,038.03	12,837,424
Sep 24, 2020	0.000010	0.000011	0.000009	0.000010	52,507.63	14,546,962
Sep 23, 2020	0.000010	0.000011	0.000010	0.000010	27,097.47	15,806,846
Sep 22, 2020	0.000009	0.000009	0.000008	0.000009	34,368.51	13,187,208
Sep 21, 2020	0.000009	0.000009	0.000008	0.000009	32,486.76	13,344,001
Sep 20, 2020	0.000009	0.000009	0.000008	0.000009	32,087.25	13,222,982
Sep 19, 2020	0.000012	0.000012	0.000009	0.000009	24,237.66	14,395,581
Sep 18, 2020	0.000014	0.000015	0.000009	0.000012	29,292.34	17,760,296
Sep 17, 2020	0.000009	0.000014	0.000009	0.000014	34,181.26	20,874,776
Sep 16, 2020	0.000009	0.000037	0.000009	0.000009	80,211.57	14,276,359
Sep 15, 2020	0.000012	0.000012	0.000009	0.000009	48,364.78	13,894,804
Sep 14, 2020	0.000010	0.000013	0.000010	0.000012	60,715.54	18,248,332
Sep 13, 2020	0.000010	0.000010	0.000010	0.000010	53,828.78	15,019,221
Sep 12, 2020	0.000010	0.000010	0.000009	0.000010	38,041.38	14,745,031
Sep 11, 2020	0.000010	0.000010	0.000009	0.000010	45,837.01	14,669,195
Sep 10, 2020	0.000010	0.000010	0.000010	0.000010	57,644.82	15,192,224
Sep 09, 2020	0.000009	0.000010	0.000009	0.000010	47,273.12	14,498,515
Sep 08, 2020	0.000009	0.000010	0.000009	0.000009	68,530.51	14,010,834
Sep 07, 2020	0.000009	0.000009	0.000008	0.000009	64,782.03	13,747,188
Sep 06, 2020	0.000009	0.000009	0.000008	0.000009	54,489.06	12,956,724
Sep 05, 2020	0.000009	0.000010	0.000009	0.000009	133,613	13,940,185
Sep 04, 2020	0.000010	0.000010	0.000008	0.000009	125,262	13,675,918
Sep 03, 2020	0.000010	0.000010	0.000009	0.000010	148,446	14,815,905
Sep 02, 2020	0.000011	0.000011	0.000010	0.000010	129,472	15,239,219
Sep 01, 2020	0.000011	0.000011	0.000010	0.000011	143,127	16,115,450
Aug 31, 2020	0.000011	0.000011	0.000010	0.000011	148,416	16,281,346
Aug 30, 2020	0.000012	0.000012	0.000011	0.000011	116,684	16,977,500
Aug 29, 2020	0.000012	0.000012	0.000011	0.000012	98,182.84	17,464,989
Aug 28, 2020	0.000011	0.000012	0.000011	0.000012	108,900	17,757,840
Aug 27, 2020	0.000013	0.000013	0.000011	0.000011	117,485	17,301,258
Aug 26, 2020	0.000011	0.000013	0.000011	0.000013	124,047	19,430,511
Aug 25, 2020	0.000013	0.000013	0.000011	0.000011	167,580	17,336,931
Aug 24, 2020	0.000013	0.000014	0.000012	0.000013	165,886	19,494,685
Aug 23, 2020	0.000013	0.000014	0.000013	0.000013	115,985	20,211,360
