date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.947361	0.951732	0.905528	0.940233	56,214,682	188,860,470
Dec 15, 2020	0.911132	0.947927	0.906358	0.947346	32,884,176	190,289,238
Dec 14, 2020	0.924855	0.930048	0.904377	0.911100	26,071,550	183,008,747
Dec 13, 2020	0.892130	0.942117	0.885098	0.924850	23,285,499	185,770,650
Dec 12, 2020	0.867651	0.913288	0.865161	0.892135	27,060,126	179,199,199
Dec 11, 2020	0.862123	0.882429	0.831968	0.867729	25,509,754	174,299,557
Dec 10, 2020	0.896130	0.913408	0.857118	0.862183	21,453,035	173,185,533
Dec 09, 2020	0.891597	0.905863	0.845170	0.896005	26,660,538	179,979,325
Dec 08, 2020	0.949938	0.951812	0.884359	0.891626	27,437,025	179,099,802
Dec 07, 2020	0.976599	0.977589	0.938992	0.949899	25,778,528	190,807,891
Dec 06, 2020	0.969504	0.987751	0.957727	0.976465	25,643,963	196,144,242
Dec 05, 2020	0.933346	0.977689	0.921521	0.969112	30,128,872	194,667,131
Dec 04, 2020	1.01	1.05	0.932064	0.933781	40,610,473	187,570,319
Dec 03, 2020	1.02	1.06	1.01	1.01	38,867,443	203,432,292
Dec 02, 2020	0.990146	1.03	0.978718	1.02	28,440,877	204,984,854
Dec 01, 2020	1.05	1.10	0.966960	0.989822	47,355,240	198,632,202
Nov 30, 2020	1.02	1.08	1.00	1.05	36,106,336	211,457,115
Nov 29, 2020	1.01	1.04	0.983573	1.02	31,120,018	204,780,129
Nov 28, 2020	0.963413	1.04	0.935517	1.01	35,793,619	203,261,204
Nov 27, 2020	0.978792	1.02	0.925690	0.963230	34,589,844	193,298,641
Nov 26, 2020	1.15	1.20	0.896011	0.977597	71,839,894	196,181,815
Nov 25, 2020	1.13	1.34	1.12	1.15	89,426,913	231,680,164
Nov 24, 2020	1.11	1.18	1.05	1.13	62,121,522	226,235,747
Nov 23, 2020	1.02	1.13	0.991659	1.11	45,562,607	221,892,688
Nov 22, 2020	1.04	1.07	0.953977	1.02	39,133,662	203,729,042
Nov 21, 2020	0.937523	1.05	0.937523	1.04	49,609,894	209,102,372
