date	open	high	low	close	volume	market_cap
Dec 16, 2020	1.31	1.41	1.30	1.41	0	0
Dec 15, 2020	1.66	1.68	1.31	1.31	3,474.68	0
Dec 14, 2020	1.68	1.69	1.63	1.66	137.11	0
Dec 13, 2020	1.60	1.70	1.59	1.68	301.23	0
Dec 12, 2020	1.53	1.62	1.50	1.60	932.19	0
Dec 11, 2020	1.60	1.60	1.51	1.53	222.82	0
Dec 10, 2020	1.63	1.64	1.56	1.60	279.73	0
Dec 09, 2020	1.59	1.65	1.52	1.63	114.52	0
Dec 08, 2020	1.72	1.72	1.58	1.59	205.81	0
Dec 07, 2020	1.84	1.84	1.70	1.72	786.27	0
Dec 06, 2020	1.86	1.89	1.80	1.84	542.93	0
Dec 05, 2020	1.80	1.86	1.78	1.86	174.92	0
Dec 04, 2020	2.02	2.02	1.80	1.80	591.43	0
Dec 03, 2020	1.96	2.09	1.92	2.02	1,564.41	0
Dec 02, 2020	2.00	2.02	1.89	1.96	617.99	0
Dec 01, 2020	2.11	2.15	1.94	2.00	227.79	0
Nov 30, 2020	1.97	2.12	1.97	2.11	1,241.30	0
Nov 29, 2020	1.99	1.99	1.87	1.97	1,388.42	0
Nov 28, 2020	1.85	2.02	1.81	1.99	1,830.90	0
Nov 27, 2020	1.83	1.98	1.77	1.85	2,041.28	0
Nov 26, 2020	2.05	2.07	1.72	1.83	465.31	0
Nov 25, 2020	2.36	2.43	2.00	2.05	2,840.02	0
Nov 24, 2020	2.47	2.59	2.34	2.36	3,375.05	0
Nov 23, 2020	3.12	3.15	2.46	2.47	9,258.71	0
Nov 22, 2020	4.61	4.68	3.12	3.12	17,288.91	0
Nov 21, 2020	4.47	4.91	4.22	4.61	14,951.84	0
Nov 20, 2020	4.14	6.90	3.86	4.47	93,072.12	0
Nov 19, 2020	6.11	6.50	4.13	4.14	72,647.31	0
Nov 18, 2020	6.33	8.39	5.59	6.11	129,470	0
Nov 17, 2020	8.70	8.86	5.48	6.33	245,236	0
