date	open	high	low	close	volume	market_cap
Dec 16, 2020	9.61	9.62	9.00	9.04	2,067.68	18,078.41
Dec 15, 2020	8.83	9.61	8.83	9.61	1,040.14	19,218.20
Dec 14, 2020	9.47	9.49	8.62	8.83	198.84	17,658.41
Dec 13, 2020	9.47	9.48	8.16	9.47	35.32	18,939.65
Dec 12, 2020	8.01	9.50	8.01	9.47	219.33	18,949.46
Dec 11, 2020	8.82	8.82	8.00	8.01	53.21	16,027.21
Dec 10, 2020	9.02	9.03	8.82	8.82	17.64	17,643.31
Dec 09, 2020	9.07	9.60	9.02	9.02	467.59	18,047.65
Dec 08, 2020	9.06	9.58	9.05	9.07	22.31	18,135.23
Dec 07, 2020	9.01	9.06	9.00	9.05	9.06	18,109.44
Dec 06, 2020	9.00	9.92	9.00	9.01	431.42	18,021.35
Dec 05, 2020	9.00	9.01	9.00	9.00	0	18,009.85
Dec 04, 2020	8.02	9.98	8.01	9.00	102.09	18,004.43
Dec 03, 2020	8.90	9.98	7.05	8.02	335.90	16,033.41
Dec 02, 2020	7.02	8.90	6.70	8.90	1,983.29	17,791.45
Dec 01, 2020	7.01	7.02	6.55	7.02	1.97	14,038.00
Nov 30, 2020	6.51	7.02	6.50	7.01	157.16	14,025.35
Nov 29, 2020	7.03	7.03	6.50	6.51	65.06	13,011.66
Nov 28, 2020	6.26	7.03	6.26	7.03	177.01	14,053.82
Nov 27, 2020	7.01	7.01	6.26	6.26	215.13	12,514.87
Nov 26, 2020	6.50	7.01	6.12	7.01	1,405.16	14,027.29
Nov 25, 2020	6.50	6.51	6.50	6.50	19.70	13,000.91
Nov 24, 2020	5.94	6.50	5.94	6.50	1,848.43	12,997.35
Nov 23, 2020	5.93	5.94	5.93	5.94	2,124.37	11,880.90
Nov 22, 2020	5.76	5.93	5.76	5.93	779.60	11,850.54
Nov 21, 2020	5.75	5.88	5.75	5.76	116.07	11,527.01
Nov 20, 2020	5.91	5.92	5.75	5.75	55.69	11,504.91
Nov 19, 2020	5.93	5.93	5.91	5.91	147.22	11,829.23
Nov 18, 2020	5.93	5.94	5.93	5.93	240.47	11,864.74
Nov 17, 2020	5.93	5.94	5.93	5.93	111.39	11,869.96
Nov 16, 2020	5.89	5.93	5.89	5.93	118.64	11,864.89
Nov 15, 2020	5.93	5.93	5.89	5.89	17.62	11,787.62
Nov 14, 2020	5.93	5.93	5.93	5.93	0	11,863.41
Nov 13, 2020	5.93	5.94	5.93	5.93	179.56	11,864.10
Nov 12, 2020	5.94	5.94	5.93	5.93	124.36	11,866.04
Nov 11, 2020	5.95	5.95	5.94	5.94	119.13	11,871.68
Nov 10, 2020	5.93	5.95	5.93	5.95	100.15	11,893.39
Nov 09, 2020	5.94	5.94	5.93	5.93	178.03	11,867.74
Nov 08, 2020	5.72	5.94	5.71	5.94	59.35	11,870.03
Nov 07, 2020	5.92	5.92	5.71	5.72	60.73	11,438.00
Nov 06, 2020	5.87	5.92	5.58	5.92	1,075.38	11,843.51
Nov 05, 2020	5.88	5.88	5.87	5.87	12.45	11,744.93
Nov 04, 2020	5.85	5.88	5.85	5.88	211.07	11,752.66
Nov 03, 2020	5.58	5.86	5.58	5.85	123.03	11,706.46
Nov 02, 2020	5.52	5.85	5.52	5.58	26.41	11,165.84
Nov 01, 2020	5.87	5.87	5.52	5.52	11.04	11,044.18
Oct 31, 2020	5.88	5.88	5.87	5.87	17.67	11,742.35
Oct 30, 2020	5.85	5.88	5.85	5.88	192.41	11,750.62
Oct 29, 2020	5.86	5.86	5.26	5.85	117.63	11,704.08
Oct 28, 2020	5.50	5.86	5.41	5.86	84.77	11,723.99
Oct 27, 2020	5.51	5.51	5.50	5.50	22.78	11,002.45
Oct 26, 2020	5.00	5.87	5.00	5.51	132.95	11,010.54
Oct 25, 2020	5.89	5.89	5.00	5.00	100.07	10,007.21
Oct 24, 2020	5.88	5.89	5.88	5.89	0	11,770.69
Oct 23, 2020	5.92	5.92	5.88	5.88	118.86	11,767.72
Oct 22, 2020	5.92	5.92	5.91	5.92	0	11,832.90
Oct 21, 2020	5.87	5.92	5.86	5.92	80.41	11,841.68
Oct 20, 2020	5.86	5.87	5.86	5.87	0	11,731.55
Oct 19, 2020	5.87	5.88	5.86	5.86	5.92	11,730.00
Oct 18, 2020	5.73	5.87	5.73	5.87	177.00	11,749.20
Oct 17, 2020	4.50	5.74	4.50	5.73	127.29	11,467.98
Oct 16, 2020	5.79	5.80	4.50	4.50	55.86	9,009.42
Oct 15, 2020	5.94	5.94	4.22	5.79	1,118.42	11,589.22
Oct 14, 2020	5.94	5.94	5.93	5.94	8.79	11,871.94
Oct 13, 2020	5.85	5.94	5.85	5.94	189.20	11,873.18
Oct 12, 2020	5.20	5.85	5.20	5.85	800.30	11,695.21
Oct 11, 2020	5.01	5.21	5.01	5.20	104.18	10,407.64
Oct 10, 2020	5.02	5.02	5.01	5.01	0	10,028.86
Oct 09, 2020	5.11	5.16	5.02	5.02	895.34	10,031.82
Oct 08, 2020	5.12	5.13	4.80	5.11	27.88	10,212.77
Oct 07, 2020	4.73	5.12	4.73	5.12	307.83	10,247.24
Oct 06, 2020	5.09	5.09	4.73	4.73	94.64	9,464.24
Oct 05, 2020	5.06	5.09	5.05	5.09	101.89	10,188.82
Oct 04, 2020	5.06	5.06	5.06	5.06	238.89	10,113.73
Oct 03, 2020	4.70	5.06	4.70	5.06	101.11	10,111.19
Oct 02, 2020	5.03	5.04	4.70	4.70	111.79	9,409.86
Oct 01, 2020	5.01	5.05	5.00	5.03	387.58	10,067.03
Sep 30, 2020	5.00	5.01	5.00	5.01	10.01	10,013.64
Sep 29, 2020	5.01	5.01	5.00	5.00	25.32	10,008.54
Sep 28, 2020	5.01	5.01	5.00	5.01	0	10,011.21
Sep 27, 2020	4.77	5.01	4.76	5.01	55.83	10,014.86
Sep 26, 2020	4.78	5.01	4.76	4.77	144.35	9,537.44
Sep 25, 2020	5.01	5.01	4.77	4.78	6.16	9,554.00
Sep 24, 2020	4.95	5.01	4.81	5.01	173.87	10,012.68
Sep 23, 2020	4.95	4.96	4.76	4.95	106.42	9,909.14
Sep 22, 2020	4.70	5.08	4.67	4.96	54.05	9,917.50
Sep 21, 2020	5.11	5.14	4.67	4.69	16.67	9,389.98
Sep 20, 2020	4.98	5.14	4.97	5.11	731.16	10,221.03
Sep 19, 2020	4.97	5.00	4.95	4.98	128.64	9,956.69
Sep 18, 2020	4.98	5.01	4.56	4.98	69.55	9,963.72
Sep 17, 2020	4.99	4.99	4.53	4.98	126.12	9,954.19
Sep 16, 2020	4.81	4.99	4.41	4.99	434.55	9,972.48
Sep 15, 2020	4.81	4.83	4.79	4.81	101.64	9,620.74
Sep 14, 2020	4.26	4.87	4.24	4.81	96.86	9,613.89
Sep 13, 2020	4.71	4.73	4.24	4.25	95.33	8,507.90
Sep 12, 2020	4.71	4.76	4.69	4.71	141.29	9,410.19
Sep 11, 2020	4.65	4.71	4.61	4.71	47.53	9,411.44
Sep 10, 2020	4.66	4.69	4.63	4.66	0.651889	9,312.70
Sep 09, 2020	4.66	4.68	4.64	4.66	36.37	9,324.54
Sep 08, 2020	4.10	4.68	4.10	4.65	139.60	9,306.92
Sep 07, 2020	4.71	4.73	4.09	4.10	184.69	8,206.64
Sep 06, 2020	4.70	4.73	4.68	4.71	141.39	9,422.57
Sep 05, 2020	4.11	4.78	4.08	4.70	4.70	9,402.41
Sep 04, 2020	4.92	5.06	4.09	4.11	2.26	8,213.90
Sep 03, 2020	4.90	5.03	4.04	4.93	421.93	9,852.47
Sep 02, 2020	4.54	4.91	4.52	4.90	158.66	9,802.71
Sep 01, 2020	4.51	4.55	4.49	4.54	4.27	9,079.13
Aug 31, 2020	4.88	4.88	4.46	4.51	15.84	9,025.47
Aug 30, 2020	4.88	4.89	4.86	4.88	0	9,769.28
Aug 29, 2020	4.43	4.89	4.42	4.88	34.45	9,760.51
Aug 28, 2020	4.89	4.90	4.42	4.43	22.14	8,856.01
Aug 27, 2020	4.90	4.92	4.87	4.89	48.91	9,782.00
Aug 26, 2020	4.85	4.91	4.83	4.90	4.60	9,797.09
Aug 25, 2020	4.56	4.87	4.54	4.85	780.89	9,696.94
Aug 24, 2020	4.56	4.56	4.33	4.56	18.22	9,112.13
Aug 23, 2020	4.55	4.57	4.54	4.56	0	9,116.51
Aug 22, 2020	4.70	4.72	4.33	4.55	62.53	9,101.27
Aug 21, 2020	4.83	4.86	4.67	4.70	84.68	9,408.65
Aug 20, 2020	4.85	4.86	4.81	4.83	14.78	9,663.23
Aug 19, 2020	4.89	4.93	4.84	4.85	67.87	9,702.30
Aug 18, 2020	4.84	4.90	4.71	4.89	225.60	9,787.35
Aug 17, 2020	3.86	4.86	3.86	4.84	116.81	9,674.10
Dec 16, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 15, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 14, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 13, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 12, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 11, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 10, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 09, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 08, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 07, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 06, 2019	3.86	3.86	3.86	3.86	0	7,714.36
Dec 05, 2019	3.72	3.87	3.71	3.86	0	7,714.36
Dec 04, 2019	3.71	3.88	3.64	3.72	588.38	7,447.88
Dec 03, 2019	3.76	3.97	3.62	3.71	590.28	7,424.96
Dec 02, 2019	3.81	3.99	3.59	3.76	950.51	7,513.93
Dec 01, 2019	4.00	4.03	3.64	3.81	522.34	7,625.36
Nov 30, 2019	4.18	4.23	3.97	4.00	315.93	7,998.34
Nov 29, 2019	4.05	4.18	3.97	4.18	535.20	8,362.51
