date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.008631	0.012506	0.008556	0.010915	484,621	5,998,278
Dec 15, 2020	0.009923	0.010485	0.008632	0.008632	398,665	4,743,666
Dec 14, 2020	0.010142	0.010609	0.009595	0.009922	460,443	5,452,979
Dec 13, 2020	0.010209	0.010583	0.010008	0.010142	424,701	5,573,860
Dec 12, 2020	0.009115	0.010354	0.009109	0.010216	342,243	5,614,470
Dec 11, 2020	0.009352	0.009556	0.008890	0.009115	395,391	5,009,031
Dec 10, 2020	0.009368	0.009646	0.008970	0.009352	339,280	5,139,638
Dec 09, 2020	0.009171	0.009612	0.008654	0.009368	375,825	5,148,288
Dec 08, 2020	0.009263	0.009700	0.008956	0.009171	433,542	5,039,839
Dec 07, 2020	0.009228	0.009401	0.008836	0.009264	428,898	5,091,361
Dec 06, 2020	0.009002	0.009283	0.008793	0.009226	358,044	5,070,381
Dec 05, 2020	0.009301	0.009694	0.008839	0.009001	325,927	4,946,596
Dec 04, 2020	0.009395	0.009977	0.008975	0.009302	405,059	5,112,198
Dec 03, 2020	0.009564	0.009818	0.008827	0.009395	414,829	5,163,349
Dec 02, 2020	0.009671	0.010182	0.009383	0.009565	398,111	5,256,385
Dec 01, 2020	0.011393	0.011543	0.009554	0.009673	452,867	5,315,990
Nov 30, 2020	0.011291	0.012150	0.010634	0.011392	588,323	6,260,657
Nov 29, 2020	0.010227	0.011392	0.009836	0.011291	475,685	6,194,608
Nov 28, 2020	0.008401	0.010770	0.008124	0.010227	503,819	5,610,864
Nov 27, 2020	0.007615	0.008493	0.007574	0.008400	332,944	4,608,254
Nov 26, 2020	0.007731	0.008555	0.006693	0.007615	393,251	4,177,689
Nov 25, 2020	0.008199	0.008398	0.007407	0.007731	269,941	4,241,417
Nov 24, 2020	0.008245	0.008717	0.007816	0.008198	277,496	4,497,710
Nov 23, 2020	0.007492	0.008445	0.007489	0.008245	286,430	4,519,385
Nov 22, 2020	0.008797	0.009046	0.007127	0.007497	343,531	4,109,504
Nov 21, 2020	0.009742	0.012373	0.008176	0.008840	387,312	4,845,611
Nov 20, 2020	0.010759	0.014924	0.008756	0.009743	497,465	5,340,138
Nov 19, 2020	0.010091	0.030088	0.008894	0.010759	1,359,544	5,897,034
Nov 18, 2020	0.012074	0.015482	0.009245	0.010090	747,306	5,530,275
Nov 17, 2020	0.010704	0.014008	0.007832	0.012006	690,463	6,580,230
Nov 16, 2020	0.010414	0.014714	0.009645	0.012376	717,321	6,783,085
Nov 15, 2020	0.010523	0.014401	0.009363	0.010414	590,110	5,707,609
Nov 14, 2020	0.011887	0.015854	0.009774	0.010523	543,055	5,767,473
Nov 13, 2020	0.012170	0.013757	0.010587	0.011887	568,898	6,515,013
Nov 12, 2020	0.013114	0.013481	0.010504	0.012170	646,686	6,670,466
Nov 11, 2020	0.012349	0.014066	0.011415	0.013115	637,379	7,187,879
Nov 10, 2020	0.012682	0.014090	0.011147	0.012352	693,721	6,769,720
Nov 09, 2020	0.014122	0.015062	0.011661	0.012683	801,843	6,951,240
Nov 08, 2020	0.012079	0.014407	0.010507	0.014122	760,376	7,739,781
