date	open	high	low	close	volume	market_cap
Dec 16, 2020	784.74	932.08	719.32	929.85	1,266,808	0
Dec 15, 2020	813.46	838.39	753.17	785.40	544,271	0
Dec 14, 2020	829.00	835.09	722.60	813.45	578,549	0
Dec 13, 2020	710.46	864.54	676.24	827.32	878,109	0
Dec 12, 2020	620.69	729.67	618.85	710.27	673,492	0
Dec 11, 2020	667.19	671.10	589.31	623.44	822,367	0
Dec 10, 2020	807.82	809.34	663.84	667.17	480,735	0
Dec 09, 2020	727.87	824.63	631.58	807.83	955,405	0
Dec 08, 2020	922.61	936.53	705.19	727.86	794,285	0
Dec 07, 2020	1,022.77	1,023.50	884.59	922.79	456,889	0
Dec 06, 2020	950.35	1,025.72	872.89	1,022.62	391,259	0
Dec 05, 2020	870.15	980.28	842.47	950.32	374,094	0
Dec 04, 2020	1,185.64	1,194.01	825.43	871.85	1,168,815	0
Dec 03, 2020	1,209.92	1,238.02	1,121.18	1,185.61	729,508	0
Dec 02, 2020	1,064.22	1,227.25	1,001.93	1,209.90	776,279	0
Dec 01, 2020	1,321.04	1,474.32	1,032.36	1,064.66	1,520,092	0
Nov 30, 2020	1,095.14	1,351.86	1,095.14	1,320.37	1,845,574	0
Nov 29, 2020	1,036.21	1,111.15	980.02	1,095.12	967,009	0
Nov 28, 2020	901.46	1,108.03	872.81	1,036.21	823,277	0
Nov 27, 2020	934.16	1,029.84	813.61	900.13	1,047,960	0
Nov 26, 2020	1,454.38	1,528.47	661.85	927.50	3,905,188	0
Nov 25, 2020	2,051.03	2,123.54	1,363.14	1,456.36	2,753,934	0
Nov 24, 2020	1,936.02	2,357.84	1,845.82	2,057.56	4,612,191	0
Nov 23, 2020	1,669.35	1,988.43	1,599.45	1,943.89	3,391,756	0
Nov 22, 2020	2,090.79	2,165.11	1,433.46	1,669.35	5,284,730	0
Nov 21, 2020	1,591.46	2,099.37	1,496.50	2,090.79	4,234,350	0
Nov 20, 2020	1,457.35	1,741.79	1,421.50	1,591.46	3,390,258	0
Nov 19, 2020	1,467.73	1,566.90	1,291.66	1,457.35	2,216,828	0
Nov 18, 2020	1,376.41	1,682.68	1,233.11	1,467.73	3,523,569	0
Nov 17, 2020	1,253.06	1,406.05	1,173.33	1,376.41	2,012,339	0
Nov 16, 2020	1,075.63	1,239.03	1,049.18	1,203.01	1,134,519	0
Nov 15, 2020	1,207.91	1,218.78	996.70	1,075.63	1,159,347	0
Nov 14, 2020	1,298.46	1,303.44	1,145.50	1,207.91	1,218,255	0
Nov 13, 2020	1,179.94	1,326.96	1,149.91	1,298.46	1,495,119	0
Nov 12, 2020	1,292.76	1,362.76	1,141.78	1,179.91	1,709,486	0
Nov 11, 2020	1,369.88	1,475.62	1,292.76	1,292.76	1,536,611	0
Nov 10, 2020	1,226.44	1,426.81	1,180.85	1,369.88	1,533,606	0
Nov 09, 2020	1,303.35	1,373.44	1,107.04	1,226.45	2,032,224	0
Nov 08, 2020	1,060.09	1,368.50	992.92	1,303.35	1,662,724	0
Nov 07, 2020	1,179.91	1,560.09	988.66	1,060.09	3,722,912	0
Nov 06, 2020	891.94	1,199.68	881.88	1,179.91	2,729,244	0
Nov 05, 2020	772.36	943.71	694.64	891.94	1,627,654	0
Nov 04, 2020	768.16	811.04	625.38	772.35	1,224,459	0
Nov 03, 2020	862.70	862.70	691.72	768.15	1,289,489	0
Nov 02, 2020	1,068.00	1,095.52	854.19	862.71	992,456	0
Nov 01, 2020	989.04	1,070.16	940.97	1,068.00	621,942	0
Oct 31, 2020	955.77	1,021.74	913.63	989.04	782,054	0
Oct 30, 2020	1,006.37	1,039.08	871.59	955.77	1,276,268	0
Oct 29, 2020	1,051.77	1,126.84	967.15	1,006.35	984,792	0
Oct 28, 2020	1,200.17	1,244.71	982.09	1,051.76	1,504,559	0
Oct 27, 2020	1,134.44	1,325.24	1,072.19	1,200.16	1,329,104	0
Oct 26, 2020	1,266.11	1,338.06	1,007.03	1,134.44	1,383,432	0
Oct 25, 2020	1,450.87	1,490.24	1,218.76	1,266.11	1,315,539	0
Oct 24, 2020	1,272.58	1,506.89	1,224.68	1,450.87	1,417,831	0
Oct 23, 2020	1,205.12	1,296.51	1,115.13	1,272.58	1,881,720	0
Oct 22, 2020	920.06	1,308.63	913.67	1,201.31	1,893,196	0
