date	open	high	low	close	volume	market_cap
Dec 16, 2020	229.94	249.10	226.89	249.10	0	0
Dec 15, 2020	228.61	232.67	226.55	229.94	0	0
Dec 14, 2020	230.36	230.73	224.79	228.61	0	0
Dec 13, 2020	221.75	231.99	220.15	230.36	0	0
Dec 12, 2020	212.36	223.81	212.36	221.75	0	0
Dec 11, 2020	218.51	218.56	209.39	212.36	0	0
Dec 10, 2020	223.78	224.01	214.50	218.51	0	0
Dec 09, 2020	215.85	225.26	207.34	223.78	0	0
Dec 08, 2020	230.85	231.93	214.64	215.85	0	0
Dec 07, 2020	234.68	235.18	228.24	230.85	0	0
Dec 06, 2020	232.45	236.78	227.92	234.68	0	0
Dec 05, 2020	222.42	232.60	219.36	232.45	0	0
Dec 04, 2020	240.82	241.71	221.34	222.42	0	0
Dec 03, 2020	233.26	242.57	229.48	240.82	0	0
Dec 02, 2020	229.82	235.46	225.36	233.26	0	0
Dec 01, 2020	239.54	247.96	222.47	229.82	0	0
Nov 30, 2020	224.60	240.14	222.96	239.54	0	0
Nov 29, 2020	209.76	224.72	207.55	224.60	0	0
Nov 28, 2020	202.03	213.72	198.11	209.76	0	0
Nov 27, 2020	201.86	207.05	193.57	202.03	0	0
Nov 26, 2020	222.58	224.99	189.47	201.86	0	0
Nov 25, 2020	235.12	236.35	218.05	222.58	0	0
Nov 24, 2020	237.74	242.62	231.82	235.12	0	0
Nov 23, 2020	216.84	238.09	214.80	237.74	0	0
Nov 22, 2020	233.07	237.61	212.03	216.84	0	0
Nov 21, 2020	213.24	233.82	208.25	233.07	0	0
Nov 20, 2020	206.13	218.84	204.16	213.24	0	0
Nov 19, 2020	206.73	211.73	197.65	206.13	0	0
Nov 18, 2020	203.76	208.89	194.68	206.73	0	0
Nov 17, 2020	196.66	204.67	195.10	203.76	0	0
Nov 16, 2020	189.53	196.71	188.44	194.81	0	0
Nov 15, 2020	195.22	195.50	186.12	189.53	0	0
Nov 14, 2020	201.51	201.63	191.11	195.22	0	0
Nov 13, 2020	195.33	201.64	193.54	201.51	0	0
Nov 12, 2020	195.90	198.44	191.24	195.33	0	0
Nov 11, 2020	190.38	200.89	190.02	195.90	0	0
Nov 10, 2020	187.91	192.01	185.80	190.38	0	0
Nov 09, 2020	192.18	193.48	184.11	187.91	0	0
Nov 08, 2020	184.12	194.19	183.16	192.18	0	0
Nov 07, 2020	192.78	197.57	180.10	184.12	0	0
Nov 06, 2020	175.82	193.30	175.56	192.78	0	0
Nov 05, 2020	169.78	177.56	167.81	175.82	0	0
Nov 04, 2020	168.18	172.55	158.53	169.78	0	0
Nov 03, 2020	174.81	174.81	163.17	168.18	0	0
Nov 02, 2020	187.10	188.88	173.52	174.81	0	0
Nov 01, 2020	181.93	187.26	178.69	187.10	0	0
Oct 31, 2020	179.34	183.87	177.24	181.93	0	0
Oct 30, 2020	182.25	185.48	174.33	179.34	0	0
Oct 29, 2020	185.48	190.66	179.66	182.25	0	0
Oct 28, 2020	193.57	196.32	180.80	185.48	0	0
Oct 27, 2020	190.34	201.66	186.29	193.57	0	0
Oct 26, 2020	196.64	201.49	183.22	190.34	0	0
Oct 25, 2020	206.35	207.96	194.70	196.64	0	0
Oct 24, 2020	0	209.58	0	206.35	0	0
Oct 23, 2020	193.73	198.10	0	0	0	0
Oct 22, 2020	175.30	200.69	174.16	192.92	0	0
Oct 21, 2020	159.30	179.99	159.29	175.30	0	0
Oct 20, 2020	176.53	176.79	158.49	159.66	0	0
Oct 19, 2020	177.03	180.54	172.48	176.85	0	0
Oct 18, 2020	171.88	177.60	171.62	176.78	0	0
Oct 17, 2020	171.26	172.96	169.25	172.42	0	0
Oct 16, 2020	173.83	176.02	166.80	171.36	0	0
Oct 15, 2020	176.49	176.49	169.80	173.77	0	0
Oct 14, 2020	177.89	183.06	172.36	177.36	0	0
Oct 13, 2020	182.75	182.88	175.85	177.65	0	0
Oct 12, 2020	177.06	186.58	173.10	183.19	0	0
Oct 11, 2020	175.24	178.07	174.45	177.06	0	0
Oct 10, 2020	172.66	178.62	172.62	174.96	0	0
Oct 09, 2020	165.73	174.03	164.40	172.65	0	0
Oct 08, 2020	155.41	167.12	148.08	165.73	0	0
Oct 07, 2020	154.82	157.05	153.11	155.41	0	0
Oct 06, 2020	162.15	162.69	153.51	154.88	0	0
Oct 05, 2020	161.57	162.81	160.22	162.14	0	0
Oct 04, 2020	158.72	162.33	158.02	161.57	0	0
Oct 03, 2020	158.51	160.94	157.86	158.73	0	0
Oct 02, 2020	161.87	162.09	153.95	158.65	0	0
Oct 01, 2020	164.78	168.94	158.64	161.64	0	0
Sep 30, 2020	165.01	165.44	161.77	164.78	0	0
Sep 29, 2020	162.28	165.18	161.18	164.83	0	0
Sep 28, 2020	163.98	168.38	162.01	162.62	0	0
Sep 27, 2020	162.41	165.98	159.81	163.79	0	0
Sep 26, 2020	161.32	163.05	159.58	162.79	0	0
Sep 25, 2020	159.26	164.12	155.09	161.24	0	0
Sep 24, 2020	148.91	160.23	147.79	159.24	0	0
Sep 23, 2020	157.81	157.91	153.23	155.32	0	0
Sep 22, 2020	156.15	158.92	154.11	157.80	0	0
Sep 21, 2020	169.97	172.39	153.18	156.67	0	0
Sep 20, 2020	176.74	176.74	168.09	169.97	0	0
Sep 19, 2020	176.25	177.85	173.08	176.73	0	0
Sep 18, 2020	178.54	178.81	172.35	176.14	0	0
Sep 17, 2020	167.47	180.18	166.77	177.49	0	0
Sep 16, 2020	166.99	169.89	162.94	167.39	0	0
Sep 15, 2020	172.92	175.07	166.31	167.01	0	0
Sep 14, 2020	167.79	176.00	163.36	172.92	0	0
Sep 13, 2020	177.80	178.39	162.30	167.66	0	0
Sep 12, 2020	171.52	177.88	167.69	177.88	0	0
Sep 11, 2020	168.71	171.91	163.48	171.34	0	0
Sep 10, 2020	160.94	173.01	160.90	168.49	0	0
Sep 09, 2020	154.02	164.58	151.96	160.94	0	0
Sep 08, 2020	161.57	163.41	149.04	154.76	0	0
Sep 07, 2020	161.81	164.32	148.62	161.57	0	0
Sep 06, 2020	153.69	165.07	146.53	161.77	0	0
Sep 05, 2020	177.39	180.65	143.65	152.84	0	0
Sep 04, 2020	175.46	183.45	167.81	177.60	0	0
Sep 03, 2020	201.43	206.40	172.76	175.96	0	0
Sep 02, 2020	218.06	220.53	198.94	201.43	0	0
Sep 01, 2020	199.19	223.78	197.40	218.48	0	0
Aug 31, 2020	196.62	201.12	192.12	199.50	0	0
Aug 30, 2020	182.87	196.62	182.81	196.57	0	0
Aug 29, 2020	181.28	185.97	179.99	183.15	0	0
Aug 28, 2020	175.28	182.37	175.28	181.20	0	0
Aug 27, 2020	184.54	187.60	169.67	175.28	0	0
Aug 26, 2020	171.35	189.38	170.39	184.54	0	0
Aug 25, 2020	183.14	185.85	163.73	170.99	0	0
Aug 24, 2020	183.04	192.02	178.23	183.63	0	0
Aug 23, 2020	192.97	193.36	177.70	183.35	0	0
Aug 22, 2020	166.53	197.39	165.83	193.18	0	0
Aug 21, 2020	194.49	195.01	156.37	165.93	0	0
Aug 20, 2020	192.18	196.76	190.87	194.42	0	0
