date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.040460	0.044874	0.038841	0.044379	247,413	1,577,325
Dec 15, 2020	0.040000	0.041697	0.039142	0.040461	205,496	1,438,082
Dec 14, 2020	0.041846	0.043549	0.038882	0.039998	159,366	1,421,615
Dec 13, 2020	0.042047	0.044349	0.040715	0.041858	210,248	1,487,730
Dec 12, 2020	0.040304	0.043457	0.037691	0.042030	160,266	1,493,827
Dec 11, 2020	0.042590	0.044252	0.039468	0.040321	211,265	1,433,095
Dec 10, 2020	0.045794	0.046240	0.041702	0.042634	150,475	1,515,311
Dec 09, 2020	0.043998	0.046195	0.042252	0.045808	128,655	1,628,116
Dec 08, 2020	0.046823	0.048754	0.043902	0.043991	181,054	1,563,514
Dec 07, 2020	0.045096	0.047421	0.044296	0.046828	205,575	1,664,372
Dec 06, 2020	0.043954	0.046240	0.041319	0.045083	173,072	1,602,333
Dec 05, 2020	0.042039	0.044537	0.040810	0.043950	151,980	1,562,055
Dec 04, 2020	0.049948	0.050115	0.041754	0.042046	198,025	1,494,390
Dec 03, 2020	0.044666	0.050424	0.042361	0.049952	184,440	1,775,387
Dec 02, 2020	0.042585	0.045450	0.040427	0.044668	169,216	1,587,603
Dec 01, 2020	0.049192	0.051748	0.040358	0.042595	203,886	1,513,902
Nov 30, 2020	0.047315	0.050554	0.041303	0.049188	274,962	1,748,250
Nov 29, 2020	0.049544	0.050783	0.045296	0.047318	201,143	1,681,763
Nov 28, 2020	0.045176	0.051456	0.041112	0.049549	177,117	1,761,077
Nov 27, 2020	0.042628	0.045858	0.041004	0.045173	159,309	1,605,524
Nov 26, 2020	0.046199	0.047598	0.038852	0.042624	245,098	1,514,959
Nov 25, 2020	0.050457	0.053661	0.045552	0.046201	167,949	1,642,073
Nov 24, 2020	0.053171	0.059510	0.046026	0.050454	264,570	1,793,235
Nov 23, 2020	0.050787	0.056899	0.050308	0.053173	200,953	1,889,868
Nov 22, 2020	0.047502	0.058891	0.040688	0.050792	289,899	1,805,237
Nov 21, 2020	0.053655	0.057015	0.039009	0.047501	371,300	1,688,297
Nov 20, 2020	0.049668	0.055134	0.045637	0.053658	267,044	1,907,101
Nov 19, 2020	0.051856	0.058870	0.047375	0.049669	204,850	1,765,323
Nov 18, 2020	0.064482	0.068612	0.046517	0.051851	398,055	1,842,890
Nov 17, 2020	0.069985	0.072877	0.062610	0.064504	336,293	2,292,599
Nov 16, 2020	0.065360	0.087192	0.060501	0.072000	347,107	2,559,031
Nov 15, 2020	0.065920	0.068979	0.059035	0.065375	198,623	2,323,570
Nov 14, 2020	0.063633	0.066821	0.058059	0.065929	210,630	2,343,260
Nov 13, 2020	0.059700	0.065296	0.059088	0.063621	201,797	2,261,216
Nov 12, 2020	0.063617	0.065287	0.058643	0.059710	295,507	2,122,198
Nov 11, 2020	0.058619	0.067298	0.057854	0.063619	263,629	2,261,161
Nov 10, 2020	0.060379	0.061653	0.053310	0.058629	224,360	2,083,790
Nov 09, 2020	0.058126	0.062019	0.051718	0.060384	378,636	2,146,161
Nov 08, 2020	0.069875	0.070221	0.054797	0.058133	528,661	2,066,147
Nov 07, 2020	0.074425	0.076920	0.068859	0.069907	431,982	2,484,633
Nov 06, 2020	0.073815	0.079669	0.070287	0.074358	474,489	2,642,844
Nov 05, 2020	0.076363	0.077940	0.068907	0.073816	571,915	2,623,561
Nov 04, 2020	0.080556	0.080798	0.071158	0.076361	423,791	2,714,024
Nov 03, 2020	0.074907	0.081003	0.068639	0.080507	418,732	2,861,398
Nov 02, 2020	0.084169	0.085608	0.074337	0.074918	408,556	2,662,721
Nov 01, 2020	0.092800	0.192396	0.052542	0.084167	354,127	2,991,471
Oct 31, 2020	0.089196	0.093418	0.073790	0.092801	391,105	3,298,322
Oct 30, 2020	0.116291	0.119407	0.073198	0.089195	720,632	3,170,175
Oct 29, 2020	0.148883	0.160932	0.115440	0.116292	787,583	4,133,246
Oct 28, 2020	0.177025	0.197254	0.106508	0.148880	1,842,583	5,291,494
Oct 27, 2020	0.162357	0.193312	0.158306	0.177011	3,103,623	6,291,318
Oct 26, 2020	0.152356	0.221179	0.145003	0.162347	3,227,318	5,770,159
Oct 25, 2020	0.138587	0.162128	0.132052	0.152353	2,969,953	5,414,926
Oct 24, 2020	0.133670	0.143126	0.126834	0.138592	2,237,271	4,925,828
Oct 23, 2020	0.127402	0.138721	0.121982	0.133669	672,685	4,750,851
Oct 22, 2020	0.129361	0.134470	0.127136	0.127402	240,222	4,528,135
Oct 21, 2020	0.131770	0.137318	0.119007	0.129452	350,020	4,601,003
Oct 20, 2020	0.137324	0.141140	0.125303	0.131770	138,522	4,683,366
Oct 19, 2020	0.136717	0.142746	0.115700	0.139114	225,742	4,944,383
Oct 18, 2020	0.132020	0.138074	0.131284	0.136717	107,852	4,859,204
Oct 17, 2020	0.136297	0.138076	0.130704	0.132020	71,834.15	4,692,246
Oct 16, 2020	0.136021	0.137827	0.126617	0.136297	137,246	4,844,272
Oct 15, 2020	0.140131	0.178096	0.127190	0.136216	218,020	4,841,377
Oct 14, 2020	0.126224	0.150174	0.123413	0.139968	132,992	4,974,745
Oct 13, 2020	0.132022	0.132056	0.121795	0.126217	146,082	4,486,013
Oct 12, 2020	0.124709	0.132594	0.124100	0.130847	578,682	4,650,567
Oct 11, 2020	0.126004	0.128395	0.123757	0.125412	492,188	4,457,412
Oct 10, 2020	0.124209	0.130673	0.122225	0.125707	578,304	4,467,891
Oct 09, 2020	0.120741	0.125759	0.117274	0.122981	647,720	4,370,992
Oct 08, 2020	0.107623	0.123287	0.103157	0.120063	460,534	4,267,298
Oct 07, 2020	0.108453	0.109534	0.103847	0.108709	251,443	3,863,727
Oct 06, 2020	0.118305	0.119363	0.105744	0.108451	300,448	3,854,582
Oct 05, 2020	0.122076	0.123013	0.114618	0.118278	389,824	4,203,851
Oct 04, 2020	0.121301	0.123778	0.116312	0.122069	262,718	4,338,588
Oct 03, 2020	0.122296	0.127915	0.106829	0.120271	239,918	4,274,659
Oct 02, 2020	0.127495	0.131062	0.115905	0.122402	302,539	4,350,429
Oct 01, 2020	0.131526	0.141115	0.124287	0.127562	407,964	4,533,807
Sep 30, 2020	0.103872	0.140031	0.101477	0.132147	411,571	4,696,767
Sep 29, 2020	0.107356	0.107356	0.095321	0.105038	258,342	3,733,261
Sep 28, 2020	0.115943	0.117248	0.104280	0.107356	300,330	3,815,636
Sep 27, 2020	0.122223	0.125716	0.111284	0.114512	312,804	4,069,972
Sep 26, 2020	0.120418	0.126245	0.118772	0.121708	339,694	4,325,742
Sep 25, 2020	0.117827	0.123919	0.113659	0.120418	267,831	4,279,896
Sep 24, 2020	0.092641	0.118053	0.091105	0.117919	325,490	4,191,087
Sep 23, 2020	0.102617	0.104376	0.090091	0.092664	255,022	3,293,479
Sep 22, 2020	0.104269	0.105304	0.091978	0.101891	225,277	3,621,414
Sep 21, 2020	0.126413	0.128802	0.103343	0.104541	397,554	3,715,604
Sep 20, 2020	0.134581	0.135762	0.124101	0.126446	386,082	4,494,149
Sep 19, 2020	0.130397	0.137554	0.127114	0.134747	479,681	4,789,192
Sep 18, 2020	0.139365	0.141139	0.122833	0.130489	450,330	4,637,852
Sep 17, 2020	0.119648	0.144801	0.118860	0.139365	447,457	4,953,315
Sep 16, 2020	0.126617	0.129484	0.113312	0.119648	504,912	4,252,547
Sep 15, 2020	0.126765	0.137918	0.124108	0.126223	487,851	4,486,210
Sep 14, 2020	0.099569	0.130732	0.099527	0.126765	539,122	4,505,472
Sep 13, 2020	0.108376	0.109404	0.098323	0.099514	398,742	3,536,945
Sep 12, 2020	0.105741	0.108767	0.103207	0.108376	336,726	3,851,893
Sep 11, 2020	0.105987	0.109755	0.101159	0.105820	337,281	3,761,066
Sep 10, 2020	0.105282	0.117116	0.103305	0.106044	472,719	3,769,013
Sep 09, 2020	0.107852	0.117817	0.102817	0.105282	425,465	3,741,943
Sep 08, 2020	0.107066	0.109911	0.101481	0.107015	491,204	3,803,544
Sep 07, 2020	0.106581	0.113894	0.097720	0.106970	521,917	3,801,938
Sep 06, 2020	0.097019	0.107462	0.093004	0.106588	530,787	3,788,354
Sep 05, 2020	0.120593	0.122988	0.094564	0.096892	352,764	3,443,755
Sep 04, 2020	0.132915	0.140006	0.116412	0.120017	416,861	4,265,646
Sep 03, 2020	0.151910	0.161282	0.123103	0.132906	473,675	4,723,737
Sep 02, 2020	0.162394	0.167416	0.144715	0.151706	485,369	5,391,951
Sep 01, 2020	0.148165	0.174057	0.142164	0.162989	510,873	5,792,962
Aug 31, 2020	0.162559	0.165240	0.141179	0.148302	388,572	5,270,957
Aug 30, 2020	0.170790	0.172446	0.152794	0.162552	463,560	5,777,427
Aug 29, 2020	0.173762	0.195473	0.167933	0.169792	527,478	6,034,736
Aug 28, 2020	0.178158	0.187825	0.170295	0.173615	425,109	6,170,622
Aug 27, 2020	0.174713	0.228739	0.167450	0.178141	656,709	6,331,498
Aug 26, 2020	0.143911	0.189299	0.139066	0.175312	686,717	6,230,959
Aug 25, 2020	0.136376	0.145360	0.132980	0.143207	751,864	5,089,857
Aug 24, 2020	0.125039	0.138632	0.122441	0.136083	750,152	4,836,675
Aug 23, 2020	0.138347	0.139535	0.123391	0.124625	568,822	4,429,411
Aug 22, 2020	0.139016	0.141848	0.133134	0.138156	569,809	4,910,327
Aug 21, 2020	0.141434	0.147685	0.134772	0.137685	614,058	4,893,606
Aug 20, 2020	0.141911	0.147539	0.132654	0.141460	498,366	5,027,764
Aug 19, 2020	0.153706	0.155409	0.140699	0.141911	539,935	5,043,819
Aug 18, 2020	0.163179	0.165619	0.151030	0.153706	661,792	5,463,018
Aug 17, 2020	0.160040	0.166689	0.145000	0.163533	748,449	5,812,303
Aug 16, 2020	0.161184	0.165712	0.151889	0.160040	392,198	5,688,158
Aug 15, 2020	0.167362	0.175050	0.157581	0.161168	461,000	5,728,225
Aug 14, 2020	0.154730	0.182078	0.148516	0.167264	495,323	5,944,894
Aug 13, 2020	0.145616	0.187406	0.128344	0.155154	676,446	5,514,490
Aug 12, 2020	0.160291	0.163612	0.143832	0.145649	440,521	5,176,660
Aug 11, 2020	0.165287	0.171374	0.144020	0.160267	467,775	5,696,221
Aug 10, 2020	0.165174	0.187434	0.164480	0.165375	954,670	5,877,754
Aug 09, 2020	0.143747	0.166368	0.143707	0.165174	732,979	5,870,610
Aug 08, 2020	0.120921	0.157389	0.115861	0.143625	917,026	5,104,731
Aug 07, 2020	0.121697	0.123286	0.108982	0.120345	499,565	4,277,295
Aug 06, 2020	0.115139	0.125959	0.112596	0.121698	723,202	4,325,408
Aug 05, 2020	0.103307	0.117581	0.102166	0.115139	785,419	4,092,289
Aug 04, 2020	0.089095	0.110810	0.089095	0.103250	707,173	3,669,711
Aug 03, 2020	0.086787	0.090654	0.086144	0.089096	371,124	3,166,664
