date	open	high	low	close	volume	market_cap
Dec 16, 2020	3.47	3.69	3.38	3.69	9,301.18	0
Dec 15, 2020	4.12	4.29	3.43	3.47	90,222.73	0
Dec 14, 2020	2.70	4.59	2.67	4.12	224,872	0
Dec 13, 2020	2.49	2.72	2.48	2.70	6,028.79	0
Dec 12, 2020	2.39	2.51	2.38	2.49	2,471.72	0
Dec 11, 2020	2.45	2.45	2.34	2.39	22.44	0
Dec 10, 2020	2.38	2.46	2.33	2.45	13,606.74	0
Dec 09, 2020	2.53	2.56	2.34	2.38	11,072.65	0
Dec 08, 2020	3.10	3.10	2.52	2.53	25,360.62	0
Dec 07, 2020	2.65	3.11	2.51	3.10	63,013.14	0
Dec 06, 2020	2.93	2.98	2.61	2.65	23,627.20	0
Dec 05, 2020	3.29	3.42	2.90	2.93	34,795.42	0
Dec 04, 2020	4.11	4.14	3.29	3.29	29,280.05	0
Dec 03, 2020	3.53	4.68	3.52	4.11	93,140.71	0
Dec 02, 2020	3.17	3.63	3.11	3.53	104,727	0
Dec 01, 2020	4.79	4.80	2.74	3.17	172,540	0
Nov 30, 2020	5.05	5.29	4.72	4.79	41,095.13	0
Nov 29, 2020	5.46	5.46	5.00	5.05	36,167.35	0
Nov 28, 2020	4.83	5.98	4.75	5.46	138,272	0
Nov 27, 2020	6.49	7.40	4.66	4.83	216,583	0
Nov 26, 2020	10.03	10.10	5.34	6.49	577,371	0
Nov 25, 2020	11.14	14.12	9.56	10.03	1,569,947	0
Nov 24, 2020	10.83	14.01	8.96	11.14	5,349,984	0
