date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.108848	0.117440	0.107554	0.117440	0	0
Dec 15, 2020	0.108171	0.109583	0.106314	0.108844	978.30	0
Dec 14, 2020	0.107708	0.109669	0.104542	0.108175	1,009.46	0
Dec 13, 2020	0.147992	0.153418	0.105232	0.107706	7,941.95	0
Dec 12, 2020	0.147186	0.155394	0.146821	0.147989	2,186.92	0
Dec 11, 2020	0.151262	0.151272	0.144532	0.147182	753.66	0
Dec 10, 2020	0.158056	0.158234	0.149685	0.151267	1,132.40	0
Dec 09, 2020	0.140301	0.160711	0.139425	0.158052	3,779.20	0
Dec 08, 2020	0.208437	0.210125	0.114912	0.140301	19,407.56	0
Dec 07, 2020	0.207124	0.210562	0.203118	0.208441	1,416.99	0
Dec 06, 2020	0.242151	0.251692	0.203905	0.207120	8,608.12	0
Dec 05, 2020	0.248770	0.258917	0.240266	0.242155	2,797.54	0
Dec 04, 2020	0.337518	0.340003	0.247718	0.248772	8,726.24	0
Dec 03, 2020	0.415407	0.417764	0.313740	0.337518	27,723.52	0
Dec 02, 2020	0.489520	0.494778	0.383716	0.415416	17,719.21	0
Dec 01, 2020	0.608730	0.616021	0.487907	0.489513	10,285.48	0
Nov 30, 2020	0.646457	0.671447	0.587243	0.608763	21,901.53	0
Nov 29, 2020	0.620626	0.647948	0.611159	0.646453	1,982.98	0
Nov 28, 2020	0.602553	0.645806	0.585341	0.620616	5,717.76	0
Nov 27, 2020	0.944710	0.966129	0.595509	0.602533	49,195.21	0
Nov 26, 2020	1.04	1.05	0.868860	0.944646	17,203.47	0
Nov 25, 2020	1.14	1.54	1.02	1.04	99,288.15	0
Nov 24, 2020	1.20	1.58	1.04	1.14	125,084	0
Nov 23, 2020	0.831088	2.33	0.813879	1.20	504,560	0
Nov 22, 2020	0.410335	1.57	0.380335	0.831132	617,577	0
Nov 21, 2020	0.372172	0.410341	0.369287	0.410341	1,085.94	0
Nov 20, 2020	0.521163	0.537352	0.352243	0.372193	19,778.46	0
Nov 19, 2020	0.552012	0.554156	0.520343	0.521157	4,949.40	0
Nov 18, 2020	0.556626	0.583778	0.540211	0.551955	3,259.86	0
Nov 17, 2020	0.685391	0.685960	0.475080	0.556896	31,706.79	0
Nov 16, 2020	0.693392	0.726398	0.669632	0.678841	3,713.40	0
Nov 15, 2020	0.742292	0.742292	0.681982	0.693356	2,368.73	0
Nov 14, 2020	0.756111	0.765529	0.676998	0.742260	10,426.58	0
Nov 13, 2020	0.786786	0.793023	0.722136	0.755721	20,901.81	0
Nov 12, 2020	0.871471	0.871490	0.785952	0.787069	5,436.40	0
Nov 11, 2020	0.977763	1.03	0.782334	0.871475	22,626.14	0
Nov 10, 2020	0.768367	1.11	0.762395	0.978224	118,798	0
Nov 09, 2020	0.913844	0.913844	0.756668	0.768377	12,675.78	0
Nov 08, 2020	0.971308	1.01	0.894313	0.914035	9,944.74	0
Nov 07, 2020	1.01	1.34	0.914957	0.970101	51,475.15	0
Nov 06, 2020	0.953751	1.04	0.943988	1.01	8,122.75	0
Nov 05, 2020	0.911382	1.00	0.879991	0.953761	12,552.15	0
Nov 04, 2020	0.962315	0.974672	0.823395	0.911364	20,786.84	0
Nov 03, 2020	1.01	1.07	0.933895	0.962334	18,505.77	0
Nov 02, 2020	1.27	1.52	0.967607	1.01	82,810.87	0
Nov 01, 2020	0.779800	1.34	0.779598	1.27	83,587.24	0
Oct 31, 2020	0.804764	0.822564	0.759998	0.779712	4,649.34	0
Oct 30, 2020	1.03	1.03	0.774150	0.804759	9,620.23	0
Oct 29, 2020	1.20	1.21	1.03	1.03	22,297.97	0
Oct 28, 2020	1.49	1.72	1.20	1.20	45,269.47	0
Oct 27, 2020	1.58	1.72	1.48	1.49	51,984.13	0
