date	open	high	low	close	volume	market_cap
Dec 16, 2020	29.13	32.19	28.95	31.96	0	0
Dec 15, 2020	28.87	29.29	28.62	29.13	0	0
Dec 14, 2020	28.71	28.96	28.52	28.87	0	0
Dec 13, 2020	28.40	29.27	28.29	28.71	2.30	0
Dec 12, 2020	27.27	28.57	27.25	28.40	0	0
Dec 11, 2020	27.58	27.59	26.61	27.27	0	0
Dec 10, 2020	28.02	28.02	27.12	27.58	0	0
Dec 09, 2020	27.67	28.13	27.09	28.02	0	0
Dec 08, 2020	28.98	29.12	27.59	27.68	0	0
Dec 07, 2020	29.20	29.31	28.59	28.99	0	0
Dec 06, 2020	28.92	29.28	28.54	29.20	0	0
Dec 05, 2020	28.24	28.93	28.07	28.91	0	0
Dec 04, 2020	29.37	29.46	28.24	28.33	0	0
Dec 03, 2020	29.00	29.55	28.58	29.36	0	0
Dec 02, 2020	28.40	29.16	27.71	29.00	0	0
Dec 01, 2020	29.44	29.97	27.67	28.40	1,723.12	0
Nov 30, 2020	27.27	29.62	27.27	29.44	0	0
Nov 29, 2020	26.58	27.42	26.34	27.27	0	0
Nov 28, 2020	25.66	26.78	25.37	26.58	0	0
Nov 27, 2020	25.73	26.17	24.79	25.66	0	0
Nov 26, 2020	4.68	25.92	4.13	25.68	306.66	0
Nov 25, 2020	28.66	29.09	4.65	4.68	0.422111	0
Nov 24, 2020	27.55	29.02	27.19	28.63	0	0
Nov 23, 2020	27.56	28.07	27.00	27.55	0	0
Nov 22, 2020	27.96	28.03	26.51	27.56	22.03	0
Nov 21, 2020	0.189937	28.02	0.188132	27.96	0.558049	0
Nov 20, 2020	0.181734	0.191487	0.181211	0.189945	0	0
Nov 19, 2020	55.19	56.17	0.180786	0.181739	25.74	0
Nov 18, 2020	54.70	57.02	53.80	55.19	0	0
Nov 17, 2020	51.74	55.13	51.35	54.70	0.546608	0
Nov 16, 2020	49.46	52.13	49.23	51.82	0	0
Nov 15, 2020	49.81	49.98	48.96	49.46	0	0
Nov 14, 2020	50.59	50.59	48.82	49.81	0	0
Nov 13, 2020	50.46	51.04	49.58	50.59	0	0
Nov 12, 2020	48.68	50.55	48.16	50.46	0	0
Nov 11, 2020	47.40	49.34	47.40	48.68	0	0
Nov 10, 2020	18.53	47.73	18.38	47.41	3,662.12	0
Nov 09, 2020	18.70	19.07	17.96	18.53	0	0
Nov 08, 2020	17.92	18.89	17.81	18.70	0	0
Nov 07, 2020	18.81	19.01	17.43	17.92	0	0
Nov 06, 2020	18.82	19.21	18.40	18.81	0	0
Nov 05, 2020	17.08	18.98	17.04	18.82	0	0
Nov 04, 2020	16.85	17.18	16.41	17.08	0	0
Nov 03, 2020	16.37	16.90	16.10	16.85	0	0
Nov 02, 2020	16.60	16.68	16.00	16.38	0	0
Nov 01, 2020	16.65	16.75	16.47	16.57	0	0
Oct 31, 2020	16.37	16.95	16.26	16.65	0	0
Oct 30, 2020	16.24	16.49	15.87	16.39	0	0
Oct 29, 2020	16.03	16.45	15.68	16.25	0	0
Oct 28, 2020	42.33	42.90	15.85	16.03	17.63	0
Oct 27, 2020	40.53	42.66	40.49	42.28	0	0
Oct 26, 2020	40.40	41.00	39.75	40.53	0	0
Oct 25, 2020	40.64	41.32	40.02	40.38	0	0
Oct 24, 2020	40.09	40.75	39.95	40.65	0	0
Oct 23, 2020	40.20	40.35	39.53	40.08	0	0
Oct 22, 2020	39.75	40.80	39.42	40.20	0	0
Oct 21, 2020	36.94	40.87	36.89	39.75	2,619.61	0
Oct 20, 2020	36.40	37.20	36.22	36.94	4,425.91	0
Oct 19, 2020	35.60	36.58	35.37	36.40	1,453.73	0
Oct 18, 2020	35.21	35.60	35.18	35.60	9,596.46	0
Oct 17, 2020	35.10	35.30	34.99	35.21	0	0
Oct 16, 2020	35.64	35.77	34.79	35.10	8,838.30	0
Oct 15, 2020	30.06	35.79	29.73	35.64	15,477.35	0
Oct 14, 2020	30.05	30.35	29.74	30.06	0	0
Oct 13, 2020	30.39	30.39	29.77	30.05	0	0
Oct 12, 2020	29.94	30.76	29.56	30.39	0	0
Oct 11, 2020	29.71	30.05	29.69	29.94	0	0
Oct 10, 2020	29.08	30.09	29.08	29.71	0	0
Oct 09, 2020	28.71	29.20	28.52	29.10	0	0
Oct 08, 2020	28.06	28.78	27.78	28.71	0	0
Oct 07, 2020	27.89	28.09	27.78	28.06	0	0
Oct 06, 2020	28.38	28.39	27.69	27.89	0	0
Oct 05, 2020	28.06	28.38	27.97	28.38	0	0
Oct 04, 2020	27.74	28.10	27.70	28.05	0	0
Oct 03, 2020	27.81	27.87	27.64	27.74	0	0
Oct 02, 2020	32.92	33.04	27.55	27.81	16.92	0
Oct 01, 2020	33.43	33.89	32.46	32.92	0	0
Sep 30, 2020	33.62	33.63	33.08	33.43	0	0
Sep 29, 2020	33.20	33.66	33.01	33.62	2,517.12	0
Sep 28, 2020	33.40	33.93	33.18	33.20	6,460.42	0
Sep 27, 2020	33.33	33.49	32.93	33.40	7,142.83	0
Sep 26, 2020	33.15	33.40	33.07	33.33	2,956.45	0
Sep 25, 2020	33.36	33.41	32.80	33.15	7,722.28	0
Sep 24, 2020	31.97	33.39	21.84	33.36	10,013.31	0
Sep 23, 2020	32.66	32.67	32.23	32.52	5,462.13	0
Sep 22, 2020	10.45	32.76	10.38	32.66	5,485.99	0
Sep 21, 2020	10.96	10.96	10.38	10.45	4,700.01	0
