date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.026105	0.026975	0.025092	0.026912	4,684,970	26,118,504
Dec 15, 2020	0.026286	0.026691	0.025821	0.026078	4,391,396	25,308,836
Dec 14, 2020	0.026634	0.026799	0.025908	0.026279	3,678,394	25,504,005
Dec 13, 2020	0.026302	0.027396	0.025913	0.026678	3,747,110	25,891,613
Dec 12, 2020	0.024481	0.026273	0.024435	0.026273	3,395,384	25,498,799
Dec 11, 2020	0.025524	0.025549	0.023792	0.024478	4,274,584	23,755,996
Dec 10, 2020	0.026942	0.027016	0.024780	0.025545	5,282,811	24,791,989
Dec 09, 2020	0.026979	0.027302	0.024820	0.026932	4,973,925	26,138,446
Dec 08, 2020	0.029868	0.030610	0.026865	0.026961	5,926,527	26,166,072
Dec 07, 2020	0.028334	0.030512	0.028305	0.029815	7,907,026	28,936,389
Dec 06, 2020	0.029214	0.029479	0.027796	0.028453	4,686,647	27,614,034
Dec 05, 2020	0.027813	0.029788	0.027091	0.029208	6,825,633	28,347,221
Dec 04, 2020	0.030708	0.031623	0.027572	0.027835	10,153,463	27,014,016
Dec 03, 2020	0.031701	0.031710	0.029358	0.030690	9,735,364	29,785,417
Dec 02, 2020	0.027090	0.032549	0.026599	0.031739	16,658,310	30,803,316
Dec 01, 2020	0.026362	0.028347	0.025178	0.027058	7,794,175	26,260,502
Nov 30, 2020	0.026596	0.026876	0.025455	0.026259	5,649,894	25,485,354
Nov 29, 2020	0.027039	0.027218	0.026223	0.026598	3,999,318	25,813,842
Nov 28, 2020	0.025485	0.027226	0.025011	0.027044	4,330,174	26,246,913
Nov 27, 2020	0.026483	0.027354	0.024359	0.025484	5,313,455	24,732,750
Nov 26, 2020	0.029949	0.034515	0.023860	0.026439	7,479,446	25,659,516
Nov 25, 2020	0.027296	0.030426	0.026733	0.030011	7,561,238	29,125,949
Nov 24, 2020	0.026722	0.028449	0.025477	0.027247	8,351,340	26,443,885
Nov 23, 2020	0.024829	0.027668	0.024789	0.026778	11,234,242	25,988,717
Nov 22, 2020	0.025643	0.025738	0.023480	0.024829	5,023,812	24,097,085
Nov 21, 2020	0.024224	0.026310	0.023992	0.025643	6,771,301	24,887,404
Nov 20, 2020	0.024198	0.025385	0.023792	0.024225	4,528,941	23,510,504
Nov 19, 2020	0.023252	0.024370	0.022954	0.024198	3,653,751	23,484,578
Nov 18, 2020	0.024290	0.024617	0.022678	0.023252	3,929,149	22,566,062
Nov 17, 2020	0.025296	0.025467	0.023484	0.024289	5,874,647	23,573,413
Nov 16, 2020	0.025462	0.025997	0.024360	0.025037	7,334,936	24,298,559
Nov 15, 2020	0.027139	0.028016	0.024950	0.025462	6,761,024	24,711,630
Nov 14, 2020	0.028831	0.028952	0.026202	0.027138	6,285,184	26,338,003
Nov 13, 2020	0.028122	0.031390	0.025953	0.028831	18,157,147	27,980,642
Nov 12, 2020	0.028423	0.033979	0.025226	0.028120	25,416,755	27,290,845
Nov 11, 2020	0.034489	0.038649	0.027702	0.028422	28,101,483	27,584,418
Nov 10, 2020	0.028995	0.051319	0.028497	0.034489	113,873,205	33,472,624
Nov 09, 2020	0.022076	0.029134	0.021865	0.028996	20,548,380	28,141,471
Nov 08, 2020	0.019070	0.022310	0.018824	0.022076	6,117,766	21,425,216
Nov 07, 2020	0.020409	0.021002	0.018279	0.019070	4,520,873	18,507,525
Nov 06, 2020	0.017123	0.023356	0.016908	0.020409	11,137,012	19,806,919
Nov 05, 2020	0.015723	0.017996	0.015723	0.017124	3,344,054	16,618,786
Nov 04, 2020	0.015929	0.016163	0.015226	0.015723	2,281,011	15,259,663
Nov 03, 2020	0.016327	0.016505	0.015315	0.015928	2,297,377	15,458,897
Nov 02, 2020	0.017454	0.017551	0.016157	0.016327	1,870,897	15,845,804
Nov 01, 2020	0.017053	0.017499	0.017041	0.017454	1,876,690	16,939,351
Oct 31, 2020	0.016982	0.017566	0.016847	0.017053	1,929,739	16,550,410
Oct 30, 2020	0.017965	0.018880	0.016596	0.016982	3,198,455	16,481,206
Oct 29, 2020	0.018423	0.018642	0.017707	0.017965	3,065,731	17,435,096
Oct 28, 2020	0.019425	0.019802	0.018059	0.018423	3,464,429	17,879,596
Oct 27, 2020	0.019525	0.019835	0.019118	0.019425	3,083,218	18,852,051
Oct 26, 2020	0.020336	0.020479	0.019038	0.019525	2,067,970	18,949,531
Oct 25, 2020	0.020816	0.021197	0.019893	0.020336	2,513,666	19,736,116
Oct 24, 2020	0.020187	0.021012	0.020145	0.020816	2,706,748	20,202,140
Oct 23, 2020	0.020540	0.020773	0.019719	0.020187	2,881,077	19,592,199
Oct 22, 2020	0.020103	0.020994	0.019543	0.020530	3,790,881	19,924,554
Oct 21, 2020	0.019762	0.020370	0.019627	0.019962	4,639,080	19,373,737
Oct 20, 2020	0.021085	0.021098	0.019236	0.019671	4,389,118	19,091,196
Oct 19, 2020	0.020768	0.021872	0.020394	0.020975	4,119,576	20,356,592
Oct 18, 2020	0.020910	0.021531	0.020627	0.020673	2,194,498	20,063,144
Oct 17, 2020	0.021573	0.021573	0.020809	0.020910	2,271,927	20,293,841
