date	open	high	low	close	volume	market_cap
Dec 16, 2020	24.18	26.43	15.02	15.12	634,710	0
Dec 15, 2020	23.42	24.92	21.26	24.26	169,503	0
Dec 14, 2020	23.43	26.00	22.87	23.42	139,392	0
Dec 13, 2020	30.09	31.27	21.76	23.63	147,568	0
Dec 12, 2020	37.11	37.22	29.17	30.15	91,731.79	0
Dec 11, 2020	33.82	39.95	33.53	37.09	75,521.46	0
Dec 10, 2020	30.70	35.33	30.45	33.80	53,125.40	0
Dec 09, 2020	31.43	36.66	29.93	30.70	116,956	0
Dec 08, 2020	25.35	32.39	24.25	31.38	236,039	0
Dec 07, 2020	25.26	26.96	22.39	25.26	180,926	0
Dec 06, 2020	25.72	28.07	23.82	25.12	125,579	0
Dec 05, 2020	29.85	30.60	24.64	25.73	175,875	0
Dec 04, 2020	22.57	31.03	21.95	29.83	341,609	0
Dec 03, 2020	22.37	24.96	20.92	22.57	346,458	0
Dec 02, 2020	26.44	28.18	21.38	22.50	248,870	0
Dec 01, 2020	24.19	30.93	20.16	26.32	411,994	0
Nov 30, 2020	34.49	37.12	23.75	24.22	537,451	0
Nov 29, 2020	45.75	47.50	31.66	34.39	302,320	0
Nov 28, 2020	54.91	56.20	41.80	45.91	89,591.12	0
Nov 27, 2020	51.27	61.99	45.79	55.06	34,357.96	0
Nov 26, 2020	37.56	57.90	35.48	51.40	551,910	0
Nov 25, 2020	29.73	40.30	28.47	37.54	225,379	0
Nov 24, 2020	29.70	32.38	24.91	29.73	438,114	0
Nov 23, 2020	38.09	40.47	28.05	29.69	420,231	0
Nov 22, 2020	33.46	41.83	31.84	38.09	371,173	0
Nov 21, 2020	39.73	42.90	31.69	33.46	380,721	0
Nov 20, 2020	40.90	43.28	36.09	39.73	295,931	0
Nov 19, 2020	58.30	62.38	38.43	40.90	714,750	0
Nov 18, 2020	53.19	67.04	51.43	58.30	318,596	0
Nov 17, 2020	58.58	64.43	51.60	53.19	416,404	0
Nov 16, 2020	105.51	106.06	62.55	65.30	431,168	0
Nov 15, 2020	98.66	110.95	96.31	105.51	100,717	0
Nov 14, 2020	91.09	105.31	89.27	98.66	105,065	0
Nov 13, 2020	122.06	122.06	87.74	91.09	306,831	0
Nov 12, 2020	127.72	135.57	121.47	122.06	87,068.87	0
Nov 11, 2020	136.86	137.30	119.76	127.72	89,775.65	0
Nov 10, 2020	125.22	141.20	124.33	136.86	58,976.40	0
Nov 09, 2020	117.38	128.56	114.66	125.22	368,088	0
Nov 08, 2020	132.32	133.71	112.43	117.38	501,849	0
Nov 07, 2020	110.68	141.37	102.90	132.32	490,300	0
Nov 06, 2020	138.55	141.21	109.64	110.68	263,485	0
Nov 05, 2020	181.55	181.55	136.47	138.55	137,892	0
Nov 04, 2020	190.23	207.40	176.81	181.55	203,079	0
Nov 03, 2020	190.01	213.49	185.85	190.23	145,058	0
Nov 02, 2020	174.07	192.27	165.98	190.01	189,659	0
Nov 01, 2020	173.35	185.63	170.66	174.07	141,153	0
Oct 31, 2020	192.14	195.92	168.47	173.35	189,668	0
Oct 30, 2020	183.10	206.45	176.48	192.14	169,369	0
Oct 29, 2020	174.68	191.86	169.72	183.10	172,769	0
Oct 28, 2020	156.66	181.70	138.56	174.68	219,618	0
Oct 27, 2020	166.32	170.55	148.97	156.66	261,424	0
Oct 26, 2020	151.71	178.45	148.69	166.32	246,148	0
Oct 25, 2020	152.37	167.35	143.46	151.71	240,920	0
Oct 24, 2020	187.34	191.90	146.99	152.37	377,709	0
Oct 23, 2020	197.70	210.40	174.96	187.34	449,609	0
