date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002524	0.002790	0.002509	0.002772	0	2,859.19
Dec 15, 2020	0.002502	0.002538	0.002480	0.002525	0	2,603.71
Dec 14, 2020	0.003254	0.003280	0.002485	0.002502	0	2,580.46
Dec 13, 2020	0.003197	0.003295	0.003185	0.003254	0	3,355.78
Dec 12, 2020	0.003070	0.003216	0.003068	0.003197	0	3,297.00
Dec 11, 2020	0.003105	0.003106	0.002995	0.003070	0	3,165.84
Dec 10, 2020	0.003154	0.003154	0.003053	0.003105	0	3,202.02
Dec 09, 2020	0.003115	0.003166	0.003050	0.003154	0	3,252.82
Dec 08, 2020	0.003263	0.003278	0.003106	0.003114	0	3,211.88
Dec 07, 2020	0.003289	0.003300	0.003218	0.003263	0	3,365.00
Dec 06, 2020	0.003256	0.003296	0.003213	0.003288	0	3,390.49
Dec 05, 2020	0.003179	0.003257	0.003160	0.003256	0	3,358.06
Dec 04, 2020	0.003306	0.003317	0.003179	0.003179	0	3,278.83
Dec 03, 2020	0.003264	0.003326	0.003217	0.003306	0	3,409.61
Dec 02, 2020	0.003197	0.003282	0.003119	0.003264	0	3,366.66
Dec 01, 2020	0.003336	0.003374	0.003115	0.003197	0	3,296.81
Nov 30, 2020	0.003090	0.003357	0.003090	0.003337	0	3,441.09
Nov 29, 2020	0.003012	0.003108	0.002985	0.003090	0	3,187.02
Nov 28, 2020	0.002908	0.003035	0.002875	0.003012	0	3,106.32
Nov 27, 2020	0.002916	0.002966	0.001983	0.002908	0	2,999.50
Nov 26, 2020	0.002061	0.002962	0.001819	0.002915	0	3,005.89
Nov 25, 2020	0.002102	0.002133	0.002044	0.002063	0	2,127.99
Nov 24, 2020	0.002020	0.002128	0.001994	0.002100	0	2,165.57
Nov 23, 2020	0.002388	0.002432	0.001999	0.002019	0	2,081.91
Nov 22, 2020	0.002423	0.002430	0.002297	0.002388	0	2,463.03
Nov 21, 2020	0.002421	0.002462	0.002398	0.002423	0	2,499.30
Nov 20, 2020	0.002316	0.002441	0.002310	0.002421	0	2,496.64
Nov 19, 2020	0.002315	0.002356	0.002260	0.002316	0	2,388.78
Nov 18, 2020	0.002294	0.002391	0.002256	0.002314	0	2,386.74
Nov 17, 2020	0.002170	0.002312	0.002153	0.002294	0	2,365.61
Nov 16, 2020	0.002074	0.002186	0.002064	0.002173	0	2,240.95
Nov 15, 2020	0.002089	0.002096	0.002053	0.002074	0	2,139.16
Nov 14, 2020	0.002121	0.002121	0.002047	0.002089	0	2,154.13
Nov 13, 2020	0.002116	0.002140	0.002079	0.002121	0	2,187.72
Nov 12, 2020	0.002826	0.002901	0.002042	0.002116	3.60e-7	2,182.14
Nov 11, 2020	0.002599	0.002865	0.001998	0.002827	0	2,915.06
Nov 10, 2020	0.002607	0.002627	0.002571	0.002600	0	2,681.00
Nov 09, 2020	0.002632	0.002683	0.002527	0.002607	0	2,688.85
Nov 08, 2020	0.002522	0.002658	0.002507	0.002631	0	2,713.77
Nov 07, 2020	0.002646	0.002675	0.002452	0.002522	0	2,600.63
Nov 06, 2020	0.002649	0.002704	0.002589	0.002646	0	2,729.03
