date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.010975	0.011254	0.010601	0.011074	33,118.88	0
Dec 15, 2020	0.011219	0.011279	0.010974	0.010975	32,207.48	0
Dec 14, 2020	0.011244	0.011340	0.010948	0.011219	30,122.79	0
Dec 13, 2020	0.011020	0.011252	0.010737	0.011244	30,106.34	0
Dec 12, 2020	0.011020	0.011232	0.011020	0.011020	143.10	0
Dec 11, 2020	0.011345	0.011477	0.010578	0.011020	29,331.07	0
Dec 10, 2020	0.011277	0.011521	0.011083	0.011348	29,971.24	0
Dec 09, 2020	0.011347	0.011581	0.011231	0.011277	20,146.11	0
Dec 08, 2020	0.011557	0.011559	0.011305	0.011346	30,709.78	0
Dec 07, 2020	0.011567	0.011599	0.011337	0.011559	29,781.12	0
Dec 06, 2020	0.011380	0.011592	0.011380	0.011567	1,151.76	0
Dec 05, 2020	0.011380	0.011522	0.011310	0.011380	12,518.87	0
Dec 04, 2020	0.011761	0.012051	0.011377	0.011380	36,761.05	0
Dec 03, 2020	0.011921	0.011980	0.011699	0.011837	29,932.14	0
Dec 02, 2020	0.011898	0.012001	0.011675	0.011920	30,272.36	0
Dec 01, 2020	0.011839	0.012084	0.011688	0.011898	33,885.42	0
Nov 30, 2020	0.011375	0.012042	0.011352	0.011841	32,748.43	0
Nov 29, 2020	0.011652	0.011794	0.011013	0.011377	2,420.49	0
Nov 28, 2020	0.011723	0.011865	0.011368	0.011652	416.17	0
Nov 27, 2020	0.011639	0.011937	0.011446	0.011723	32,540.31	0
Nov 26, 2020	0.011884	0.011978	0.011307	0.011640	31,825.85	0
Nov 25, 2020	0.011888	0.012187	0.011782	0.011889	34,152.38	0
Nov 24, 2020	0.011774	0.012206	0.011774	0.011889	33,366.99	0
Nov 23, 2020	0.011798	0.012583	0.011702	0.011776	36,002.49	0
Nov 22, 2020	0.012057	0.012128	0.011648	0.011798	1,223.24	0
Nov 21, 2020	0.011916	0.012198	0.011704	0.012057	2,416.00	0
Nov 20, 2020	0.012066	0.012075	0.011545	0.011916	33,958.12	0
Nov 19, 2020	0.011669	0.012241	0.011497	0.012066	32,947.78	0
Nov 18, 2020	0.011696	0.012053	0.011547	0.011622	30,772.68	0
Nov 17, 2020	0.011731	0.012031	0.011664	0.011753	32,975.98	0
Nov 16, 2020	0.011892	0.012435	0.011669	0.011998	33,287.95	0
Nov 15, 2020	0.011580	0.012075	0.011298	0.011892	1,679.40	0
Nov 14, 2020	0.012004	0.012357	0.011369	0.011580	3,749.59	0
Nov 13, 2020	0.011738	0.012990	0.011524	0.012004	37,512.48	0
Nov 12, 2020	0.012151	0.012295	0.011676	0.011735	31,916.37	0
