date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000385	0.000386	0.000209	0.000297	1,103.76	0
Dec 15, 2020	0.000191	0.000447	0.000190	0.000385	336.56	0
Dec 14, 2020	0.000300	0.000311	0.000173	0.000191	907.94	0
Dec 13, 2020	0.000478	0.000478	0.000231	0.000300	255.49	0
Dec 12, 2020	0.000499	0.000501	0.000257	0.000478	520.38	0
Dec 11, 2020	0.000403	0.000579	0.000334	0.000499	703.98	0
Dec 10, 2020	0.000405	0.000484	0.000273	0.000403	14,482.41	0
Dec 09, 2020	0.000548	0.000612	0.000296	0.000405	48,143.21	0
Dec 08, 2020	0.000707	0.000740	0.000479	0.000548	37,319.71	0
Dec 07, 2020	0.000797	0.000798	0.000572	0.000707	9,986.43	0
Dec 06, 2020	0.000855	0.000864	0.000536	0.000797	24,439.92	0
Dec 05, 2020	0.000583	0.000856	0.000582	0.000855	39,421.35	0
Dec 04, 2020	0.000588	0.000647	0.000563	0.000584	47,556.24	0
Dec 03, 2020	0.000636	0.000636	0.000553	0.000588	67,333.56	0
Dec 02, 2020	0.000513	0.000755	0.000510	0.000636	57,794.85	0
Dec 01, 2020	0.000349	0.000518	0.000344	0.000513	51,120.86	0
Nov 30, 2020	0.000354	0.000428	0.000349	0.000349	14,144.98	0
Nov 29, 2020	0.000331	0.000399	0.000314	0.000354	14,594.27	0
Nov 28, 2020	0.000311	0.000331	0.000301	0.000331	37,213.58	0
Nov 27, 2020	0.000311	0.000318	0.000295	0.000311	40,676.54	0
Nov 26, 2020	0.000348	0.000348	0.000220	0.000311	11,546.90	0
Nov 25, 2020	0.000573	0.000573	0.000172	0.000348	46.82	0
