date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.007190	0.007200	0.005103	0.006331	11,726.65	91,166.18
Dec 15, 2020	0.006895	0.007455	0.006333	0.007191	10,021.02	103,432
Dec 14, 2020	0.007820	0.007824	0.006895	0.006895	6,976.05	99,073.14
Dec 13, 2020	0.006560	0.008029	0.006453	0.007820	9,558.18	112,252
Dec 12, 2020	0.003323	0.009657	0.003272	0.006560	7,365.57	94,077.81
Dec 11, 2020	0.004428	0.004787	0.001628	0.003323	9,844.96	47,403.45
Dec 10, 2020	0.005227	0.005594	0.004427	0.004428	5,851.63	63,112.69
Dec 09, 2020	0.008950	0.009061	0.005163	0.005229	8,164.05	74,444.49
Dec 08, 2020	0.010021	0.010021	0.008944	0.008952	11,044.65	127,321
Dec 07, 2020	0.004765	0.012796	0.001433	0.010022	8,064.24	142,393
Dec 06, 2020	0.015898	0.016236	0.004764	0.004765	3,323.14	67,636.83
Dec 05, 2020	0.015443	0.016073	0.015350	0.015891	290.30	225,315
Dec 04, 2020	0.015781	0.016014	0.015182	0.015490	305.32	219,408
Dec 03, 2020	0.010260	0.015841	0.009784	0.015777	307.75	223,239
Dec 02, 2020	0.012599	0.018462	0.010147	0.010262	419.88	145,056
Dec 01, 2020	0.018366	0.018597	0.012481	0.012599	329.49	177,899
Nov 30, 2020	0.017614	0.018936	0.017614	0.018368	328.13	259,082
Nov 29, 2020	0.013824	0.017633	0.013291	0.017614	299.60	248,196
Nov 28, 2020	0.009080	0.016979	0.008965	0.013824	321.69	194,584
Nov 27, 2020	0.012195	0.012265	0.007448	0.009080	406.78	127,674
Nov 26, 2020	0.017808	0.017900	0.011822	0.012182	351.70	171,115
Nov 25, 2020	0.012926	0.018590	0.011530	0.017810	332.76	249,901
Nov 24, 2020	0.025075	0.034324	0.012901	0.012927	794.95	181,199
Nov 23, 2020	0.026941	0.027276	0.021744	0.025055	666.81	350,820
Nov 22, 2020	0.022547	0.029053	0.016696	0.026943	702.88	376,861
Nov 21, 2020	0.033154	0.037087	0.013564	0.022547	966.81	315,037
Nov 20, 2020	0.031014	0.034900	0.027654	0.033155	630.50	462,779
Nov 19, 2020	0.037388	0.037860	0.028945	0.031015	784.06	432,439
Nov 18, 2020	0.030699	0.037454	0.029331	0.037385	656.76	520,708
Nov 17, 2020	0.017288	0.031079	0.016403	0.030697	683.27	427,112
Nov 16, 2020	0.030316	0.030657	0.017662	0.017709	800.51	246,150
Nov 15, 2020	0.033497	0.033971	0.026775	0.030316	708.02	420,931
Nov 14, 2020	0.022453	0.033583	0.008148	0.033496	745.20	464,582
Nov 13, 2020	0.028024	0.030499	0.022086	0.022453	879.10	311,092
Nov 12, 2020	0.029293	0.032564	0.027343	0.028032	813.54	387,974
Nov 11, 2020	0.022564	0.029723	0.022296	0.029277	735.62	404,775
Nov 10, 2020	0.021031	0.023718	0.016858	0.022565	872.70	311,637
Nov 09, 2020	0.030654	0.034792	0.020568	0.021035	1,101.25	290,195
Nov 08, 2020	0.017612	0.030688	0.015809	0.030653	888.74	422,434
Nov 07, 2020	0.028853	0.029606	0.017250	0.017612	1,031.50	242,455
Nov 06, 2020	0.037952	0.038793	0.027012	0.028853	831.50	396,779
Nov 05, 2020	0.030732	0.040546	0.030725	0.037898	979.28	518,409
Nov 04, 2020	0.038785	0.038848	0.022872	0.030721	794.21	419,774
Nov 03, 2020	0.031561	0.038811	0.029325	0.038784	914.63	529,370
Nov 02, 2020	0.033271	0.033427	0.020377	0.031559	692.35	430,297
Nov 01, 2020	0.028364	0.035152	0.028074	0.033270	888.96	453,131
Oct 31, 2020	0.040369	0.040977	0.028337	0.028364	1,036.07	385,895
Oct 30, 2020	0.034959	0.040818	0.030002	0.040368	893.23	548,609
Oct 29, 2020	0.029636	0.037023	0.029476	0.034960	769.36	474,595
Oct 28, 2020	0.032991	0.033214	0.029227	0.029637	937.77	401,895
Oct 27, 2020	0.027881	0.033233	0.027603	0.032959	1,019.04	446,467
Oct 26, 2020	0.027035	0.028514	0.022872	0.027876	995.11	377,202
Oct 25, 2020	0.039011	0.039231	0.026944	0.027025	1,229.59	365,275
Oct 24, 2020	0.029061	0.039023	0.028162	0.039022	823.53	526,861
Oct 23, 2020	0.035292	0.039750	0.027769	0.029054	2,799.36	391,854
Oct 22, 2020	0.036504	0.039078	0.031385	0.035292	954.33	474,638
Oct 21, 2020	0.025223	0.037167	0.023725	0.036504	1,139.21	490,928
Oct 20, 2020	0.030171	0.036308	0.025198	0.025223	3,521.94	339,060
Oct 19, 2020	0.033574	0.038465	0.029917	0.030171	1,673.48	405,132
Oct 18, 2020	0.027066	0.033959	0.027039	0.033574	924.27	450,329
Oct 17, 2020	0.031591	0.036375	0.027053	0.027066	1,928.42	362,630
Oct 16, 2020	0.032164	0.037360	0.030846	0.031591	2,004.93	422,800
Oct 15, 2020	0.034455	0.039998	0.031935	0.032164	3,014.00	429,991
Oct 14, 2020	0.041616	0.046829	0.033691	0.034455	1,178.25	460,116
Oct 13, 2020	0.035866	0.046223	0.033132	0.041616	3,135.13	555,124
Oct 12, 2020	0.053507	0.053764	0.030740	0.035866	4,085.99	469,585
Oct 11, 2020	0.044291	0.056233	0.044290	0.053507	1,038.52	699,519
Oct 10, 2020	0.068842	0.070052	0.035109	0.044291	1,918.83	578,380
Oct 09, 2020	0.043006	0.068849	0.042027	0.068842	6,878.30	897,972
Oct 08, 2020	0.043212	0.051645	0.042728	0.043006	3,392.98	560,329
Oct 07, 2020	0.051648	0.051686	0.031199	0.043212	2,551.77	562,624
Oct 06, 2020	0.049071	0.053290	0.039027	0.051648	2,365.11	671,698
Oct 05, 2020	0.047908	0.049071	0.045372	0.049071	2,711.85	637,450
Oct 04, 2020	0.049622	0.049704	0.044180	0.047903	2,675.96	621,578
Oct 03, 2020	0.047518	0.052974	0.047435	0.049622	2,666.67	643,149
Oct 02, 2020	0.043708	0.053501	0.041008	0.047321	3,138.92	612,620
Oct 01, 2020	0.051733	0.051882	0.039630	0.043708	3,323.80	562,664
Sep 30, 2020	0.049588	0.053264	0.049402	0.051735	3,564.02	665,238
Sep 29, 2020	0.049956	0.049989	0.046274	0.049589	3,939.97	636,916
Sep 28, 2020	0.048335	0.052079	0.045454	0.049956	8,168.39	640,897
Sep 27, 2020	0.045757	0.053264	0.044742	0.048336	2,417.29	619,394
Sep 26, 2020	0.048297	0.051779	0.045722	0.045757	2,930.09	585,677
Sep 25, 2020	0.039340	0.067858	0.035886	0.048297	3,261.87	617,471
Sep 24, 2020	0.051077	0.055693	0.035112	0.039340	5,719.05	502,369
Sep 23, 2020	0.054426	0.055004	0.049761	0.051126	2,634.58	652,132
Sep 22, 2020	0.054826	0.056297	0.051215	0.055252	2,831.02	704,338
Sep 21, 2020	0.065083	0.069603	0.045868	0.054824	4,888.84	698,068
Sep 20, 2020	0.071172	0.071173	0.063928	0.065091	5,143.00	825,485
Sep 19, 2020	0.055878	0.071417	0.055863	0.071168	4,283.00	902,557
Sep 18, 2020	0.069139	0.070638	0.054289	0.055875	15,413.11	708,604
Sep 17, 2020	0.067619	0.072978	0.067014	0.069139	5,138.75	885,093
Sep 16, 2020	0.072641	0.076925	0.065480	0.067619	7,533.62	865,545
Sep 15, 2020	0.073809	0.077482	0.071055	0.072632	8,646.95	929,020
Sep 14, 2020	0.104863	0.111240	0.062167	0.073809	4,283.83	942,606
Sep 13, 2020	0.087278	0.106012	0.044916	0.104835	5,423.36	1,327,707
Sep 12, 2020	0.079936	0.089668	0.065187	0.087255	11,146.03	1,099,446
Sep 11, 2020	0.094818	0.102268	0.064873	0.079919	25,010.62	1,005,826
Sep 10, 2020	0.102688	0.103995	0.092632	0.094832	19,711.06	1,192,182
Sep 09, 2020	0.108874	0.114906	0.090601	0.102688	21,181.43	1,289,388
Sep 08, 2020	0.078157	0.111839	0.075904	0.108851	34,548.57	1,365,209
Sep 07, 2020	0.055390	0.081247	0.055265	0.078175	23,908.51	979,316
Sep 06, 2020	0.052110	0.057318	0.051309	0.055389	16,698.49	693,037
Sep 05, 2020	0.052890	0.056427	0.048722	0.052099	18,456.97	651,079
Sep 04, 2020	0.045333	0.053047	0.044478	0.052892	7,073.27	660,204
Sep 03, 2020	0.040147	0.049951	0.039179	0.045392	21,170.66	565,944
Sep 02, 2020	0.040219	0.040815	0.032356	0.040170	16,899.79	500,243
Sep 01, 2020	0.034374	0.043343	0.034267	0.040241	10,596.31	500,529
Aug 31, 2020	0.043463	0.043871	0.034374	0.034382	10,935.83	427,138
Aug 30, 2020	0.034824	0.043492	0.029102	0.043471	8,389.70	539,421
Aug 29, 2020	0.035285	0.036971	0.030325	0.034828	12,666.37	431,599
Aug 28, 2020	0.036460	0.036495	0.030940	0.035282	17,559.44	436,745
Aug 27, 2020	0.036238	0.037656	0.031396	0.036460	13,852.22	450,802
Aug 26, 2020	0.032969	0.036654	0.031901	0.036244	10,716.45	447,600
Aug 25, 2020	0.032696	0.035566	0.029597	0.032990	14,547.69	405,005
Aug 24, 2020	0.036970	0.049865	0.029203	0.032690	6,915.97	400,840
Aug 23, 2020	0.035201	0.051119	0.032812	0.036964	7,144.54	452,708
Aug 22, 2020	0.036913	0.037185	0.032762	0.035196	7,297.63	430,535
Aug 21, 2020	0.045190	0.045222	0.030875	0.036949	5,900.43	451,424
Aug 20, 2020	0.029729	0.048482	0.018637	0.045194	11,789.87	551,492
Aug 19, 2020	0.030521	0.030771	0.020165	0.029729	1,539.00	362,335
Aug 18, 2020	0.030067	0.031370	0.029843	0.030522	1,811.65	371,553
Aug 17, 2020	0.022210	0.030219	0.017183	0.030071	1,875.33	365,616
Aug 16, 2020	0.023159	0.023184	0.016901	0.022210	2,486.61	269,711
Aug 15, 2020	0.028576	0.030792	0.023094	0.023169	1,421.39	281,009
Aug 14, 2020	0.029825	0.030089	0.020154	0.028566	1,733.30	346,057
Aug 13, 2020	0.029106	0.029953	0.027565	0.029831	1,587.57	360,937
Aug 12, 2020	0.026236	0.030498	0.025820	0.029104	1,206.27	351,707
Aug 11, 2020	0.027749	0.027815	0.025892	0.026230	1,270.65	316,587
Aug 10, 2020	0.027548	0.028431	0.020227	0.027742	1,376.00	334,429
Aug 09, 2020	0.028365	0.028717	0.027147	0.027548	1,577.19	331,688
Aug 08, 2020	0.028259	0.028576	0.027952	0.028356	1,454.90	340,993
Aug 07, 2020	0.029014	0.030035	0.027747	0.028250	1,729.69	339,297
Aug 06, 2020	0.028313	0.029407	0.027495	0.029018	1,532.24	348,099
Aug 05, 2020	0.032403	0.033009	0.027908	0.028313	1,616.34	339,219
Aug 04, 2020	0.031420	0.033314	0.027307	0.032399	2,193.05	387,703
Aug 03, 2020	0.032884	0.033293	0.030840	0.031419	2,139.54	375,512
Aug 02, 2020	0.042486	0.045677	0.032538	0.032886	1,514.60	392,556
Aug 01, 2020	0.041161	0.042683	0.039348	0.042488	2,295.91	559,071
Jul 31, 2020	0.040660	0.041722	0.038807	0.041160	2,057.75	490,103
Jul 30, 2020	0.040678	0.042109	0.030928	0.040660	2,056.67	483,547
Jul 29, 2020	0.041058	0.042686	0.030274	0.040643	2,319.35	482,727
Jul 28, 2020	0.041468	0.042311	0.032183	0.041045	2,040.50	486,909
Jul 27, 2020	0.036613	0.042617	0.036611	0.041472	2,086.35	491,361
Jul 26, 2020	0.035975	0.036738	0.031911	0.036613	2,251.52	433,250
Jul 25, 2020	0.028534	0.040364	0.028460	0.035985	6,697.85	425,292
Jul 24, 2020	0.036088	0.036242	0.028453	0.028531	2,682.06	336,772
Jul 23, 2020	0.032376	0.037869	0.032357	0.036088	1,725.56	425,436
Jul 22, 2020	0.031454	0.032519	0.029050	0.032376	2,421.43	381,190
Jul 21, 2020	0.041250	0.041935	0.027730	0.031456	2,307.39	369,896
Jul 20, 2020	0.018850	0.046558	0.018742	0.041251	3,027.05	482,076
Jul 19, 2020	0.025389	0.026785	0.016317	0.018741	1,925.34	218,744
Jul 18, 2020	0.027558	0.038545	0.024166	0.025391	3,567.64	295,976
Jul 17, 2020	0.027577	0.027723	0.021832	0.027562	1,397.58	320,884
Jul 16, 2020	0.027039	0.046201	0.023290	0.027580	2,185.77	320,683
Jul 15, 2020	0.023764	0.027315	0.023280	0.026991	1,484.02	313,436
Jul 14, 2020	0.027645	0.027769	0.022976	0.023765	1,665.47	275,626
Jul 13, 2020	0.023429	0.048409	0.019871	0.027638	2,909.64	320,135
Jul 12, 2020	0.023979	0.024096	0.023239	0.023429	1,249.36	271,035
Jul 11, 2020	0.024346	0.024411	0.023486	0.023977	1,822.42	277,019
Jul 10, 2020	0.023582	0.024375	0.022696	0.024346	1,442.03	280,916
Jul 09, 2020	0.024666	0.024828	0.023544	0.023588	1,062.25	271,828
Jul 08, 2020	0.026357	0.026475	0.024227	0.024664	1,226.14	283,848
Jul 07, 2020	0.024671	0.026515	0.023831	0.026357	1,348.61	302,944
Jul 06, 2020	0.024233	0.025546	0.023474	0.024675	1,321.91	283,246
