date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001782	0.001923	0.001712	0.001913	4,357,933	15,046,832
Dec 15, 2020	0.001750	0.001820	0.001708	0.001781	2,266,392	14,399,012
Dec 14, 2020	0.001632	0.001799	0.001609	0.001754	5,048,752	14,333,255
Dec 13, 2020	0.001629	0.001656	0.001611	0.001630	1,104,930	13,106,538
Dec 12, 2020	0.001577	0.001638	0.001556	0.001627	1,506,973	13,032,760
Dec 11, 2020	0.001599	0.001600	0.001515	0.001568	2,170,053	12,560,302
Dec 10, 2020	0.001622	0.001622	0.001563	0.001598	1,473,151	12,692,360
Dec 09, 2020	0.001642	0.001654	0.001513	0.001622	2,979,934	12,891,561
Dec 08, 2020	0.001855	0.001855	0.001637	0.001642	5,642,546	13,010,175
Dec 07, 2020	0.001638	0.001954	0.001631	0.001855	16,318,414	14,721,265
Dec 06, 2020	0.001676	0.001684	0.001607	0.001633	1,637,213	13,469,442
Dec 05, 2020	0.001620	0.001682	0.001582	0.001676	1,890,794	13,792,471
Dec 04, 2020	0.001665	0.001815	0.001599	0.001607	5,133,756	13,480,418
Dec 03, 2020	0.001720	0.001720	0.001634	0.001660	1,741,086	13,373,688
Dec 02, 2020	0.001589	0.001739	0.001574	0.001721	4,957,347	13,829,012
Dec 01, 2020	0.001554	0.001716	0.001511	0.001589	4,703,232	13,112,942
Nov 30, 2020	0.001492	0.001547	0.001464	0.001546	1,538,074	13,055,047
Nov 29, 2020	0.001489	0.001515	0.001470	0.001492	670,580	12,593,546
Nov 28, 2020	0.001464	0.001499	0.001452	0.001487	527,438	12,542,250
Nov 27, 2020	0.001481	0.001510	0.001416	0.001466	798,845	12,454,835
Nov 26, 2020	0.001643	0.001698	0.001405	0.001481	2,458,500	12,565,877
Nov 25, 2020	0.001549	0.001718	0.001528	0.001631	3,672,283	13,868,049
Nov 24, 2020	0.001507	0.001566	0.001473	0.001548	2,549,595	13,153,067
Nov 23, 2020	0.001453	0.001515	0.001436	0.001514	1,861,539	12,828,813
Nov 22, 2020	0.001460	0.001508	0.001426	0.001453	2,178,259	12,436,024
Nov 21, 2020	0.001412	0.001474	0.001388	0.001460	1,302,113	12,448,847
Nov 20, 2020	0.001357	0.001429	0.001349	0.001412	1,272,052	11,990,374
