date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.061902	0.061902	0.052955	0.057336	3,100,599	0
Dec 15, 2020	0.063151	0.064401	0.048645	0.061901	2,985,778	0
Dec 14, 2020	0.047024	0.064136	0.045531	0.063151	2,858,584	0
Dec 13, 2020	0.064485	0.067390	0.045261	0.047025	75,446.90	0
Dec 12, 2020	0.056070	0.068670	0.036905	0.064485	2,774,348	0
Dec 11, 2020	0.069540	0.070200	0.041370	0.068094	3,174,431	0
Dec 10, 2020	0.070098	0.070898	0.064442	0.069539	3,378,964	0
Dec 09, 2020	0.069684	0.071467	0.059115	0.070094	3,531,301	0
Dec 08, 2020	0.071236	0.071680	0.065270	0.069679	3,120,028	0
Dec 07, 2020	0.070671	0.072403	0.061646	0.071235	3,544,385	0
Dec 06, 2020	0.070592	0.071612	0.067460	0.070313	3,092,886	0
Dec 05, 2020	0.070999	0.071849	0.066916	0.070591	4,316,021	0
Dec 04, 2020	0.071812	0.072214	0.067741	0.071011	3,638,443	0
Dec 03, 2020	0.071496	0.072458	0.065741	0.071717	3,074,285	0
Dec 02, 2020	0.068595	0.072082	0.056960	0.071500	3,892,553	0
Dec 01, 2020	0.075083	0.076118	0.035406	0.070270	2,448,525	0
Nov 30, 2020	0.078683	0.079004	0.060125	0.075084	3,377,785	0
Nov 29, 2020	0.080649	0.083964	0.074919	0.078678	3,073,355	0
Nov 28, 2020	0.074964	0.082973	0.072371	0.080646	3,912,997	0
Nov 27, 2020	0.070536	0.075780	0.064728	0.074966	3,703,511	0
Nov 26, 2020	0.074426	0.074514	0.066950	0.070459	7,331,543	0
Nov 25, 2020	0.070336	0.077671	0.068748	0.074411	3,001,189	0
Nov 24, 2020	0.070310	0.072231	0.066321	0.070338	3,731,926	0
Nov 23, 2020	0.071913	0.072752	0.066745	0.070295	521,397	0
Nov 22, 2020	0.072003	0.073102	0.070994	0.071913	2,924,654	0
Nov 21, 2020	0.073304	0.074076	0.070645	0.072003	4,101,649	0
Nov 20, 2020	0.075419	0.075722	0.070049	0.073304	3,992,967	0
Nov 19, 2020	0.077826	0.078281	0.064617	0.075419	2,843,062	0
Nov 18, 2020	0.078792	0.079223	0.073781	0.077826	3,740,607	0
Nov 17, 2020	0.077822	0.079782	0.074490	0.078789	4,749,211	0
Nov 16, 2020	0.080154	0.080726	0.073793	0.079514	2,657,170	0
Nov 15, 2020	0.080350	0.081042	0.074374	0.080154	4,109,137	0
Nov 14, 2020	0.080985	0.081423	0.076437	0.080350	4,096,215	0
Nov 13, 2020	0.080666	0.082868	0.069526	0.080985	3,958,507	0
Nov 12, 2020	0.079314	0.081009	0.072118	0.080654	4,140,661	0
Nov 11, 2020	0.081374	0.081736	0.069588	0.079313	2,416,969	0
Nov 10, 2020	0.084875	0.085144	0.077487	0.081374	5,663,150	0
Nov 09, 2020	0.080105	0.086666	0.078059	0.084878	4,256,415	0
Nov 08, 2020	0.075495	0.082853	0.071937	0.080105	2,843,824	0
Nov 07, 2020	0.074594	0.075759	0.061639	0.075495	2,522,485	0
Nov 06, 2020	0.070085	0.075115	0.062278	0.074594	1,485,838	0
Nov 05, 2020	0.073285	0.075260	0.069363	0.070069	217,398	0
Nov 04, 2020	0.075399	0.075767	0.069754	0.073284	1,068,629	0
Nov 03, 2020	0.075763	0.076518	0.067867	0.075399	846,318	0
Nov 02, 2020	0.077328	0.077447	0.072392	0.075763	1,072,780	0
Nov 01, 2020	0.077806	0.078068	0.076654	0.077328	941,189	0
Oct 31, 2020	0.078990	0.079193	0.074635	0.077806	1,196,723	0
Oct 30, 2020	0.078059	0.079527	0.074360	0.078990	1,226,940	0
Oct 29, 2020	0.078819	0.080648	0.074004	0.078055	1,100,630	0
Oct 28, 2020	0.083111	0.083305	0.071152	0.078816	1,211,027	0
Oct 27, 2020	0.080179	0.086855	0.079422	0.083108	1,044,991	0
Oct 26, 2020	0.085633	0.085633	0.076911	0.080179	1,108,142	0
Oct 25, 2020	0.087447	0.087671	0.084064	0.085633	999,384	0
Oct 24, 2020	0.088027	0.088222	0.084963	0.087447	1,343,368	0
Oct 23, 2020	0.088005	0.089064	0.082388	0.088027	1,295,691	0
Oct 22, 2020	0.089994	0.090203	0.084047	0.088234	1,168,034	0
Oct 21, 2020	0.090023	0.090905	0.088000	0.089956	1,239,736	0
Oct 20, 2020	0.089701	0.090745	0.088207	0.089865	1,884,967	0
Oct 19, 2020	0.090664	0.091382	0.085670	0.089660	2,222,768	0
Oct 18, 2020	0.090245	0.091779	0.084528	0.090529	1,457,431	0
Oct 17, 2020	0.092931	0.093102	0.086323	0.090036	1,391,585	0
Oct 16, 2020	0.089816	0.093874	0.088995	0.092931	2,166,165	0
Oct 15, 2020	0.094876	0.095885	0.087459	0.089886	1,957,767	0
Oct 14, 2020	0.098987	0.099442	0.091458	0.094739	2,082,328	0
Oct 13, 2020	0.095413	0.100919	0.093173	0.099228	2,458,661	0
Oct 12, 2020	0.099038	0.100664	0.091332	0.093857	1,456,304	0
Oct 11, 2020	0.101364	0.101761	0.093972	0.100499	2,261,783	0
Oct 10, 2020	0.100529	0.102079	0.094253	0.101368	2,417,504	0
Oct 09, 2020	0.097597	0.101720	0.092647	0.101167	2,744,187	0
Oct 08, 2020	0.101196	0.101792	0.093184	0.097592	2,231,581	0
Oct 07, 2020	0.101981	0.102655	0.090986	0.100072	1,204,273	0
Oct 06, 2020	0.102074	0.103975	0.094706	0.102076	1,479,263	0
Oct 05, 2020	0.100881	0.102919	0.093484	0.101539	1,818,728	0
Oct 04, 2020	0.100410	0.102386	0.091939	0.100881	2,104,244	0
Oct 03, 2020	0.099233	0.101859	0.092259	0.098832	1,716,007	0
Oct 02, 2020	0.100500	0.102429	0.086331	0.099112	1,778,255	0
Oct 01, 2020	0.097284	0.105831	0.085855	0.100289	1,059,197	0
Sep 30, 2020	0.096162	0.098227	0.091403	0.097290	1,881,403	0
Sep 29, 2020	0.095206	0.096805	0.086253	0.096247	1,487,768	0
Sep 28, 2020	0.095329	0.098968	0.091053	0.095205	1,844,537	0
Sep 27, 2020	0.088355	0.098615	0.088351	0.095246	1,821,715	0
Sep 26, 2020	0.086719	0.088881	0.081602	0.087973	2,009,990	0
Sep 25, 2020	0.088853	0.089360	0.082745	0.086005	2,191,703	0
Sep 24, 2020	0.087776	0.091312	0.081678	0.088291	2,067,093	0
Sep 23, 2020	0.088269	0.093195	0.051056	0.085615	1,776,074	0
Sep 22, 2020	0.090801	0.092000	0.086302	0.089472	1,555,372	0
Sep 21, 2020	0.092502	0.094669	0.087704	0.090913	1,578,085	0
Sep 20, 2020	0.094520	0.095224	0.091411	0.092332	1,785,658	0
Sep 19, 2020	0.092970	0.094929	0.091366	0.094849	1,903,732	0
Sep 18, 2020	0.100309	0.101488	0.090153	0.093060	2,471,695	0
Sep 17, 2020	0.103158	0.105324	0.099667	0.100309	1,905,498	0
Sep 16, 2020	0.104343	0.105341	0.095558	0.103029	2,120,649	0
Sep 15, 2020	0.107435	0.108076	0.103014	0.104343	2,741,632	0
Sep 14, 2020	0.114350	0.114734	0.104148	0.107435	2,165,523	0
Sep 13, 2020	0.104827	0.114151	0.102526	0.114151	2,999,123	0
Sep 12, 2020	0.101266	0.107860	0.099986	0.104827	2,601,818	0
Sep 11, 2020	0.111491	0.113122	0.097604	0.101188	2,590,147	0
Sep 10, 2020	0.092583	0.111825	0.089274	0.111491	3,161,812	0
Sep 09, 2020	0.086292	0.095243	0.085754	0.092583	3,212,461	0
Sep 08, 2020	0.088875	0.095661	0.086259	0.086595	1,524,368	0
Sep 07, 2020	0.089932	0.097046	0.085160	0.088379	2,911,629	0
Sep 06, 2020	0.085864	0.092416	0.082627	0.090641	2,943,266	0
Sep 05, 2020	0.090283	0.091951	0.084365	0.085864	2,631,247	0
Sep 04, 2020	0.088874	0.093173	0.085148	0.090779	2,918,452	0
Sep 03, 2020	0.098431	0.098551	0.088006	0.088006	2,872,180	0
Sep 02, 2020	0.105179	0.105389	0.092785	0.098435	3,262,966	0
Sep 01, 2020	0.106152	0.106298	0.101797	0.105302	3,338,913	0
Aug 31, 2020	0.106632	0.108276	0.104410	0.106161	3,101,162	0
Aug 30, 2020	0.101695	0.112711	0.099821	0.106636	3,255,882	0
Aug 29, 2020	0.102044	0.102917	0.098746	0.101698	3,011,916	0
Aug 28, 2020	0.099096	0.103234	0.094556	0.102043	3,389,928	0
Aug 27, 2020	0.109529	0.110602	0.097560	0.099057	3,509,817	0
Aug 26, 2020	0.111483	0.111693	0.105730	0.109528	2,557,867	0
Aug 25, 2020	0.110889	0.120382	0.109733	0.111526	3,923,953	0
Aug 24, 2020	0.115257	0.115257	0.109150	0.111450	3,747,198	0
Aug 23, 2020	0.110813	0.115166	0.107307	0.114759	3,990,841	0
Aug 22, 2020	0.115945	0.115952	0.105437	0.110809	1,122,895	0
Aug 21, 2020	0.128778	0.132834	0.110348	0.112467	3,168,807	0
Aug 20, 2020	0.118222	0.130036	0.107684	0.128939	3,838,354	0
Aug 19, 2020	0.124394	0.131814	0.099936	0.118222	3,549,461	0
Aug 18, 2020	0.143801	0.148183	0.120587	0.123959	2,875,404	0
Aug 17, 2020	0.145389	0.150448	0.140017	0.143798	2,541,544	0
Aug 16, 2020	0.144787	0.151371	0.142711	0.145389	3,648,290	0
Aug 15, 2020	0.138872	0.151156	0.131648	0.144771	3,618,455	0
Aug 14, 2020	0.162634	0.162645	0.128260	0.139028	3,786,069	0
Aug 13, 2020	0.118239	0.176827	0.117569	0.162548	4,493,744	0
Aug 12, 2020	0.107029	0.126473	0.102979	0.118237	3,385,507	0
Aug 11, 2020	0.107690	0.112001	0.101510	0.107029	2,635,201	0
Aug 10, 2020	0.090103	0.109478	0.090103	0.107689	1,664,086	0
Aug 09, 2020	0.090625	0.096732	0.086950	0.090103	2,002,520	0
Aug 08, 2020	0.085784	0.098240	0.085478	0.089964	1,300,819	0
Aug 07, 2020	0.080648	0.085714	0.079561	0.085714	2,183,810	0
Aug 06, 2020	0.078791	0.082600	0.078096	0.080641	1,269,238	0
Aug 05, 2020	0.077905	0.079256	0.076824	0.078791	1,620,569	0
Aug 04, 2020	0.079556	0.080017	0.077902	0.077902	2,084,507	0
Aug 03, 2020	0.079996	0.080853	0.078452	0.079555	1,965,807	0
Aug 02, 2020	0.079172	0.080931	0.077775	0.079995	1,576,452	0
Aug 01, 2020	0.079350	0.080337	0.078173	0.079165	2,615,792	0
Jul 31, 2020	0.079835	0.081883	0.077944	0.079349	2,409,642	0
Jul 30, 2020	0.077954	0.081546	0.077491	0.079835	3,257,607	0
Jul 29, 2020	0.079627	0.083742	0.077126	0.077954	1,428,807	0
Jul 28, 2020	0.079110	0.081288	0.077861	0.079626	1,539,134	0
Jul 27, 2020	0.086318	0.086407	0.076859	0.079116	1,693,201	0
Jul 26, 2020	0.085355	0.090871	0.082980	0.086318	1,427,486	0
Jul 25, 2020	0.085393	0.085846	0.083993	0.085431	374,987	0
Jul 24, 2020	0.085545	0.087701	0.083923	0.085310	2,696,643	0
Jul 23, 2020	0.091031	0.091031	0.084806	0.085545	1,009,531	0
Jul 22, 2020	0.082270	0.097294	0.080835	0.091031	3,581,649	0
Jul 21, 2020	0.082158	0.083056	0.081281	0.082270	1,068,003	0
Jul 20, 2020	0.082532	0.082765	0.080736	0.082158	3,108,849	0
Jul 19, 2020	0.083722	0.083722	0.081574	0.082526	1,281,717	0
Jul 18, 2020	0.082713	0.084459	0.080749	0.083722	3,010,828	0
Jul 17, 2020	0.082831	0.083665	0.082055	0.082788	2,527,695	0
Jul 16, 2020	0.084001	0.085066	0.082376	0.082738	989,040	0
Jul 15, 2020	0.084330	0.087498	0.082208	0.083999	3,139,970	0
Jul 14, 2020	0.087624	0.087641	0.082093	0.084340	1,536,888	0
Jul 13, 2020	0.091539	0.093786	0.082918	0.087624	4,346,446	0
Jul 12, 2020	0.094931	0.095511	0.088220	0.091539	666,309	0
Jul 11, 2020	0.097340	0.101837	0.090757	0.094918	2,598,235	0
Jul 10, 2020	0.115130	0.115143	0.088137	0.099114	2,330,882	0
Jul 09, 2020	0.124366	0.125495	0.108786	0.115138	2,617,905	0
Jul 08, 2020	0.089887	0.125688	0.087799	0.123966	5,241,914	0
Jul 07, 2020	0.083566	0.090346	0.082715	0.089887	2,061,005	0
Jul 06, 2020	0.076242	0.091473	0.075654	0.083564	3,682,778	0
Jul 05, 2020	0.075907	0.076242	0.074321	0.076242	2,521,710	0
Jul 04, 2020	0.075740	0.077078	0.074370	0.075919	2,698,470	0
Jul 03, 2020	0.075353	0.076231	0.074071	0.075758	2,715,008	0
Jul 02, 2020	0.074861	0.077088	0.073685	0.075364	1,738,346	0
Jul 01, 2020	0.074814	0.076570	0.073877	0.074850	581,072	0
Jun 30, 2020	0.075195	0.077568	0.073383	0.074804	1,971,869	0
Jun 29, 2020	0.075742	0.076005	0.074538	0.075180	1,819,549	0
Jun 28, 2020	0.075786	0.076085	0.073493	0.075753	893,153	0
Jun 27, 2020	0.075145	0.077011	0.074623	0.075786	1,378,393	0
Jun 26, 2020	0.078826	0.079067	0.074197	0.075212	1,542,593	0
Jun 25, 2020	0.078553	0.081399	0.074347	0.078558	1,723,406	0
Jun 24, 2020	0.086390	0.087307	0.074330	0.080039	1,597,015	0
Jun 23, 2020	0.087339	0.088330	0.077267	0.086395	1,819,371	0
Jun 22, 2020	0.092149	0.100473	0.075889	0.086880	1,915,032	0
Jun 21, 2020	0.090958	0.093745	0.085134	0.090311	1,790,097	0
Jun 20, 2020	0.080425	0.093431	0.072844	0.093117	1,937,703	0
Jun 19, 2020	0.080349	0.083981	0.068016	0.080651	1,722,265	0
Jun 18, 2020	0.082840	0.085223	0.071619	0.080984	1,632,071	0
Jun 17, 2020	0.076461	0.085839	0.074032	0.083416	1,629,103	0
Jun 16, 2020	0.077825	0.087576	0.072217	0.076462	1,606,952	0
Jun 15, 2020	0.088160	0.090640	0.073190	0.077201	1,622,018	0
Jun 14, 2020	0.088708	0.093046	0.077537	0.084994	1,586,799	0
