date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.009851	0.009937	0.009000	0.009610	439,785	4,134,938
Dec 15, 2020	0.010274	0.010285	0.009794	0.009906	250,706	4,262,238
Dec 14, 2020	0.010386	0.010508	0.010063	0.010274	712,229	4,335,156
Dec 13, 2020	0.010762	0.011193	0.010231	0.010386	927,801	4,291,439
Dec 12, 2020	0.010725	0.011266	0.010561	0.010744	78,181,374	4,348,204
Dec 11, 2020	0.011661	0.011734	0.010444	0.010725	244,026,747	4,307,848
Dec 10, 2020	0.011910	0.012846	0.011330	0.011588	35,853,926	4,651,804
Dec 09, 2020	0.011143	0.011956	0.010606	0.011910	446,965	4,749,128
Dec 08, 2020	0.011865	0.012208	0.011143	0.011143	670,253	4,443,493
Dec 07, 2020	0.010915	0.013333	0.010164	0.011985	1,439,591	4,779,327
Dec 06, 2020	0.010832	0.010942	0.010721	0.010915	91,175.32	4,352,355
Dec 05, 2020	0.010665	0.010998	0.010444	0.010832	110,422	4,319,243
Dec 04, 2020	0.010803	0.010974	0.010527	0.010601	129,709	4,218,785
Dec 03, 2020	0.010533	0.010918	0.010401	0.010803	233,929	4,299,127
Dec 02, 2020	0.010403	0.010878	0.010298	0.010533	264,329	4,191,647
Dec 01, 2020	0.010811	0.010932	0.010039	0.010403	390,210	4,140,057
Nov 30, 2020	0.010769	0.011062	0.010521	0.010811	319,712	4,302,282
Nov 29, 2020	0.010868	0.011620	0.010497	0.010715	350,171	4,263,116
Nov 28, 2020	0.011104	0.011104	0.010416	0.010868	104,185	4,298,825
Nov 27, 2020	0.011396	0.011401	0.009986	0.011104	170,100	4,391,888
Nov 26, 2020	0.011278	0.011472	0.009918	0.011233	325,764	4,419,298
Nov 25, 2020	0.011236	0.012321	0.010842	0.011318	601,312	4,453,001
Nov 24, 2020	0.012109	0.012634	0.010979	0.011236	960,356	4,420,411
Nov 23, 2020	0.010583	0.016130	0.010583	0.012019	4,269,627	4,728,572
Nov 22, 2020	0.011012	0.012752	0.010035	0.010583	546,671	4,163,590
Nov 21, 2020	0.011837	0.012214	0.010860	0.011012	237,433	4,330,952
Nov 20, 2020	0.010895	0.013134	0.010420	0.011837	465,294	4,655,421
Nov 19, 2020	0.009188	0.011352	0.009032	0.010895	601,358	4,394,022
Nov 18, 2020	0.010453	0.010690	0.008788	0.009188	318,366	3,614,453
Nov 17, 2020	0.011110	0.011371	0.010146	0.010453	514,402	4,112,103
Nov 16, 2020	0.013258	0.013297	0.011566	0.012444	251,506	4,893,861
Nov 15, 2020	0.013359	0.013828	0.012735	0.013258	155,884	5,214,204
Nov 14, 2020	0.013160	0.013449	0.012845	0.013359	117,977	5,253,851
Nov 13, 2020	0.013237	0.013446	0.012694	0.013160	247,629	5,175,806
Nov 12, 2020	0.014473	0.014535	0.012524	0.013234	308,322	5,204,812
Nov 11, 2020	0.014519	0.014826	0.014214	0.014472	321,598	5,691,693
Nov 10, 2020	0.015334	0.015395	0.014232	0.014519	346,267	5,710,179
Nov 09, 2020	0.015065	0.016719	0.014619	0.015335	561,809	6,031,077
Nov 08, 2020	0.014600	0.015082	0.014146	0.015065	168,854	5,923,201
Nov 07, 2020	0.014698	0.016000	0.014431	0.014600	227,988	5,771,595
Nov 06, 2020	0.013537	0.015165	0.013530	0.014698	262,888	5,801,596
Nov 05, 2020	0.013699	0.014009	0.013296	0.013537	175,041	5,343,112
Nov 04, 2020	0.014187	0.014238	0.013276	0.013698	216,540	5,406,925
Nov 03, 2020	0.013942	0.014387	0.013385	0.014186	100,335	5,836,171
Nov 02, 2020	0.015044	0.015163	0.013556	0.013942	262,970	5,735,879
Nov 01, 2020	0.014526	0.016021	0.014253	0.015044	170,944	6,189,108
Oct 31, 2020	0.014631	0.016716	0.014165	0.014526	234,974	5,975,803
Oct 30, 2020	0.015798	0.015832	0.014252	0.014631	251,347	6,019,238
Oct 29, 2020	0.016086	0.016372	0.015227	0.015797	347,611	6,498,859
Oct 28, 2020	0.017002	0.017006	0.015017	0.016085	505,577	6,617,368
Oct 27, 2020	0.017234	0.019740	0.015749	0.017001	651,991	6,994,263
Oct 26, 2020	0.019106	0.019428	0.016468	0.017234	269,136	7,090,024
Oct 25, 2020	0.018167	0.019638	0.017981	0.019106	110,959	7,860,095
