date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002980	0.003016	0.002880	0.002884	182,224	3,460,242
Dec 15, 2020	0.003073	0.003249	0.002887	0.002980	514,145	3,575,574
Dec 14, 2020	0.002982	0.003146	0.002899	0.003074	140,565	3,688,793
Dec 13, 2020	0.002877	0.003172	0.002876	0.002982	364,239	3,578,639
Dec 12, 2020	0.002706	0.002996	0.002705	0.002874	366,611	3,448,835
Dec 11, 2020	0.002737	0.002778	0.002602	0.002712	139,479	3,254,258
Dec 10, 2020	0.002755	0.002764	0.002663	0.002735	121,009	3,281,908
Dec 09, 2020	0.002811	0.002821	0.002630	0.002754	128,724	3,304,922
Dec 08, 2020	0.002831	0.002893	0.002788	0.002810	117,304	3,371,768
Dec 07, 2020	0.002883	0.002891	0.002802	0.002834	141,100	3,400,584
Dec 06, 2020	0.002990	0.003017	0.002831	0.002883	186,271	3,459,166
Dec 05, 2020	0.002738	0.003143	0.002693	0.002990	506,820	3,588,043
Dec 04, 2020	0.002794	0.002997	0.002722	0.002740	364,594	3,288,424
Dec 03, 2020	0.002691	0.002800	0.002617	0.002794	280,391	3,353,266
Dec 02, 2020	0.002751	0.002751	0.002614	0.002687	238,084	3,224,727
Dec 01, 2020	0.002843	0.002988	0.002675	0.002752	456,502	3,301,997
Nov 30, 2020	0.002777	0.002851	0.002742	0.002842	197,406	3,410,848
Nov 29, 2020	0.002786	0.002820	0.002676	0.002781	143,723	3,337,571
Nov 28, 2020	0.002648	0.002808	0.002640	0.002783	143,272	3,339,356
Nov 27, 2020	0.002632	0.002795	0.002607	0.002649	158,278	3,178,261
Nov 26, 2020	0.002949	0.003001	0.002537	0.002628	214,786	3,154,073
Nov 25, 2020	0.003040	0.003160	0.002843	0.002943	386,794	3,531,421
Nov 24, 2020	0.002896	0.003122	0.002880	0.003040	368,797	3,648,106
Nov 23, 2020	0.002807	0.003023	0.002807	0.002900	257,142	3,479,464
Nov 22, 2020	0.002809	0.002901	0.002773	0.002807	275,634	3,367,989
Nov 21, 2020	0.002998	0.002999	0.002749	0.002809	288,347	3,370,615
Nov 20, 2020	0.002685	0.003113	0.002664	0.002998	444,890	3,597,778
Nov 19, 2020	0.002688	0.002785	0.002652	0.002685	269,808	3,221,759
Nov 18, 2020	0.002514	0.002818	0.002514	0.002688	242,936	3,225,947
Nov 17, 2020	0.002545	0.002589	0.002454	0.002514	248,268	3,016,899
Nov 16, 2020	0.002459	0.002607	0.002443	0.002576	204,940	3,091,062
Nov 15, 2020	0.002561	0.002563	0.002391	0.002459	205,395	2,950,444
Nov 14, 2020	0.002659	0.002667	0.002515	0.002560	150,347	3,072,485
Nov 13, 2020	0.002543	0.002700	0.002500	0.002659	172,156	3,190,821
Nov 12, 2020	0.002683	0.002766	0.002402	0.002543	175,477	3,051,677
Nov 11, 2020	0.002817	0.002856	0.002635	0.002683	214,843	3,219,350
Nov 10, 2020	0.002615	0.002860	0.002599	0.002817	262,430	3,380,420
Nov 09, 2020	0.002540	0.002640	0.002460	0.002615	222,079	3,138,185
Nov 08, 2020	0.002393	0.002805	0.002333	0.002541	314,778	3,048,782
Nov 07, 2020	0.002617	0.002688	0.002346	0.002394	202,032	2,872,576
Nov 06, 2020	0.002439	0.002667	0.002398	0.002617	200,502	3,139,925
Nov 05, 2020	0.002294	0.002456	0.002172	0.002439	160,112	2,926,604
Nov 04, 2020	0.002234	0.002300	0.002215	0.002294	129,486	2,753,287
Nov 03, 2020	0.002390	0.002397	0.002141	0.002234	178,490	2,681,079
Nov 02, 2020	0.002623	0.002659	0.002373	0.002390	151,032	2,868,559
Nov 01, 2020	0.002561	0.002696	0.002536	0.002623	148,300	3,147,475
Oct 31, 2020	0.002548	0.002686	0.002462	0.002561	209,653	3,073,491
Oct 30, 2020	0.002683	0.002760	0.002457	0.002548	221,595	3,057,904
Oct 29, 2020	0.002555	0.002816	0.002520	0.002683	190,300	3,219,516
Oct 28, 2020	0.002751	0.002839	0.002469	0.002555	169,564	3,066,462
Oct 27, 2020	0.002828	0.002864	0.002718	0.002751	71,837.45	3,300,734
Oct 26, 2020	0.002936	0.003070	0.002803	0.002828	233,928	3,393,247
Oct 25, 2020	0.003121	0.003133	0.002912	0.002936	169,971	3,523,302
Oct 24, 2020	0.003032	0.003201	0.002991	0.003121	164,981	3,744,982
Oct 23, 2020	0.003075	0.003195	0.002973	0.003032	141,823	3,638,520
Oct 22, 2020	0.002942	0.003078	0.002936	0.003075	166,932	3,689,444
Oct 21, 2020	0.002990	0.003283	0.002922	0.002942	233,320	3,529,891
Oct 20, 2020	0.003073	0.003121	0.002926	0.002995	155,381	3,594,129
Oct 19, 2020	0.003145	0.003247	0.003012	0.003075	180,330	3,689,564
Oct 18, 2020	0.003284	0.003288	0.003103	0.003145	187,372	3,773,429
Oct 17, 2020	0.002943	0.003312	0.002933	0.003269	204,887	3,923,268
Oct 16, 2020	0.003219	0.003332	0.002935	0.002937	214,334	3,524,787
Oct 15, 2020	0.003355	0.003532	0.003035	0.003219	251,178	3,863,103
Oct 14, 2020	0.003348	0.003674	0.003263	0.003355	407,087	4,025,655
Oct 13, 2020	0.003431	0.003905	0.003273	0.003345	1,117,628	4,013,681
Oct 12, 2020	0.002805	0.003589	0.002753	0.003472	260,652	4,165,906
Oct 11, 2020	0.002842	0.002842	0.002759	0.002805	128,453	3,366,037
Oct 10, 2020	0.002714	0.002937	0.002700	0.002842	148,097	3,409,837
Oct 09, 2020	0.002633	0.002803	0.002604	0.002714	147,767	3,256,926
Oct 08, 2020	0.002624	0.002701	0.002507	0.002633	150,221	3,159,930
Oct 07, 2020	0.002584	0.002694	0.002533	0.002624	141,653	3,148,463
Oct 06, 2020	0.002794	0.002883	0.002584	0.002584	165,155	3,101,006
Oct 05, 2020	0.002851	0.002853	0.002784	0.002794	130,927	3,353,354
Oct 04, 2020	0.002881	0.002885	0.002808	0.002851	116,760	3,421,285
Oct 03, 2020	0.002915	0.002923	0.002844	0.002881	131,658	3,457,425
Oct 02, 2020	0.002968	0.003003	0.002772	0.002915	223,492	3,497,899
Oct 01, 2020	0.003135	0.003149	0.002960	0.002968	161,162	3,561,139
Sep 30, 2020	0.003314	0.003314	0.003023	0.003136	187,039	3,763,656
Sep 29, 2020	0.003011	0.003392	0.003005	0.003314	258,458	3,976,519
Sep 28, 2020	0.003062	0.003104	0.003005	0.003011	138,038	3,613,708
Sep 27, 2020	0.003172	0.003178	0.003012	0.003058	150,662	3,669,464
Sep 26, 2020	0.003023	0.003184	0.002962	0.003172	200,489	3,806,143
Sep 25, 2020	0.003092	0.003208	0.002906	0.003023	257,477	3,627,527
Sep 24, 2020	0.003061	0.003169	0.002719	0.003092	277,029	3,710,024
Sep 23, 2020	0.003198	0.003232	0.003021	0.003070	147,619	3,683,921
Sep 22, 2020	0.003290	0.003407	0.003066	0.003197	225,230	3,836,487
Sep 21, 2020	0.003592	0.003636	0.003171	0.003290	209,211	3,947,926
Sep 20, 2020	0.003685	0.003801	0.003532	0.003589	201,424	4,307,130
