date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.013595	0.015218	0.013515	0.014921	205,749	0
Dec 15, 2020	0.013655	0.013855	0.013351	0.013598	181,731	0
Dec 14, 2020	0.013401	0.013690	0.013314	0.013656	188,697	0
Dec 13, 2020	0.013147	0.013752	0.013119	0.013400	213,183	0
Dec 12, 2020	0.012640	0.013406	0.012632	0.013327	183,159	0
Dec 11, 2020	0.012786	0.012921	0.012338	0.012813	167,469	0
Dec 10, 2020	0.012989	0.013148	0.012571	0.012785	256,346	0
Dec 09, 2020	0.012827	0.013221	0.012559	0.012988	191,980	0
Dec 08, 2020	0.013622	0.013685	0.012790	0.012826	190,611	0
Dec 07, 2020	0.013542	0.013765	0.013259	0.013623	197,787	0
Dec 06, 2020	0.013408	0.013746	0.013232	0.013538	198,945	0
Dec 05, 2020	0.013091	0.013595	0.013031	0.013408	185,477	0
Dec 04, 2020	0.013610	0.013843	0.012767	0.013093	191,826	0
Dec 03, 2020	0.013630	0.013885	0.013250	0.013612	197,953	0
Dec 02, 2020	0.013520	0.013685	0.012887	0.013443	202,801	0
Dec 01, 2020	0.014717	0.014736	0.013139	0.013521	128,938	0
Nov 30, 2020	0.013633	0.014996	0.013633	0.014718	199,173	0
Nov 29, 2020	0.013286	0.013876	0.013160	0.013633	181,535	0
Nov 28, 2020	0.013000	0.013549	0.012682	0.013286	185,727	0
Nov 27, 2020	0.013025	0.013247	0.012395	0.013000	152,576	0
Nov 26, 2020	0.014053	0.014329	0.012280	0.013008	171,765	0
Nov 25, 2020	0.014514	0.014728	0.013956	0.014054	208,892	0
Nov 24, 2020	0.013955	0.014691	0.013680	0.014499	206,072	0
Nov 23, 2020	0.013952	0.014217	0.013511	0.013958	182,594	0
Nov 22, 2020	0.014154	0.014288	0.013398	0.013953	187,420	0
Nov 21, 2020	0.014338	0.014750	0.013884	0.014153	179,551	0
Nov 20, 2020	0.013722	0.014632	0.013682	0.014339	177,631	0
Nov 19, 2020	0.014405	0.014616	0.013402	0.013707	268,668	0
Nov 18, 2020	0.014123	0.015057	0.014123	0.014404	14,019.86	0
Nov 17, 2020	0.014182	0.014916	0.013789	0.014123	214,120	0
Nov 16, 2020	0.013546	0.014418	0.013485	0.014186	131,724	0
Nov 15, 2020	0.013784	0.013828	0.013406	0.013551	123,559	0
Nov 14, 2020	0.013864	0.013985	0.013375	0.013790	128,413	0
Nov 13, 2020	0.013827	0.014129	0.013574	0.013859	145,740	0
Nov 12, 2020	0.013334	0.013994	0.013196	0.013827	142,134	0
Nov 11, 2020	0.012998	0.013646	0.012997	0.013336	135,971	0
Nov 10, 2020	0.013032	0.013270	0.012856	0.012998	122,784	0
Nov 09, 2020	0.013157	0.013476	0.012638	0.013036	123,390	0
Nov 08, 2020	0.012751	0.013399	0.012546	0.013162	121,990	0
Nov 07, 2020	0.013391	0.013529	0.012355	0.012764	113,838	0
Nov 06, 2020	0.013387	0.013622	0.012947	0.013380	119,244	0
Nov 05, 2020	0.012016	0.013432	0.011989	0.013387	125,669	0
Nov 04, 2020	0.011378	0.012196	0.011210	0.012015	206,306	0
Nov 03, 2020	0.012579	0.012626	0.011205	0.011355	52,525.43	0
Nov 02, 2020	0.012764	0.012831	0.012188	0.012587	102,613	0
Nov 01, 2020	0.012680	0.012897	0.012548	0.012764	110,817	0
Oct 31, 2020	0.012587	0.013133	0.012378	0.012680	111,451	0
Oct 30, 2020	0.012361	0.012663	0.012089	0.012587	119,367	0
Oct 29, 2020	0.012209	0.012647	0.011943	0.012362	143,534	0
Oct 28, 2020	0.012566	0.012819	0.011903	0.012210	133,113	0
Oct 27, 2020	0.012032	0.012760	0.012019	0.012552	124,944	0
Oct 26, 2020	0.011989	0.012272	0.011801	0.012030	106,481	0
Oct 25, 2020	0.011924	0.012257	0.011688	0.011989	121,870	0
Oct 24, 2020	0.011780	0.012078	0.011725	0.011924	102,969	0
Oct 23, 2020	0.012193	0.012329	0.011541	0.011776	102,560	0
Oct 22, 2020	0.012317	0.012647	0.012193	0.012193	96,048.39	0
Oct 21, 2020	0.011680	0.012775	0.011652	0.012317	108,322	0
Oct 20, 2020	0.011583	0.011833	0.011429	0.011680	103,279	0
Oct 19, 2020	0.011251	0.011645	0.011057	0.011482	104,216	0
Oct 18, 2020	0.011233	0.011348	0.011125	0.011348	107,946	0
Oct 17, 2020	0.011307	0.011444	0.011114	0.011135	92,224.20	0
Oct 16, 2020	0.011470	0.011609	0.011212	0.011307	85,556.11	0
Oct 15, 2020	0.011432	0.011574	0.011295	0.011469	88,787.98	0
Oct 14, 2020	0.011431	0.011640	0.011314	0.011535	161,141	0
Oct 13, 2020	0.011552	0.011631	0.011334	0.011431	94,483.98	0
Oct 12, 2020	0.011386	0.011780	0.011238	0.011648	98,923.54	0
Oct 11, 2020	0.011306	0.011501	0.011285	0.011386	101,491	0
Oct 10, 2020	0.011075	0.011507	0.011054	0.011306	64,458.81	0
Oct 09, 2020	0.010996	0.011186	0.010842	0.011074	95,925.04	0
Oct 08, 2020	0.010760	0.011032	0.010623	0.010923	26,926.39	0
Oct 07, 2020	0.010730	0.010842	0.010651	0.010746	82,697.39	0
Oct 06, 2020	0.010893	0.010985	0.010642	0.010719	77,161.48	0
Oct 05, 2020	0.010786	0.010962	0.010739	0.010902	93,222.73	0
Oct 04, 2020	0.010659	0.010795	0.010645	0.010778	78,383.10	0
Oct 03, 2020	0.010697	0.010717	0.010564	0.010673	84,678.64	0
Oct 02, 2020	0.010732	0.010783	0.010521	0.010677	88,782.61	0
Oct 01, 2020	0.010908	0.011091	0.010593	0.010732	84,456.30	0
Sep 30, 2020	0.011042	0.011042	0.010770	0.010894	84,879.72	0
Sep 29, 2020	0.010594	0.011045	0.010565	0.010973	72,240.16	0
Sep 28, 2020	0.010654	0.010884	0.010584	0.010594	82,931.80	0
Sep 27, 2020	0.010633	0.010768	0.010478	0.010654	84,533.35	0
Sep 26, 2020	0.010579	0.010744	0.010556	0.010633	93,258.87	0
Sep 25, 2020	0.010616	0.010725	0.010457	0.010579	85,915.35	0
Sep 24, 2020	0.010132	0.010625	0.010119	0.010616	82,702.51	0
Sep 23, 2020	0.010405	0.010479	0.010051	0.010139	78,345.80	0
Sep 22, 2020	0.010026	0.010463	0.009616	0.010408	211,715	0
Sep 21, 2020	0.010731	0.010857	0.009968	0.010118	91,986.42	0
