date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.002912	0.003219	0.002897	0.003204	67,872.39	7,236,540
Dec 15, 2020	0.002897	0.002941	0.002706	0.002910	165,384	6,568,586
Dec 14, 2020	0.003015	0.003101	0.002886	0.002897	33,142.45	6,531,204
Dec 13, 2020	0.002648	0.003028	0.002631	0.003015	17,145.28	6,793,020
Dec 12, 2020	0.002538	0.002828	0.002401	0.002648	155,692	5,961,442
Dec 11, 2020	0.002752	0.002945	0.002486	0.002538	138,309	5,707,812
Dec 10, 2020	0.002616	0.002934	0.002541	0.002752	59,476.01	6,184,346
Dec 09, 2020	0.002752	0.003004	0.002353	0.002616	285,244	5,872,715
Dec 08, 2020	0.002740	0.003085	0.002489	0.002752	438,912	6,172,937
Dec 07, 2020	0.002719	0.003094	0.002508	0.002741	105,234	6,142,838
Dec 06, 2020	0.003069	0.003203	0.002480	0.002718	325,147	6,086,982
Dec 05, 2020	0.002269	0.003148	0.002256	0.003069	618,627	6,866,756
Dec 04, 2020	0.002579	0.003041	0.002067	0.002269	388,798	5,072,357
Dec 03, 2020	0.002513	0.003202	0.002091	0.002579	70,900.19	5,761,466
Dec 02, 2020	0.002936	0.003213	0.002289	0.002513	418,413	5,608,153
Dec 01, 2020	0.002757	0.003222	0.002372	0.002936	4,278.74	6,546,966
Nov 30, 2020	0.002917	0.003208	0.002314	0.002758	415,445	6,143,887
Nov 29, 2020	0.002668	0.003265	0.002640	0.002917	227,819	6,494,307
Nov 28, 2020	0.002930	0.003188	0.002603	0.002668	310,826	5,934,262
Nov 27, 2020	0.003097	0.003202	0.002913	0.002930	88,161.58	6,511,905
Nov 26, 2020	0.003020	0.003257	0.002817	0.003093	179,438	6,867,347
Nov 25, 2020	0.003255	0.003366	0.002848	0.003020	71,910.37	6,700,297
Nov 24, 2020	0.003119	0.003444	0.002303	0.003255	335,670	7,214,800
Nov 23, 2020	0.003123	0.003478	0.002931	0.003120	347,134	6,908,654
Nov 22, 2020	0.003255	0.003313	0.002764	0.003123	544,395	6,909,632
Nov 21, 2020	0.002977	0.003260	0.002772	0.003255	10,297.26	7,196,239
Nov 20, 2020	0.003030	0.003394	0.002729	0.002977	422,898	6,576,316
Nov 19, 2020	0.003000	0.003258	0.002111	0.003026	445,116	6,678,435
Nov 18, 2020	0.003178	0.003443	0.002468	0.003000	4,833.89	6,614,687
Nov 17, 2020	0.003331	0.003409	0.002389	0.003177	470,399	6,999,921
Nov 16, 2020	0.003038	0.003352	0.003025	0.003336	104,986	7,343,250
Nov 15, 2020	0.003071	0.003186	0.002962	0.003038	125,500	6,681,565
Nov 14, 2020	0.002954	0.003250	0.002901	0.003072	107,197	6,749,674
Nov 13, 2020	0.003100	0.003378	0.002914	0.002953	247,027	6,483,653
Nov 12, 2020	0.003152	0.003349	0.003046	0.003101	81,991.51	6,800,939
Nov 11, 2020	0.003213	0.003417	0.003067	0.003153	11,946.38	6,908,769
Nov 10, 2020	0.003373	0.003538	0.003190	0.003213	160,018	7,035,927
Nov 09, 2020	0.003559	0.003579	0.002930	0.003374	382,123	7,382,057
Nov 08, 2020	0.003412	0.003596	0.003001	0.003559	652,318	7,779,709
Nov 07, 2020	0.003271	0.003464	0.003100	0.003412	101,627	7,452,207
Nov 06, 2020	0.003428	0.003498	0.003072	0.003271	376,224	7,138,357
Nov 05, 2020	0.003256	0.003455	0.002897	0.003428	290,753	7,473,109
Nov 04, 2020	0.003243	0.003398	0.002930	0.003256	80,791.36	7,090,774
Nov 03, 2020	0.003507	0.003585	0.002724	0.003235	83,118.23	7,040,355
Nov 02, 2020	0.003671	0.003671	0.003316	0.003507	462,045	7,625,680
Nov 01, 2020	0.003455	0.003687	0.001366	0.003671	307,165	7,973,097
Oct 31, 2020	0.003771	0.003832	0.003176	0.003454	35,166.92	7,496,207
Oct 30, 2020	0.003622	0.003846	0.003519	0.003771	124,709	8,177,437
Oct 29, 2020	0.003427	0.003732	0.003426	0.003622	1,370,569	7,845,623
Oct 28, 2020	0.003762	0.003928	0.003427	0.003427	1,614,750	7,416,904
Oct 27, 2020	0.003596	0.004043	0.003474	0.003762	1,109,110	8,136,672
Oct 26, 2020	0.003520	0.003832	0.003432	0.003596	1,489,918	7,769,888
Oct 25, 2020	0.003656	0.004086	0.003406	0.003520	1,541,908	7,597,874
Oct 24, 2020	0.003603	0.003765	0.003396	0.003656	1,375,678	7,884,787
Oct 23, 2020	0.003459	0.003867	0.003354	0.003603	1,505,902	7,761,856
Oct 22, 2020	0.003154	0.003805	0.002911	0.003459	940,905	7,438,916
Oct 21, 2020	0.003424	0.003790	0.003157	0.003177	1,538,213	6,832,269
Oct 20, 2020	0.003469	0.003693	0.003356	0.003553	1,911,014	7,634,222
Oct 19, 2020	0.003662	0.003680	0.003104	0.003469	1,636,902	7,448,228
Oct 18, 2020	0.003761	0.003775	0.003333	0.003662	428,122	7,855,145
Oct 17, 2020	0.003796	0.003821	0.003497	0.003761	496,655	8,061,070
Oct 16, 2020	0.003369	0.003932	0.002717	0.003743	908,533	8,014,851
Oct 15, 2020	0.003727	0.003966	0.003325	0.003369	2,255,123	7,206,307
Oct 14, 2020	0.003574	0.003851	0.003281	0.003727	1,841,840	7,966,738
Oct 13, 2020	0.003714	0.003714	0.003155	0.003574	2,225,466	7,632,262
Oct 12, 2020	0.003680	0.003735	0.003411	0.003456	1,850,016	7,374,230
Oct 11, 2020	0.003900	0.003904	0.003593	0.003668	1,892,432	7,817,747
Oct 10, 2020	0.003750	0.003912	0.003348	0.003875	1,726,522	8,251,101
Oct 09, 2020	0.003574	0.003775	0.003505	0.003750	1,627,687	7,978,317
Oct 08, 2020	0.003441	0.003578	0.003388	0.003565	1,412,486	7,577,103
Oct 07, 2020	0.003344	0.003468	0.003192	0.003441	1,252,004	7,308,521
Oct 06, 2020	0.003265	0.003491	0.003107	0.003344	2,121,242	7,095,939
Oct 05, 2020	0.003051	0.003285	0.002938	0.003265	1,139,368	6,922,353
