date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000388	0.000429	0.000386	0.000426	0	4,598.26
Dec 15, 2020	0.000385	0.000391	0.000382	0.000388	0	4,191.22
Dec 14, 2020	0.000383	0.000386	0.000380	0.000385	0	4,155.27
Dec 13, 2020	0.000376	0.000388	0.000375	0.000383	0	4,131.85
Dec 12, 2020	0.000361	0.000378	0.000361	0.000376	0	4,056.54
Dec 11, 2020	0.000365	0.000365	0.000352	0.000361	0	3,899.83
Dec 10, 2020	0.000371	0.000371	0.000359	0.000365	0	3,943.16
Dec 09, 2020	0.000366	0.000373	0.000359	0.000371	0	4,006.29
Dec 08, 2020	0.000384	0.000386	0.000365	0.000367	0	3,955.10
Dec 07, 2020	0.000387	0.000388	0.000379	0.000384	0	4,142.72
Dec 06, 2020	0.000383	0.000388	0.000378	0.000387	0	4,172.99
Dec 05, 2020	0.000374	0.000383	0.000372	0.000383	0	4,131.59
Dec 04, 2020	0.000389	0.000390	0.000374	0.000375	0	4,048.15
Dec 03, 2020	0.000384	0.000391	0.000379	0.000389	0	4,195.73
Dec 02, 2020	0.000376	0.000386	0.000367	0.000384	0	4,144.82
Dec 01, 2020	0.000393	0.000397	0.000366	0.000376	0	4,057.97
Nov 30, 2020	0.000364	0.000395	0.000364	0.000393	0	4,235.57
Nov 29, 2020	0.000354	0.000366	0.000351	0.000364	0	3,922.84
Nov 28, 2020	0.000342	0.000357	0.000338	0.000354	0	3,823.51
Nov 27, 2020	0.000343	0.000349	0.000331	0.000342	0	3,692.03
Nov 26, 2020	0.000375	0.000377	0.000327	0.000342	0	3,695.06
Nov 25, 2020	0.000382	0.000388	0.000372	0.000375	0	4,042.71
Nov 24, 2020	0.000367	0.000387	0.000363	0.000382	1.30e-7	4,123.78
Nov 23, 2020	0.000367	0.000374	0.000360	0.000367	0	3,963.75
Nov 22, 2020	0.000373	0.000374	0.000353	0.000367	0	3,964.52
Nov 21, 2020	0.000372	0.000379	0.000369	0.000373	0	4,022.90
Nov 20, 2020	0.000356	0.000375	0.000355	0.000372	0	4,018.62
Nov 19, 2020	0.000712	0.000721	0.000354	0.000356	0	3,845.02
Nov 18, 2020	0.000706	0.000736	0.000694	0.000712	0	7,683.46
Nov 17, 2020	0.000668	0.000711	0.000663	0.000706	0	7,615.41
Nov 16, 2020	0.000638	0.000673	0.000635	0.000669	0	7,214.11
Nov 15, 2020	0.000643	0.000645	0.000632	0.000638	0	6,886.42
Nov 14, 2020	0.000653	0.000653	0.000630	0.000643	0	6,934.64
Nov 13, 2020	0.000651	0.000659	0.000640	0.000653	0	7,042.76
Nov 12, 2020	0.000628	0.000652	0.000621	0.000651	0	7,024.79
Nov 11, 2020	0.000612	0.000637	0.000612	0.000628	0	6,777.50
Nov 10, 2020	0.000613	0.000618	0.000605	0.000612	0	6,599.97
Nov 09, 2020	0.000619	0.000631	0.000595	0.000613	0	6,619.31
Nov 08, 2020	0.000593	0.000625	0.000590	0.000619	0	6,683.78
Nov 07, 2020	0.000623	0.000629	0.000577	0.000594	0	6,408.84
Nov 06, 2020	0.000623	0.000636	0.000609	0.000622	0	6,712.56
Nov 05, 2020	0.000565	0.000628	0.000564	0.000623	0	6,724.33
Nov 04, 2020	0.000558	0.000569	0.000543	0.000565	0	6,099.93
Nov 03, 2020	0.000542	0.000559	0.000533	0.000557	0	6,005.60
Nov 02, 2020	0.000549	0.000552	0.000530	0.000542	0	5,851.94
Nov 01, 2020	0.000551	0.000554	0.000545	0.000548	0	5,918.15
Oct 31, 2020	0.000542	0.000561	0.000538	0.000551	0	5,947.01
Oct 30, 2020	0.000538	0.000546	0.000525	0.000542	0	5,846.58
Oct 29, 2020	0.000531	0.000544	0.000519	0.000538	0	5,804.79
Oct 28, 2020	0.000546	0.000554	0.000517	0.000531	0	5,729.07
Oct 27, 2020	0.000523	0.000550	0.000522	0.000546	0	5,886.39
Oct 26, 2020	0.000521	0.000529	0.000513	0.000523	0	5,641.96
Oct 25, 2020	0.000524	0.000533	0.000516	0.000521	0	5,621.64
Oct 24, 2020	0.000517	0.000526	0.000515	0.000525	0	5,659.34
Oct 23, 2020	0.000519	0.000521	0.000510	0.000517	0	5,579.88
Oct 22, 2020	0.000513	0.000526	0.000509	0.000519	0	5,596.07
Oct 21, 2020	0.000477	0.000527	0.000476	0.000513	0	5,534.71
Oct 20, 2020	0.000470	0.000480	0.000467	0.000477	0	5,143.07
Oct 19, 2020	0.000459	0.000472	0.000456	0.000470	0	5,067.84
Oct 18, 2020	0.000454	0.000459	0.000454	0.000459	0	4,956.20
Oct 17, 2020	0.000453	0.000455	0.000451	0.000454	0	4,902.14
Oct 16, 2020	0.000460	0.000462	0.000449	0.000453	0	4,886.61
Oct 15, 2020	0.000457	0.000463	0.000452	0.000460	0	4,961.38
Oct 14, 2020	0.000457	0.000462	0.000452	0.000457	0	4,932.96
Oct 13, 2020	0.000462	0.000462	0.000453	0.000457	0	4,931.40
Oct 12, 2020	0.000455	0.000468	0.000450	0.000462	0	4,987.27
Oct 11, 2020	0.000452	0.000457	0.000452	0.000455	0	4,913.40
Oct 10, 2020	0.000443	0.000458	0.000442	0.000452	0	4,875.49
Oct 09, 2020	0.000437	0.000444	0.000434	0.000443	0	4,775.40
Oct 08, 2020	0.000427	0.000438	0.000423	0.000437	0	4,711.16
Oct 07, 2020	0.000424	0.000427	0.000423	0.000427	0	4,604.63
Oct 06, 2020	0.000432	0.000432	0.000421	0.000424	0	4,576.79
Oct 05, 2020	0.000427	0.000432	0.000425	0.000432	0	4,658.27
Oct 04, 2020	0.000422	0.000427	0.000421	0.000427	0	4,604.47
Oct 03, 2020	0.000423	0.000424	0.000420	0.000422	0	4,553.07
Oct 02, 2020	0.000425	0.000426	0.000417	0.000423	0	4,564.57
Oct 01, 2020	0.000431	0.000437	0.000419	0.000425	0	4,583.33
Sep 30, 2020	0.000325	0.000433	0.000320	0.000431	0	4,654.75
Sep 29, 2020	0.000321	0.000326	0.000319	0.000325	0	3,510.40
Sep 28, 2020	0.000323	0.000328	0.000321	0.000321	0	3,466.70
Sep 27, 2020	0.000323	0.000324	0.000319	0.000323	0	3,488.01
Sep 26, 2020	0.000321	0.000323	0.000320	0.000323	0	3,479.99
Sep 25, 2020	0.000323	0.000323	0.000317	0.000321	0	3,461.22
Sep 24, 2020	0.000307	0.000323	0.000307	0.000323	0	3,483.02
Sep 23, 2020	0.000316	0.000316	0.000306	0.000307	0	3,316.68
Sep 22, 2020	0.000328	0.000328	0.000328	0.000328	0	3,538.74
Sep 21, 2020	0.000328	0.000328	0.000328	0.000328	0	3,538.74
Sep 20, 2020	0.000333	0.000333	0.000324	0.000328	0	3,538.74
Sep 19, 2020	0.000354	0.000354	0.000332	0.000333	1.66	3,589.37
Sep 18, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 17, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 16, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 15, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 14, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 13, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 12, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 11, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 10, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 09, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 08, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 07, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 06, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 05, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 04, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 03, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 02, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Sep 01, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 31, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 30, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 29, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 28, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 27, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 26, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 25, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 24, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 23, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 22, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 21, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 20, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 19, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 18, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 17, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 16, 2020	0.000354	0.000354	0.000354	0.000354	0	3,824.12
Aug 15, 2020	0.000353	0.000358	0.000353	0.000354	0	3,824.12
Aug 14, 2020	0.000353	0.000355	0.000350	0.000353	0.943777	3,807.79
Aug 13, 2020	0.000347	0.000354	0.000339	0.000353	0.945322	3,814.03
Aug 12, 2020	0.000228	0.000348	0.000228	0.000347	1.39	3,747.69
Aug 11, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 10, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 09, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 08, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 07, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 06, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 05, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 04, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 03, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 02, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Aug 01, 2020	0.000228	0.000228	0.000228	0.000228	0	2,456.40
Jul 31, 2020	0.000222	0.000228	0.000220	0.000228	0	2,456.40
Jul 30, 2020	0.000307	0.000307	0.000222	0.000222	1.48	2,395.62
Jul 29, 2020	0.000307	0.000307	0.000307	0.000307	0	3,310.51
Jul 28, 2020	0.000307	0.000307	0.000307	0.000307	0	3,310.51
Jul 27, 2020	0.000297	0.000308	0.000297	0.000307	0	3,310.51
Jul 26, 2020	0.000278	0.000301	0.000278	0.000297	1.98	3,206.05
Jul 25, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 24, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 23, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 22, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 21, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 20, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 19, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 18, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 17, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 16, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 15, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 14, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 13, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 12, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 11, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 10, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 09, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 08, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 07, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 06, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 05, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 04, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 03, 2020	0.000278	0.000278	0.000278	0.000278	0	3,000.63
Jul 02, 2020	0.000277	0.000278	0.000276	0.000278	0	3,000.63
Jul 01, 2020	0.000183	0.000279	0.000182	0.000277	4.38	2,984.67
Jun 30, 2020	0.000464	0.000464	0.000182	0.000183	6.85	1,969.83
Jun 29, 2020	0.000464	0.000464	0.000464	0.000464	0	5,009.64
Jun 28, 2020	0.000464	0.000464	0.000464	0.000464	0	5,009.64
Jun 27, 2020	0.000464	0.000464	0.000464	0.000464	0	5,009.64
Jun 26, 2020	0.000464	0.000464	0.000464	0.000464	0	5,009.64
Jun 25, 2020	0.000464	0.000464	0.000464	0.000464	0	5,009.64
Jun 24, 2020	0.000464	0.000464	0.000464	0.000464	0	5,009.64
