date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.058027	0.059887	0.052279	0.058684	300.30	0
Dec 15, 2020	0.081312	0.081782	0.057925	0.058025	3,873.83	0
Dec 14, 2020	0.105669	0.110835	0.081315	0.081315	1,881.60	0
Dec 13, 2020	0.125670	0.132224	0.101809	0.105667	3,102.66	0
Dec 12, 2020	0.127057	0.133953	0.121884	0.125667	1,228.75	0
Dec 11, 2020	0.171899	0.171911	0.126878	0.127054	5,459.49	0
Dec 10, 2020	0.202981	0.203209	0.161544	0.171906	3,499.87	0
Dec 09, 2020	0.216225	0.222772	0.190709	0.202976	9,983.28	0
Dec 08, 2020	0.247838	0.263401	0.215287	0.216224	4,996.23	0
Dec 07, 2020	0.236148	0.311413	0.226788	0.247843	4,513.25	0
Dec 06, 2020	0.231868	0.255563	0.216885	0.236143	3,275.40	0
Dec 05, 2020	0.250958	0.291047	0.218597	0.231871	5,327.51	0
Dec 04, 2020	0.320646	0.334554	0.241556	0.250959	7,200.97	0
Dec 03, 2020	0.280152	0.353782	0.276616	0.320647	8,597.42	0
Dec 02, 2020	0.308904	0.334251	0.279023	0.280158	8,290.12	0
Dec 01, 2020	0.295064	0.390332	0.273217	0.308900	3,336.10	0
Nov 30, 2020	0.306921	0.320388	0.259835	0.295080	19,729.57	0
Nov 29, 2020	0.315508	0.356504	0.292641	0.306919	8,748.36	0
Nov 28, 2020	0.229528	0.331229	0.221720	0.315503	15,016.30	0
Nov 27, 2020	0.325627	0.333396	0.228846	0.229520	6,894.11	0
