date	open	high	low	close	volume	market_cap
Dec 16, 2020	530.90	539.55	515.33	539.07	44,247,872	538,318,094
Dec 15, 2020	540.28	545.91	528.64	530.92	30,665,188	530,213,351
Dec 14, 2020	526.57	540.46	520.50	540.29	31,742,957	539,612,142
Dec 13, 2020	513.79	533.41	512.08	526.56	26,515,667	525,981,535
Dec 12, 2020	503.87	524.95	503.33	513.74	36,442,870	513,266,301
Dec 11, 2020	523.63	523.63	501.72	503.95	50,167,166	503,566,870
Dec 10, 2020	506.54	529.86	490.93	523.84	52,245,466	523,533,376
Dec 09, 2020	502.04	508.30	473.66	506.50	61,381,756	506,298,727
Dec 08, 2020	520.02	524.32	494.90	502.06	42,205,018	501,963,306
Dec 07, 2020	529.08	530.18	510.97	519.99	33,155,103	519,980,073
Dec 06, 2020	533.69	537.69	510.68	529.09	44,146,377	529,179,481
Dec 05, 2020	525.67	537.85	519.98	533.64	47,747,632	533,824,613
Dec 04, 2020	591.14	599.38	523.60	525.83	51,993,868	526,095,133
Dec 03, 2020	549.97	598.68	549.41	591.06	31,770,692	591,451,199
Dec 02, 2020	524.70	554.46	519.92	549.94	33,926,711	550,386,733
Dec 01, 2020	559.08	559.89	519.14	524.68	48,005,558	525,207,611
Nov 30, 2020	536.29	568.86	526.43	559.09	36,189,274	559,739,207
Nov 29, 2020	522.97	537.28	515.65	536.30	29,312,924	537,005,719
Nov 28, 2020	515.11	526.28	510.50	522.87	32,920,566	523,639,665
Nov 27, 2020	528.30	541.88	509.21	515.07	48,690,443	515,915,529
Nov 26, 2020	562.90	570.24	493.99	528.24	76,713,287	529,192,408
Nov 25, 2020	595.02	613.13	549.85	563.00	46,992,989	564,259,055
Nov 24, 2020	592.82	609.12	576.44	595.00	57,956,019	596,414,975
Nov 23, 2020	555.58	597.41	543.55	592.81	54,559,924	594,312,433
Nov 22, 2020	536.67	576.07	506.81	555.58	63,726,856	557,061,573
Nov 21, 2020	516.62	540.39	516.24	536.67	46,679,787	538,188,969
Nov 20, 2020	509.14	525.69	508.89	516.62	45,141,944	518,167,637
Nov 19, 2020	510.50	525.86	502.08	509.14	45,252,420	510,746,174
Nov 18, 2020	525.26	534.86	507.59	510.50	55,280,692	512,105,691
Nov 17, 2020	514.05	528.49	511.53	525.27	41,768,830	526,926,641
Nov 16, 2020	515.98	528.06	508.20	514.77	36,966,616	516,395,522
Nov 15, 2020	528.82	533.44	501.71	515.98	39,669,923	517,605,575
Nov 14, 2020	553.88	554.37	520.67	528.82	36,118,096	530,487,873
Nov 13, 2020	533.38	554.16	531.23	553.88	31,111,923	555,626,440
Nov 12, 2020	543.88	550.04	524.34	533.38	35,080,919	535,062,281
Nov 11, 2020	550.35	564.86	540.29	543.88	39,307,341	545,596,905
Nov 10, 2020	523.28	555.39	520.07	550.35	32,484,750	552,083,423
Nov 09, 2020	534.38	538.89	513.18	523.28	34,787,658	524,931,364
Nov 08, 2020	519.54	537.79	512.50	534.38	35,842,986	536,069,245
Nov 07, 2020	539.62	557.29	507.71	519.54	58,255,733	521,175,187
Nov 06, 2020	529.94	543.42	522.69	539.62	51,976,183	541,327,073
Nov 05, 2020	521.58	551.68	519.15	529.95	43,318,149	531,625,996
Nov 04, 2020	520.84	528.35	501.06	521.57	42,813,913	523,212,692
Nov 03, 2020	520.40	526.84	504.38	520.84	30,487,770	522,485,880
Nov 02, 2020	543.06	554.96	519.56	520.40	39,178,992	522,038,543
Nov 01, 2020	523.31	544.09	518.15	543.07	30,060,840	544,777,972
Oct 31, 2020	520.53	534.67	514.56	523.31	34,219,037	524,959,967
Oct 30, 2020	531.49	539.66	512.06	520.53	47,047,917	522,174,715
Oct 29, 2020	545.89	551.88	516.78	531.49	38,661,594	533,161,870
Oct 28, 2020	587.21	597.60	532.00	545.89	50,497,411	547,610,331
Oct 27, 2020	568.65	596.02	560.87	587.21	39,781,499	589,064,766
Oct 26, 2020	579.51	602.96	554.37	568.65	37,571,781	570,468,960
Oct 25, 2020	594.30	598.97	572.07	579.51	30,653,616	581,448,819
Oct 24, 2020	587.55	602.77	577.23	594.30	24,748,153	596,367,860
Oct 23, 2020	588.40	601.49	572.23	587.55	39,125,157	589,664,237
Oct 22, 2020	561.34	595.08	561.09	586.81	41,560,486	589,133,016
Oct 21, 2020	544.40	567.97	544.40	563.49	36,712,522	565,721,792
Oct 20, 2020	566.41	567.00	543.29	545.19	27,030,275	547,381,132
Oct 19, 2020	568.44	576.68	558.38	566.78	22,280,928	569,127,735
Oct 18, 2020	551.71	571.81	547.94	568.40	20,092,898	570,831,714
Oct 17, 2020	540.72	557.25	533.19	552.00	19,410,129	554,436,862
Oct 16, 2020	554.22	554.32	526.97	540.96	40,498,766	543,433,034
Oct 15, 2020	556.49	570.86	537.61	552.16	28,191,414	554,757,362
Oct 14, 2020	555.07	580.45	544.29	556.94	33,660,258	559,643,209
Oct 13, 2020	560.55	568.81	540.64	553.05	28,134,989	555,809,925
Oct 12, 2020	573.23	579.31	559.00	561.90	28,072,726	564,775,720
Oct 11, 2020	570.55	585.49	564.63	576.67	28,144,788	579,733,815
Oct 10, 2020	551.37	597.56	546.33	570.78	40,055,731	573,883,071
Oct 09, 2020	522.70	555.90	515.76	552.08	37,065,574	555,157,637
Oct 08, 2020	516.93	528.46	496.70	523.33	32,794,875	526,251,719
Oct 07, 2020	514.37	523.42	495.50	516.04	44,886,804	518,922,291
Oct 06, 2020	555.99	559.18	508.10	511.77	44,243,788	514,623,062
Oct 05, 2020	569.04	576.97	539.36	558.21	31,838,611	561,320,808
Oct 04, 2020	557.62	574.28	552.74	570.92	28,139,239	574,102,022
Oct 03, 2020	554.25	584.72	550.07	557.53	37,318,092	560,644,068
Oct 02, 2020	575.42	577.50	532.46	553.80	54,853,215	556,893,264
Oct 01, 2020	572.83	601.42	555.62	574.57	45,948,930	577,770,814
Sep 30, 2020	526.69	576.57	507.90	569.27	48,844,226	572,442,318
Sep 29, 2020	514.46	539.50	507.63	526.71	43,789,520	529,645,316
Sep 28, 2020	488.19	549.14	487.89	516.38	38,939,080	519,259,013
Sep 27, 2020	504.98	507.84	471.09	487.73	31,808,733	490,454,772
Sep 26, 2020	487.75	508.97	485.59	507.00	28,615,836	509,831,032
Sep 25, 2020	473.42	498.40	462.39	487.78	30,005,922	490,496,688
