date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.014911	0.016107	0.014726	0.016097	213.88	0
Dec 15, 2020	0.014826	0.015085	0.013367	0.014911	209.82	0
Dec 14, 2020	0.014918	0.014939	0.014601	0.014826	0	0
Dec 13, 2020	0.014385	0.015023	0.014284	0.014917	228.69	0
Dec 12, 2020	0.013809	0.014505	0.013795	0.014388	198.39	0
Dec 11, 2020	0.014160	0.014178	0.012440	0.013808	84.28	0
Dec 10, 2020	0.013190	0.014376	0.012645	0.014160	104.99	0
Dec 09, 2020	0.012761	0.014550	0.006806	0.013189	1,047.61	0
Dec 08, 2020	0.024857	0.024980	0.007094	0.012758	198.06	0
Dec 07, 2020	0.019863	0.025053	0.019508	0.024861	43.06	0
Dec 06, 2020	0.019688	0.020024	0.019286	0.019856	0	0
Dec 05, 2020	0.018789	0.019684	0.018583	0.019684	0	0
Dec 04, 2020	0.006537	0.019538	0.006179	0.018793	38.64	0
Dec 03, 2020	0.006343	0.006596	0.006236	0.006538	0	0
Dec 02, 2020	0.006226	0.006403	0.006135	0.006343	0	0
Dec 01, 2020	0.006517	0.006733	0.006061	0.006228	0	0
Nov 30, 2020	0.006051	0.006522	0.006007	0.006516	20.92	0
Nov 29, 2020	0.009150	0.009490	0.005789	0.006052	48.86	0
Nov 28, 2020	0.008797	0.009317	0.008638	0.009152	0	0
Nov 27, 2020	0.008820	0.009023	0.008453	0.008796	0	0
Nov 26, 2020	0.009702	0.009786	0.008253	0.008817	0	0
Nov 25, 2020	0.010266	0.010287	0.009514	0.009704	0	0
Nov 24, 2020	0.010346	0.010560	0.010095	0.010265	0	0
Nov 23, 2020	0.009487	0.010370	0.009372	0.010330	0	0
Nov 22, 2020	0.009341	0.009849	0.008747	0.009488	0	0
Nov 21, 2020	0.035677	0.036233	0.008572	0.009341	4.11	0
Nov 20, 2020	0.047163	0.049210	0.007829	0.035679	49.27	0
Nov 19, 2020	0.047948	0.048012	0.046570	0.047164	0	0
Nov 18, 2020	0.048036	0.049200	0.046583	0.047943	0	0
Nov 17, 2020	0.013932	0.048223	0.013823	0.048034	493.15	0
