date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.001359	0.001502	0.001351	0.001492	0	3,269.50
Dec 15, 2020	0.001347	0.001367	0.001336	0.001360	0	2,980.09
Dec 14, 2020	0.001340	0.001351	0.001331	0.001348	0	2,954.52
Dec 13, 2020	0.000940	0.001357	0.000937	0.001340	0.107068	2,937.87
Dec 12, 2020	0.001264	0.001318	0.000937	0.000940	0.000282	2,060.23
Dec 11, 2020	0.001461	0.001461	0.000881	0.001265	0.024181	2,772.90
Dec 10, 2020	0.002041	0.002041	0.000547	0.001462	24.88	3,204.24
Dec 09, 2020	0.002015	0.002049	0.001973	0.002042	0	4,476.36
Dec 08, 2020	0.001919	0.002022	0.001096	0.002016	0.743544	4,419.17
Dec 07, 2020	0.001934	0.001941	0.001893	0.001920	0	4,208.00
Dec 06, 2020	0.001915	0.001939	0.001890	0.001934	3.93	4,238.75
Dec 05, 2020	0.002057	0.002076	0.001139	0.001915	0.827919	4,196.70
Dec 04, 2020	0.002139	0.002146	0.001151	0.002063	4.14	4,523.14
Dec 03, 2020	0.002304	0.002332	0.001549	0.002139	3.25	4,688.03
Dec 02, 2020	0.001504	0.002308	0.001468	0.002305	0.002819	5,052.16
Dec 01, 2020	0.002748	0.002778	0.001466	0.001504	8.45	3,297.54
Nov 30, 2020	0.001818	0.002765	0.001818	0.002748	0.000825	6,023.24
Nov 29, 2020	0.001772	0.001828	0.001756	0.001818	0.000545	3,984.66
Nov 28, 2020	0.001711	0.002484	0.001692	0.001772	0.084975	3,883.76
Nov 27, 2020	0.001715	0.001745	0.001653	0.001711	0	3,750.20
Nov 26, 2020	0.001873	0.001887	0.001635	0.001712	0.000171	3,753.29
Nov 25, 2020	0.002866	0.002874	0.001858	0.001873	0.053836	4,106.42
Nov 24, 2020	0.003306	0.003428	0.002074	0.002866	0.041591	6,283.14
Nov 23, 2020	0.001653	0.003489	0.001620	0.003306	7.12	7,247.18
Nov 22, 2020	0.001864	0.002410	0.001590	0.001655	0.234150	3,628.74
Nov 21, 2020	0.002421	0.002462	0.001660	0.001864	17.37	4,086.29
Nov 20, 2020	0.001782	0.002423	0.001777	0.002421	0.585050	5,306.53
Nov 19, 2020	0.001780	0.001812	0.001738	0.001782	0.000178	3,905.61
Nov 18, 2020	0.002294	0.002391	0.001735	0.001780	0.006947	3,902.27
Nov 17, 2020	0.002170	0.002312	0.002153	0.002294	0	5,028.02
Nov 16, 2020	0.002074	0.002115	0.001455	0.001671	0.018450	3,663.90
Nov 15, 2020	0.002089	0.002091	0.001579	0.002074	0.072251	4,546.71
Nov 14, 2020	0.001958	0.002105	0.001933	0.002089	15.81	4,578.54
Nov 13, 2020	0.001953	0.001976	0.001919	0.001958	0	4,292.24
Nov 12, 2020	0.002041	0.002095	0.001885	0.001953	0.000586	4,281.29
Nov 11, 2020	0.001529	0.002062	0.001529	0.002041	103.97	4,474.79
Nov 10, 2020	0.001993	0.001994	0.001529	0.001529	3.13	3,351.99
Nov 09, 2020	0.002012	0.002024	0.001635	0.001994	2.14	4,370.35
Nov 08, 2020	0.001928	0.002033	0.001917	0.002012	0	4,410.84
Nov 07, 2020	0.002024	0.002046	0.001875	0.001928	0	4,226.96
Nov 06, 2020	0.001870	0.002365	0.001827	0.002024	0.540092	4,435.65
Nov 05, 2020	0.002261	0.002393	0.001776	0.001867	0.000187	4,092.02
Nov 04, 2020	0.002232	0.002275	0.002173	0.002260	0	4,954.76
Nov 03, 2020	0.002168	0.002238	0.002132	0.002232	0	4,892.49
Nov 02, 2020	0.002335	0.002347	0.001613	0.002168	32.71	4,752.17
Nov 01, 2020	0.002481	0.002495	0.001640	0.002331	39.62	5,109.70
Oct 31, 2020	0.002303	0.002485	0.001786	0.002480	3.76	5,436.65
Oct 30, 2020	0.002284	0.002317	0.001724	0.002307	45.06	5,055.88
Oct 29, 2020	0.001725	0.002373	0.001687	0.002286	5.43	5,011.82
Oct 28, 2020	0.001639	0.001729	0.001552	0.001726	3.80	3,782.57
Oct 27, 2020	0.001961	0.002060	0.001635	0.001639	0.000491	3,591.67
Oct 26, 2020	0.001694	0.001984	0.001688	0.001961	0.009750	4,298.96
Oct 25, 2020	0.001704	0.001733	0.001678	0.001694	0	3,713.41
Oct 24, 2020	0.001940	0.001950	0.001550	0.001704	0.000655	3,735.30
Oct 23, 2020	0.001426	0.001945	0.001413	0.001940	1.14	4,252.03
Oct 22, 2020	0.001411	0.001448	0.001399	0.001426	0	3,126.33
Oct 21, 2020	0.001787	0.001928	0.001408	0.001411	2.14	3,092.05
Oct 20, 2020	0.001761	0.001792	0.001522	0.001787	1.89	3,918.08
Oct 19, 2020	0.001493	0.001765	0.001483	0.001761	0.035179	3,860.77
Oct 18, 2020	0.001704	0.001718	0.001482	0.001493	0.870542	3,272.29
