date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000585	0.000632	0.000416	0.000553	85.83	0
Dec 15, 2020	0.000400	0.000751	0.000390	0.000585	60.95	0
Dec 14, 2020	0.000387	0.000401	0.000385	0.000400	35.47	0
Dec 13, 2020	0.000546	0.000552	0.000384	0.000387	31.99	0
Dec 12, 2020	0.000416	0.000568	0.000416	0.000546	57.30	0
Dec 11, 2020	0.000368	0.000473	0.000338	0.000416	31.20	0
Dec 10, 2020	0.000447	0.000657	0.000353	0.000368	216.02	0
Dec 09, 2020	0.000391	0.000637	0.000374	0.000448	69.41	0
Dec 08, 2020	0.000428	0.000433	0.000390	0.000391	166.80	0
Dec 07, 2020	0.000394	0.000448	0.000222	0.000428	168.35	0
Dec 06, 2020	0.000394	0.000412	0.000388	0.000394	101.22	0
Dec 05, 2020	0.000384	0.000394	0.000382	0.000394	100.60	0
Dec 04, 2020	0.000717	0.000719	0.000383	0.000384	117.93	0
Dec 03, 2020	0.000385	0.000718	0.000379	0.000717	253.37	0
Dec 02, 2020	0.000413	0.000946	0.000190	0.000385	1,170.81	0
Dec 01, 2020	0.000396	0.000419	0.000377	0.000413	30.28	0
Nov 30, 2020	0.000386	0.000406	0.000383	0.000396	52.85	0
Nov 29, 2020	0.000360	0.000452	0.000357	0.000386	31.11	0
Nov 28, 2020	0.000344	0.000362	0.000341	0.000360	550.98	0
Nov 27, 2020	0.000721	0.000748	0.000335	0.000344	526.02	0
Nov 26, 2020	0.000766	0.000770	0.000641	0.000720	53.44	0
Nov 25, 2020	0.000799	0.000839	0.000561	0.000766	76.64	0
Nov 24, 2020	0.001097	0.001104	0.000552	0.000800	950.78	0
Nov 23, 2020	0.000550	0.001101	0.000539	0.001097	1,661.78	0
Nov 22, 2020	0.000563	0.000740	0.000539	0.000551	612.86	0
Nov 21, 2020	0.000381	0.000743	0.000376	0.000563	236.87	0
Nov 20, 2020	0.000531	0.000559	0.000381	0.000381	202.93	0
Nov 19, 2020	0.000667	0.000680	0.000393	0.000531	9.49	0
Nov 18, 2020	0.000696	0.000724	0.000608	0.000667	303.71	0
Nov 17, 2020	0.000641	0.000697	0.000637	0.000696	317.75	0
Nov 16, 2020	0.000606	0.000645	0.000603	0.000641	293.71	0
Nov 15, 2020	0.000481	0.000622	0.000476	0.000606	276.27	0
Nov 14, 2020	0.000580	0.000589	0.000473	0.000482	571.47	0
Nov 13, 2020	0.000486	0.000603	0.000485	0.000580	1,531.47	0
Nov 12, 2020	0.000504	0.000677	0.000465	0.000486	2,506.14	0
Nov 11, 2020	0.000394	0.000685	0.000394	0.000504	2,201.08	0
Nov 10, 2020	0.000648	0.000662	0.000329	0.000394	2,403.86	0
Nov 09, 2020	0.000710	0.000710	0.000645	0.000648	1,233.20	0
Nov 08, 2020	0.000566	0.000710	0.000566	0.000710	1,074.18	0
Nov 07, 2020	0.000654	0.000695	0.000551	0.000567	1,604.18	0
Nov 06, 2020	0.000664	0.000702	0.000630	0.000654	1,348.43	0
Nov 05, 2020	0.000622	0.000693	0.000604	0.000664	1,288.36	0
Nov 04, 2020	0.000597	0.000692	0.000588	0.000622	1,274.71	0
Nov 03, 2020	0.000595	0.000597	0.000592	0.000597	1,370.39	0
Nov 02, 2020	0.000701	0.000703	0.000592	0.000595	1,373.16	0
Nov 01, 2020	0.000704	0.000706	0.000633	0.000701	1,220.07	0
Oct 31, 2020	0.000697	0.000705	0.000531	0.000704	1,150.87	0
Oct 30, 2020	0.000695	0.000699	0.000529	0.000697	1,099.07	0
Oct 29, 2020	0.000432	0.000697	0.000422	0.000695	957.95	0
Oct 28, 2020	0.000534	0.000536	0.000431	0.000432	849.44	0
Oct 27, 2020	0.000623	0.000709	0.000533	0.000534	1,121.94	0
Oct 26, 2020	0.000530	0.000627	0.000474	0.000623	1,536.10	0
Oct 25, 2020	0.000531	0.000532	0.000529	0.000530	1,170.23	0
Oct 24, 2020	0.000531	0.000531	0.000531	0.000531	637.49	0
Oct 23, 2020	0.000526	0.000532	0.000525	0.000531	1,348.86	0
Oct 22, 2020	0.000528	0.000622	0.000525	0.000526	904.96	0
Oct 21, 2020	0.000604	0.000622	0.000511	0.000528	854.90	0
Oct 20, 2020	0.000599	0.000607	0.000598	0.000604	1,165.01	0
Oct 19, 2020	0.000590	0.000599	0.000584	0.000599	1,599.27	0
Oct 18, 2020	0.000598	0.000601	0.000587	0.000590	2,250.80	0
