date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.054779	0.056147	0.054539	0.055913	0	3,492,495
Dec 15, 2020	0.054656	0.058220	0.054528	0.054781	0	3,421,820
Dec 14, 2020	0.029501	0.063423	0.028873	0.054655	0	3,413,943
Dec 13, 2020	0.073251	0.074724	0.029460	0.029499	0.058134	1,842,575
Dec 12, 2020	0.071920	0.073533	0.071884	0.073259	0	4,576,012
Dec 11, 2020	0.060915	0.072429	0.056797	0.071917	0	4,492,186
Dec 10, 2020	0.070027	0.070320	0.055298	0.060911	7,897.65	3,804,730
Dec 09, 2020	0.072379	0.072383	0.060104	0.070030	5,762.51	4,374,286
Dec 08, 2020	0.070140	0.073634	0.070022	0.072381	7,916.96	4,521,155
Dec 07, 2020	0.071586	0.073826	0.070026	0.070137	7,290.38	4,380,963
Dec 06, 2020	0.072740	0.076945	0.071278	0.071585	11,840.26	4,471,425
Dec 05, 2020	0.071217	0.075608	0.070735	0.072740	14,740.29	4,543,569
Dec 04, 2020	0.075363	0.075870	0.070727	0.071218	17,518.63	4,448,483
Dec 03, 2020	0.076617	0.077221	0.075044	0.075363	16,958.18	4,707,427
Dec 02, 2020	0.076051	0.077755	0.075105	0.076615	16,841.69	4,785,619
Dec 01, 2020	0.076785	0.077433	0.073940	0.076048	15,575.98	4,750,198
Nov 30, 2020	0.077769	0.077966	0.074155	0.076786	17,003.17	4,796,284
Nov 29, 2020	0.075605	0.078180	0.074111	0.077770	15,336.62	4,857,753
Nov 28, 2020	0.051362	0.082019	0.050128	0.075604	17,816.01	4,722,478
Nov 27, 2020	0.054457	0.060202	0.050287	0.051361	20,488.88	3,208,180
Nov 26, 2020	0.075444	0.075444	0.021876	0.054451	22,140.24	3,401,175
Nov 25, 2020	0.083927	0.085486	0.074169	0.075447	19,278.62	4,712,654
Nov 24, 2020	0.083395	0.088413	0.081578	0.083925	25,557.33	5,242,227
Nov 23, 2020	0.081252	0.084863	0.079584	0.083371	21,428.00	5,207,600
Nov 22, 2020	0.081564	0.083079	0.078849	0.081253	21,555.61	5,075,355
Nov 21, 2020	0.079430	0.082029	0.077734	0.081564	16,736.83	5,094,740
Nov 20, 2020	0.077660	0.080538	0.076568	0.079430	20,659.34	4,961,486
Nov 19, 2020	0.078392	0.078545	0.075669	0.077660	20,493.37	4,850,926
Nov 18, 2020	0.077227	0.079315	0.075310	0.078390	20,846.15	4,896,526
Nov 17, 2020	0.079043	0.080441	0.072314	0.077227	18,609.86	4,823,833
Nov 16, 2020	0.077439	0.081994	0.076810	0.078130	20,494.51	4,880,268
Nov 15, 2020	0.078097	0.078591	0.077357	0.077439	20,511.55	4,837,072
Nov 14, 2020	0.079064	0.080210	0.077641	0.078096	21,534.48	4,878,138
Nov 13, 2020	0.080543	0.081349	0.078598	0.079064	22,046.41	4,938,581
Nov 12, 2020	0.077336	0.082016	0.076417	0.080543	29,886.65	5,030,999
Nov 11, 2020	0.079727	0.082046	0.076453	0.077336	17,634.85	4,830,675
Nov 10, 2020	0.077569	0.082114	0.076158	0.079728	23,763.82	4,980,079
Nov 09, 2020	0.080512	0.081244	0.077019	0.077570	20,558.60	4,845,269
Nov 08, 2020	0.079595	0.081226	0.078602	0.080512	24,231.06	5,029,036
Nov 07, 2020	0.081911	0.082719	0.079138	0.079602	22,370.55	4,972,223
Nov 06, 2020	0.077007	0.082501	0.076595	0.081911	26,340.22	5,116,448
Nov 05, 2020	0.076444	0.077681	0.075452	0.077007	20,264.71	4,810,115
Nov 04, 2020	0.076603	0.077190	0.075901	0.076444	18,990.15	4,774,952
Nov 03, 2020	0.076348	0.077537	0.075661	0.076603	21,695.01	4,784,872
Nov 02, 2020	0.069827	0.077803	0.067019	0.076347	23,046.29	4,768,905
Nov 01, 2020	0.077001	0.078013	0.069467	0.069826	7,125.68	4,361,575
