date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.009024	0.009203	0.007551	0.008016	70,566.45	1,075,221
Dec 15, 2020	0.011353	0.011401	0.006840	0.009025	65,938.11	1,210,604
Dec 14, 2020	0.011007	0.011463	0.009138	0.009823	53,993.32	1,317,685
Dec 13, 2020	0.008874	0.011018	0.008759	0.009177	52,997.87	1,230,948
Dec 12, 2020	0.009219	0.010867	0.008203	0.010867	82,448.51	1,457,683
Dec 11, 2020	0.007811	0.010959	0.007392	0.009218	76,346.25	1,236,532
Dec 10, 2020	0.008160	0.010403	0.007627	0.007811	88,290.11	1,047,746
Dec 09, 2020	0.008371	0.009451	0.008050	0.008165	56,691.46	1,095,199
Dec 08, 2020	0.009782	0.011863	0.008374	0.008374	79,460.93	1,123,272
Dec 07, 2020	0.009697	0.009831	0.009640	0.009784	46,077.98	1,312,394
Dec 06, 2020	0.009648	0.013864	0.009607	0.009696	46,405.82	1,300,622
Dec 05, 2020	0.013401	0.015762	0.008136	0.009648	14,479.55	1,294,206
Dec 04, 2020	0.011023	0.014771	0.007320	0.013442	45,094.62	1,803,036
Dec 03, 2020	0.010741	0.011025	0.005990	0.007975	63,052.10	1,069,725
Dec 02, 2020	0.010941	0.011120	0.007256	0.007893	70,103.02	1,058,805
Dec 01, 2020	0.012528	0.012533	0.006607	0.007799	62,190.19	1,046,074
Nov 30, 2020	0.012140	0.012540	0.009223	0.009981	57,192.48	1,338,774
Nov 29, 2020	0.011423	0.012699	0.008276	0.009223	54,784.07	1,237,182
Nov 28, 2020	0.008584	0.013270	0.007763	0.008336	59,041.17	1,118,115
Nov 27, 2020	0.010510	0.011762	0.007042	0.011758	73,017.26	1,577,186
Nov 26, 2020	0.012514	0.013624	0.007191	0.007214	62,101.32	967,654
Nov 25, 2020	0.013154	0.013265	0.008900	0.009775	53,308.24	1,311,141
Nov 24, 2020	0.012352	0.013344	0.009279	0.013155	92,126.36	1,764,544
Nov 23, 2020	0.012670	0.015600	0.009143	0.012350	99,519.62	1,656,637
Nov 22, 2020	0.012030	0.013227	0.009595	0.009911	50,799.52	1,329,417
Nov 21, 2020	0.011018	0.012188	0.009359	0.009684	70,490.58	1,298,938
Nov 20, 2020	0.012409	0.012835	0.010031	0.011019	199,796	1,478,009
Nov 19, 2020	0.009235	0.012733	0.009167	0.012409	164,893	1,664,475
Nov 18, 2020	0.008507	0.011618	0.008409	0.009235	41,159.44	1,238,739
Nov 17, 2020	0.010066	0.010883	0.008501	0.008507	60,215.37	1,141,098
Nov 16, 2020	0.010872	0.012571	0.008874	0.008931	61,936.00	1,197,918
Nov 15, 2020	0.014076	0.014080	0.010304	0.010872	119,884	1,458,322
Nov 14, 2020	0.013394	0.014086	0.012865	0.014076	84,543.05	1,888,073
Nov 13, 2020	0.013582	0.015038	0.013384	0.013394	88,023.22	1,796,685
Nov 12, 2020	0.012664	0.013583	0.012324	0.013582	88,498.87	1,821,877
Nov 11, 2020	0.010866	0.012926	0.010793	0.012665	98,639.34	1,698,891
Nov 10, 2020	0.010623	0.010998	0.010533	0.010867	37,246.11	1,457,636
Nov 09, 2020	0.009202	0.010720	0.009130	0.010622	43,272.59	1,424,756
Nov 08, 2020	0.009212	0.014199	0.009140	0.009204	37,738.37	1,234,618
Nov 07, 2020	0.009306	0.009435	0.009053	0.009218	37,556.77	1,236,542
Nov 06, 2020	0.009320	0.009460	0.009033	0.009301	38,326.93	1,247,582
Nov 05, 2020	0.011769	0.016375	0.008256	0.009320	39,799.25	1,250,217
Nov 04, 2020	0.010866	0.012097	0.010819	0.011768	33,837.18	1,578,491
Nov 03, 2020	0.010874	0.011926	0.010744	0.010870	24,617.95	1,458,068
Nov 02, 2020	0.010966	0.010991	0.010868	0.010874	112,442	1,458,673
Nov 01, 2020	0.010998	0.011004	0.010954	0.010966	146,441	1,470,977
Oct 31, 2020	0.012418	0.012528	0.010998	0.010998	114,246	1,475,263
Oct 30, 2020	0.011047	0.012799	0.010949	0.012418	153,652	1,665,735
Oct 29, 2020	0.011102	0.011102	0.011026	0.011052	114,306	1,482,527
Oct 28, 2020	0.011792	0.012822	0.011062	0.011102	97,800.84	1,489,169
Oct 27, 2020	0.011620	0.011963	0.011520	0.011783	34,891.83	1,580,569
Oct 26, 2020	0.011530	0.011626	0.011314	0.011618	35,456.41	1,558,454
Oct 25, 2020	0.011517	0.011614	0.011428	0.011527	34,480.33	1,546,213
Oct 24, 2020	0.011406	0.017408	0.011380	0.011519	33,404.04	1,545,165
Oct 23, 2020	0.011488	0.011505	0.011131	0.011404	35,009.64	1,529,667
Oct 22, 2020	0.010670	0.011657	0.010608	0.011488	34,298.83	1,540,931
Oct 21, 2020	0.010001	0.010857	0.009991	0.010669	34,787.99	1,431,169
Oct 20, 2020	0.009784	0.010035	0.009685	0.010000	81,360.09	1,341,367
Oct 19, 2020	0.009628	0.009802	0.009587	0.009786	105,384	1,312,667
Oct 18, 2020	0.009131	0.009632	0.009112	0.009628	111,801	1,291,453
Oct 17, 2020	0.009438	0.009612	0.009068	0.009131	108,769	1,224,868
