date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.004252	0.004858	0.004231	0.004836	936.26	687,746
Dec 15, 2020	0.004358	0.004443	0.004186	0.004252	1,061.07	604,799
Dec 14, 2020	0.004063	0.004367	0.004043	0.004358	949.58	619,804
Dec 13, 2020	0.004290	0.004307	0.004038	0.004063	1,190.29	577,847
Dec 12, 2020	0.003798	0.004309	0.003796	0.004290	931.00	610,171
Dec 11, 2020	0.004152	0.004154	0.003780	0.003798	1,130.20	540,163
Dec 10, 2020	0.003921	0.004177	0.003789	0.004152	947.71	590,525
Dec 09, 2020	0.004258	0.004263	0.003860	0.003921	1,221.21	557,603
Dec 08, 2020	0.004213	0.004355	0.004088	0.004258	891.24	605,545
Dec 07, 2020	0.004321	0.004482	0.004159	0.004213	1,058.21	599,173
Dec 06, 2020	0.003979	0.004329	0.003885	0.004320	998.26	614,444
Dec 05, 2020	0.004171	0.004405	0.003955	0.003979	1,187.14	565,924
Dec 04, 2020	0.004119	0.004246	0.003964	0.004172	966.51	593,293
Dec 03, 2020	0.003887	0.004121	0.003293	0.004119	1,108.35	585,851
Dec 02, 2020	0.004276	0.004298	0.003881	0.003888	1,283.60	552,895
Dec 01, 2020	0.004111	0.004340	0.004064	0.004276	903.76	608,174
Nov 30, 2020	0.003849	0.004257	0.003742	0.004111	1,133.07	584,709
Nov 29, 2020	0.003781	0.003882	0.003663	0.003849	1,093.11	547,447
Nov 28, 2020	0.004156	0.004189	0.003780	0.003781	1,066.51	537,774
Nov 27, 2020	0.003763	0.004161	0.003752	0.004157	780.11	591,155
Nov 26, 2020	0.004458	0.004480	0.003736	0.003762	936.86	535,069
Nov 25, 2020	0.004028	0.004516	0.003960	0.004462	816.37	634,577
Nov 24, 2020	0.004070	0.004472	0.003985	0.004025	1,105.17	572,448
Nov 23, 2020	0.003970	0.004082	0.003779	0.004068	1,032.24	578,579
Nov 22, 2020	0.004068	0.004324	0.003928	0.003970	1,117.55	564,558
Nov 21, 2020	0.004077	0.004127	0.003891	0.004068	1,074.08	578,503
Nov 20, 2020	0.004058	0.004292	0.004012	0.004077	1,063.42	579,836
Nov 19, 2020	0.003918	0.004159	0.003862	0.004058	967.37	577,201
Nov 18, 2020	0.004186	0.004214	0.003878	0.003918	1,083.25	557,220
