date	open	high	low	close	volume	market_cap
Dec 16, 2020	0.000224	0.000288	0.000219	0.000281	17,998.80	4,924,231
Dec 15, 2020	0.000218	0.000232	0.000216	0.000224	15,000.91	3,918,096
Dec 14, 2020	0.000245	0.000267	0.000052	0.000218	21,585.88	3,825,222
Dec 13, 2020	0.000263	0.000265	0.000188	0.000245	15,951.44	4,296,106
Dec 12, 2020	0.000279	0.000286	0.000240	0.000263	18,115.85	4,603,932
Dec 11, 2020	0.000265	0.000282	0.000233	0.000279	16,187.10	4,892,143
Dec 10, 2020	0.000273	0.000281	0.000249	0.000265	18,971.89	4,638,063
Dec 09, 2020	0.000286	0.000287	0.000239	0.000273	14,474.66	4,783,456
Dec 08, 2020	0.000285	0.000303	0.000279	0.000286	15,843.30	5,018,387
Dec 07, 2020	0.000298	0.000303	0.000275	0.000285	14,596.77	4,989,652
Dec 06, 2020	0.000262	0.000300	0.000262	0.000298	16,180.13	5,218,288
Dec 05, 2020	0.000273	0.000306	0.000234	0.000262	28,889.15	4,592,316
Dec 04, 2020	0.000302	0.000320	0.000270	0.000273	18,842.92	4,789,235
Dec 03, 2020	0.000304	0.000311	0.000290	0.000303	16,130.76	5,300,611
Dec 02, 2020	0.000297	0.000305	0.000283	0.000304	15,542.50	5,323,255
Dec 01, 2020	0.000337	0.000342	0.000286	0.000297	16,043.55	5,202,533
Nov 30, 2020	0.000291	0.000338	0.000278	0.000337	29,301.92	5,903,336
Nov 29, 2020	0.000267	0.000303	0.000250	0.000291	19,656.74	5,106,910
Nov 28, 2020	0.000233	0.000308	0.000224	0.000267	24,161.55	4,683,017
Nov 27, 2020	0.000200	0.000235	0.000193	0.000233	14,969.51	4,079,320
Nov 26, 2020	0.000245	0.000245	0.000183	0.000200	16,766.32	3,504,178
Nov 25, 2020	0.000252	0.000277	0.000180	0.000245	15,777.91	4,301,187
Nov 24, 2020	0.000276	0.000283	0.000242	0.000252	16,720.16	4,410,358
Nov 23, 2020	0.000265	0.000280	0.000218	0.000276	17,301.84	4,829,329
Nov 22, 2020	0.000264	0.000277	0.000223	0.000265	17,919.45	4,639,386
Nov 21, 2020	0.000287	0.000292	0.000149	0.000264	23,038.45	4,624,194
Nov 20, 2020	0.000256	0.000314	0.000247	0.000287	17,426.89	5,027,307
Nov 19, 2020	0.000246	0.000299	0.000236	0.000256	15,308.47	4,478,346
